device_id,manufacturer,device_name,selection_index,compute_score,memory_score,peripheral_score,accelerator_score,score_coverage_percent,benchmark_coremark,benchmark_dmips,benchmark_source_url,benchmark_status,scoring_model_version,score_status
espressif::esp32-d0wd,Espressif,ESP32-D0WD,71,74,88,62,54,100,,,,not_imported,mcu-l-selection-index-v2,derived_selection_index_not_benchmark
espressif::esp32-d0wd-v3,Espressif,ESP32-D0WD-V3,71,74,88,62,54,100,,,,not_imported,mcu-l-selection-index-v2,derived_selection_index_not_benchmark
espressif::esp32-d0wdq6,Espressif,ESP32-D0WDQ6,71,74,88,62,54,100,,,,not_imported,mcu-l-selection-index-v2,derived_selection_index_not_benchmark
espressif::esp32-d0wdq6-v3,Espressif,ESP32-D0WDQ6-V3,71,74,88,62,54,100,,,,not_imported,mcu-l-selection-index-v2,derived_selection_index_not_benchmark
espressif::esp32-d0wdr2-v3,Espressif,ESP32-D0WDR2-V3,71,74,88,62,54,100,,,,not_imported,mcu-l-selection-index-v2,derived_selection_index_not_benchmark
espressif::esp32-d0wdrh2-v3,Espressif,ESP32-D0WDRH2-V3,71,74,88,62,54,100,,,,not_imported,mcu-l-selection-index-v2,derived_selection_index_not_benchmark
espressif::esp32-pico-d4,Espressif,ESP32-PICO-D4,73,74,95,62,54,100,,,,not_imported,mcu-l-selection-index-v2,derived_selection_index_not_benchmark
espressif::esp32-pico-v3,Espressif,ESP32-PICO-V3,73,74,95,61,54,100,,,,not_imported,mcu-l-selection-index-v2,derived_selection_index_not_benchmark
espressif::esp32-pico-v3-02,Espressif,ESP32-PICO-V3-02,73,74,95,61,54,100,,,,not_imported,mcu-l-selection-index-v2,derived_selection_index_not_benchmark
espressif::esp32-s0wd,Espressif,ESP32-S0WD,68,65,88,62,54,100,,,,not_imported,mcu-l-selection-index-v2,derived_selection_index_not_benchmark
espressif::esp32-u4wdh,Espressif,ESP32-U4WDH,73,74,95,62,54,100,,,,not_imported,mcu-l-selection-index-v2,derived_selection_index_not_benchmark
espressif::esp32-du1906-n16r8,Espressif,ESP32-DU1906-N16R8,72,74,95,58,54,100,,,,not_imported,mcu-l-selection-index-v2,derived_selection_index_not_benchmark
espressif::esp32-du1906-n8r8,Espressif,ESP32-DU1906-N8R8,72,74,95,58,54,100,,,,not_imported,mcu-l-selection-index-v2,derived_selection_index_not_benchmark
espressif::esp32-du1906-u-n16r8,Espressif,ESP32-DU1906-U-N16R8,72,74,95,58,54,100,,,,not_imported,mcu-l-selection-index-v2,derived_selection_index_not_benchmark
espressif::esp32-du1906-u-n8r8,Espressif,ESP32-DU1906-U-N8R8,72,74,95,58,54,100,,,,not_imported,mcu-l-selection-index-v2,derived_selection_index_not_benchmark
espressif::esp32-mini-1-h4,Espressif,ESP32-MINI-1-H4,73,74,95,61,54,100,,,,not_imported,mcu-l-selection-index-v2,derived_selection_index_not_benchmark
espressif::esp32-mini-1-n4,Espressif,ESP32-MINI-1-N4,73,74,95,61,54,100,,,,not_imported,mcu-l-selection-index-v2,derived_selection_index_not_benchmark
espressif::esp32-mini-1u-h4,Espressif,ESP32-MINI-1U-H4,73,74,95,61,54,100,,,,not_imported,mcu-l-selection-index-v2,derived_selection_index_not_benchmark
espressif::esp32-mini-1u-n4,Espressif,ESP32-MINI-1U-N4,73,74,95,61,54,100,,,,not_imported,mcu-l-selection-index-v2,derived_selection_index_not_benchmark
espressif::esp32-pico-mini-02-n8r2,Espressif,ESP32-PICO-MINI-02-N8R2,73,74,95,61,54,100,,,,not_imported,mcu-l-selection-index-v2,derived_selection_index_not_benchmark
espressif::esp32-pico-mini-02u-n8r2,Espressif,ESP32-PICO-MINI-02U-N8R2,73,74,95,61,54,100,,,,not_imported,mcu-l-selection-index-v2,derived_selection_index_not_benchmark
espressif::esp32-pico-v3-zero,Espressif,ESP32-PICO-V3-ZERO,72,74,95,58,54,100,,,,not_imported,mcu-l-selection-index-v2,derived_selection_index_not_benchmark
espressif::esp32-solo-1-h4,Espressif,ESP32-SOLO-1-H4,70,65,95,62,54,100,,,,not_imported,mcu-l-selection-index-v2,derived_selection_index_not_benchmark
espressif::esp32-solo-1-n4,Espressif,ESP32-SOLO-1-N4,70,65,95,62,54,100,,,,not_imported,mcu-l-selection-index-v2,derived_selection_index_not_benchmark
espressif::esp32-wroom-32-n4,Espressif,ESP32-WROOM-32-N4,73,74,95,62,54,100,,,,not_imported,mcu-l-selection-index-v2,derived_selection_index_not_benchmark
espressif::esp32-wroom-32d-h4,Espressif,ESP32-WROOM-32D-H4,73,74,95,61,54,100,,,,not_imported,mcu-l-selection-index-v2,derived_selection_index_not_benchmark
espressif::esp32-wroom-32d-n16,Espressif,ESP32-WROOM-32D-N16,73,74,95,62,54,100,,,,not_imported,mcu-l-selection-index-v2,derived_selection_index_not_benchmark
espressif::esp32-wroom-32d-n4,Espressif,ESP32-WROOM-32D-N4,73,74,95,62,54,100,,,,not_imported,mcu-l-selection-index-v2,derived_selection_index_not_benchmark
espressif::esp32-wroom-32d-n8,Espressif,ESP32-WROOM-32D-N8,73,74,95,62,54,100,,,,not_imported,mcu-l-selection-index-v2,derived_selection_index_not_benchmark
espressif::esp32-wroom-32e-h4,Espressif,ESP32-WROOM-32E-H4,73,74,95,61,54,100,,,,not_imported,mcu-l-selection-index-v2,derived_selection_index_not_benchmark
espressif::esp32-wroom-32e-n16,Espressif,ESP32-WROOM-32E-N16,73,74,95,61,54,100,,,,not_imported,mcu-l-selection-index-v2,derived_selection_index_not_benchmark
espressif::esp32-wroom-32e-n16r2,Espressif,ESP32-WROOM-32E-N16R2,73,74,95,61,54,100,,,,not_imported,mcu-l-selection-index-v2,derived_selection_index_not_benchmark
espressif::esp32-wroom-32e-n4,Espressif,ESP32-WROOM-32E-N4,73,74,95,61,54,100,,,,not_imported,mcu-l-selection-index-v2,derived_selection_index_not_benchmark
espressif::esp32-wroom-32e-n4r2,Espressif,ESP32-WROOM-32E-N4R2,73,74,95,61,54,100,,,,not_imported,mcu-l-selection-index-v2,derived_selection_index_not_benchmark
espressif::esp32-wroom-32e-n8,Espressif,ESP32-WROOM-32E-N8,73,74,95,61,54,100,,,,not_imported,mcu-l-selection-index-v2,derived_selection_index_not_benchmark
espressif::esp32-wroom-32e-n8r2,Espressif,ESP32-WROOM-32E-N8R2,73,74,95,61,54,100,,,,not_imported,mcu-l-selection-index-v2,derived_selection_index_not_benchmark
espressif::esp32-wroom-32se-n16,Espressif,ESP32-WROOM-32SE-N16,73,74,95,61,54,100,,,,not_imported,mcu-l-selection-index-v2,derived_selection_index_not_benchmark
espressif::esp32-wroom-32se-n4,Espressif,ESP32-WROOM-32SE-N4,73,74,95,61,54,100,,,,not_imported,mcu-l-selection-index-v2,derived_selection_index_not_benchmark
espressif::esp32-wroom-32se-n8,Espressif,ESP32-WROOM-32SE-N8,73,74,95,61,54,100,,,,not_imported,mcu-l-selection-index-v2,derived_selection_index_not_benchmark
espressif::esp32-wroom-32u-h4,Espressif,ESP32-WROOM-32U-H4,73,74,95,61,54,100,,,,not_imported,mcu-l-selection-index-v2,derived_selection_index_not_benchmark
espressif::esp32-wroom-32u-n16,Espressif,ESP32-WROOM-32U-N16,73,74,95,62,54,100,,,,not_imported,mcu-l-selection-index-v2,derived_selection_index_not_benchmark
espressif::esp32-wroom-32u-n4,Espressif,ESP32-WROOM-32U-N4,73,74,95,62,54,100,,,,not_imported,mcu-l-selection-index-v2,derived_selection_index_not_benchmark
espressif::esp32-wroom-32u-n8,Espressif,ESP32-WROOM-32U-N8,73,74,95,62,54,100,,,,not_imported,mcu-l-selection-index-v2,derived_selection_index_not_benchmark
espressif::esp32-wroom-32ue-h4,Espressif,ESP32-WROOM-32UE-H4,73,74,95,61,54,100,,,,not_imported,mcu-l-selection-index-v2,derived_selection_index_not_benchmark
espressif::esp32-wroom-32ue-n16,Espressif,ESP32-WROOM-32UE-N16,73,74,95,61,54,100,,,,not_imported,mcu-l-selection-index-v2,derived_selection_index_not_benchmark
espressif::esp32-wroom-32ue-n16r2,Espressif,ESP32-WROOM-32UE-N16R2,73,74,95,61,54,100,,,,not_imported,mcu-l-selection-index-v2,derived_selection_index_not_benchmark
espressif::esp32-wroom-32ue-n4,Espressif,ESP32-WROOM-32UE-N4,73,74,95,61,54,100,,,,not_imported,mcu-l-selection-index-v2,derived_selection_index_not_benchmark
espressif::esp32-wroom-32ue-n4r2,Espressif,ESP32-WROOM-32UE-N4R2,73,74,95,61,54,100,,,,not_imported,mcu-l-selection-index-v2,derived_selection_index_not_benchmark
espressif::esp32-wroom-32ue-n8,Espressif,ESP32-WROOM-32UE-N8,73,74,95,61,54,100,,,,not_imported,mcu-l-selection-index-v2,derived_selection_index_not_benchmark
espressif::esp32-wroom-32ue-n8r2,Espressif,ESP32-WROOM-32UE-N8R2,73,74,95,61,54,100,,,,not_imported,mcu-l-selection-index-v2,derived_selection_index_not_benchmark
espressif::esp32-wroom-da-n16,Espressif,ESP32-WROOM-DA-N16,73,74,95,61,54,100,,,,not_imported,mcu-l-selection-index-v2,derived_selection_index_not_benchmark
espressif::esp32-wroom-da-n4,Espressif,ESP32-WROOM-DA-N4,73,74,95,61,54,100,,,,not_imported,mcu-l-selection-index-v2,derived_selection_index_not_benchmark
espressif::esp32-wroom-da-n8,Espressif,ESP32-WROOM-DA-N8,73,74,95,61,54,100,,,,not_imported,mcu-l-selection-index-v2,derived_selection_index_not_benchmark
espressif::esp32-wrover-n4r8,Espressif,ESP32-WROVER-N4R8,73,74,95,61,54,100,,,,not_imported,mcu-l-selection-index-v2,derived_selection_index_not_benchmark
espressif::esp32-wrover-b-n16r8,Espressif,ESP32-WROVER-B-N16R8,73,74,95,61,54,100,,,,not_imported,mcu-l-selection-index-v2,derived_selection_index_not_benchmark
espressif::esp32-wrover-b-n4r8,Espressif,ESP32-WROVER-B-N4R8,73,74,95,61,54,100,,,,not_imported,mcu-l-selection-index-v2,derived_selection_index_not_benchmark
