orderable_part_id,device_id,manufacturer,family,series,product_line,device_name,part_number,manufacturer_suffix,package_code,temperature_grade_code,packing_code,package_name,temperature_range,packing_form,lifecycle,source_id,source_url,observed_at,verification_status,decode_status
allwinner::xr806af2l,allwinner::xr806af2l,Allwinner,XRadio,XR series,XR806,XR806AF2L,XR806AF2L,AF2L,,,,QFN32 4x4 mm,,,unknown,allwinner:xr806:official-docs,https://xr806.docs.aw-ol.com/,2026-08-22T16:13:28+00:00,manufacturer_datasheet,exact_official_model; wildcard_suffixes_not_generated
allwinner::xr808ct0,allwinner::xr808ct0,Allwinner,XRadio,XR series,XR808,XR808CT0,XR808CT0,CT0,,,,QFN32 4x4 mm,,,unknown,allwinner:xradio:xr808-datasheet-v1.1,https://raw.githubusercontent.com/XradioTech/xradiotech.github.io/master/docs/doc/XR808/XR808_Datasheet_V1.1.pdf,2026-08-22T16:13:28+00:00,manufacturer_datasheet,exact_official_model; wildcard_suffixes_not_generated
allwinner::xr808ct2,allwinner::xr808ct2,Allwinner,XRadio,XR series,XR808,XR808CT2,XR808CT2,CT2,,,,QFN32 4x4 mm,,,unknown,allwinner:xradio:xr808-datasheet-v1.1,https://raw.githubusercontent.com/XradioTech/xradiotech.github.io/master/docs/doc/XR808/XR808_Datasheet_V1.1.pdf,2026-08-22T16:13:28+00:00,manufacturer_datasheet,exact_official_model; wildcard_suffixes_not_generated
allwinner::xr809,allwinner::xr809,Allwinner,XRadio,XR series,XR809,XR809,XR809,,,,,QFN52 6x6 mm,,,unknown,allwinner:xradio:xr809-datasheet-v1.1,https://raw.githubusercontent.com/XradioTech/xradiotech.github.io/master/docs/doc/XR809/XR809_Datasheet_V1.1.pdf,2026-08-22T16:13:28+00:00,manufacturer_datasheet,exact_official_model; wildcard_suffixes_not_generated
allwinner::xr871et,allwinner::xr871et,Allwinner,XRadio,XR series,XR871,XR871ET,XR871ET,ET,,,,QFN52 6x6 mm,,,unknown,allwinner:xradio:xr871-datasheet-v1.21,https://raw.githubusercontent.com/XradioTech/xradiotech.github.io/master/docs/doc/XR871/XR871_Datasheet_V1.21.pdf,2026-08-22T16:13:28+00:00,manufacturer_datasheet,exact_official_model; wildcard_suffixes_not_generated
allwinner::xr871gt,allwinner::xr871gt,Allwinner,XRadio,XR series,XR871,XR871GT,XR871GT,GT,,,,QFN52 6x6 mm,,,unknown,allwinner:xradio:xr871-datasheet-v1.21,https://raw.githubusercontent.com/XradioTech/xradiotech.github.io/master/docs/doc/XR871/XR871_Datasheet_V1.21.pdf,2026-08-22T16:13:28+00:00,manufacturer_datasheet,exact_official_model; wildcard_suffixes_not_generated
allwinner::xr872at,allwinner::xr872at,Allwinner,XRadio,XR series,XR872,XR872AT,XR872AT,AT,,,,QFN52 6x6 mm,,,unknown,allwinner:xradio:xr872-datasheet-v1.05,https://raw.githubusercontent.com/XradioTech/xradiotech.github.io/master/docs/doc/XR872/XR872_Datasheet_V1.05.pdf,2026-08-22T16:13:28+00:00,manufacturer_datasheet,exact_official_model; wildcard_suffixes_not_generated
allwinner::xr872et,allwinner::xr872et,Allwinner,XRadio,XR series,XR872,XR872ET,XR872ET,ET,,,,QFN40 5x5 mm,,,unknown,allwinner:xradio:xr872-datasheet-v1.05,https://raw.githubusercontent.com/XradioTech/xradiotech.github.io/master/docs/doc/XR872/XR872_Datasheet_V1.05.pdf,2026-08-22T16:13:28+00:00,manufacturer_datasheet,exact_official_model; wildcard_suffixes_not_generated
artery::at32a403acct7,artery::at32a403acct7,Artery,AT32,AT32A,AT32A403A,AT32A403ACCT7,AT32A403ACCT7,CCT7,CCT7,,,LQFP48,,,active,artery:cmsis:at32a403a,https://github.com/ArteryTek/AT32A403A_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
artery::at32a403arct7,artery::at32a403arct7,Artery,AT32,AT32A,AT32A403A,AT32A403ARCT7,AT32A403ARCT7,RCT7,RCT7,,,LQFP64,,,active,artery:cmsis:at32a403a,https://github.com/ArteryTek/AT32A403A_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
artery::at32a403avct7,artery::at32a403avct7,Artery,AT32,AT32A,AT32A403A,AT32A403AVCT7,AT32A403AVCT7,VCT7,VCT7,,,LQFP100,,,active,artery:cmsis:at32a403a,https://github.com/ArteryTek/AT32A403A_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
artery::at32a423c8t7,artery::at32a423c8t7,Artery,AT32,AT32A,AT32A423,AT32A423C8T7,AT32A423C8T7,C8T7,C8T7,,,LQFP48,,,active,artery:cmsis:at32a423,https://github.com/ArteryTek/AT32A423_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
artery::at32a423c8u7,artery::at32a423c8u7,Artery,AT32,AT32A,AT32A423,AT32A423C8U7,AT32A423C8U7,C8U7,C8U7,,,LQFP48,,,active,artery:cmsis:at32a423,https://github.com/ArteryTek/AT32A423_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
artery::at32a423cbt7,artery::at32a423cbt7,Artery,AT32,AT32A,AT32A423,AT32A423CBT7,AT32A423CBT7,CBT7,CBT7,,,LQFP48,,,active,artery:cmsis:at32a423,https://github.com/ArteryTek/AT32A423_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
artery::at32a423cbu7,artery::at32a423cbu7,Artery,AT32,AT32A,AT32A423,AT32A423CBU7,AT32A423CBU7,CBU7,CBU7,,,LQFP48,,,active,artery:cmsis:at32a423,https://github.com/ArteryTek/AT32A423_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
artery::at32a423cct7,artery::at32a423cct7,Artery,AT32,AT32A,AT32A423,AT32A423CCT7,AT32A423CCT7,CCT7,CCT7,,,LQFP48,,,active,artery:cmsis:at32a423,https://github.com/ArteryTek/AT32A423_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
artery::at32a423ccu7,artery::at32a423ccu7,Artery,AT32,AT32A,AT32A423,AT32A423CCU7,AT32A423CCU7,CCU7,CCU7,,,LQFP48,,,active,artery:cmsis:at32a423,https://github.com/ArteryTek/AT32A423_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
artery::at32a423k8u7-4,artery::at32a423k8u7-4,Artery,AT32,AT32A,AT32A423,AT32A423K8U7_4,AT32A423K8U7_4,K8U7_4,U7_4,,,QFN32,,,active,artery:cmsis:at32a423,https://github.com/ArteryTek/AT32A423_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
