product_line_id,manufacturer,product_type,architecture_class,family,series,product_line,device_variant_count,source_ids,observed_at,verification_status
espressif::esp::esp32::esp32,Espressif,wireless_soc,Xtensa,ESP,ESP32,ESP32,11,espressif-idf-soc-caps:08e0d30a74ad;espressif-product-selector:chip:en,2026-08-12T07:34:50+00:00,multi_source_manufacturer_device_database
espressif::esp::esp32::esp32-du1906,Espressif,wireless_module,Xtensa,ESP,ESP32,ESP32-DU1906,2,espressif-idf-soc-caps:08e0d30a74ad;espressif-product-selector:module:en,2026-08-12T07:34:50+00:00,multi_source_manufacturer_device_database
espressif::esp::esp32::esp32-du1906-u,Espressif,wireless_module,Xtensa,ESP,ESP32,ESP32-DU1906-U,2,espressif-idf-soc-caps:08e0d30a74ad;espressif-product-selector:module:en,2026-08-12T07:34:50+00:00,multi_source_manufacturer_device_database
espressif::esp::esp32::esp32-mini-1,Espressif,wireless_module,Xtensa,ESP,ESP32,ESP32-MINI-1,2,espressif-idf-soc-caps:08e0d30a74ad;espressif-product-selector:module:en,2026-08-12T07:34:50+00:00,multi_source_manufacturer_device_database
espressif::esp::esp32::esp32-mini-1u,Espressif,wireless_module,Xtensa,ESP,ESP32,ESP32-MINI-1U,2,espressif-idf-soc-caps:08e0d30a74ad;espressif-product-selector:module:en,2026-08-12T07:34:50+00:00,multi_source_manufacturer_device_database
espressif::esp::esp32::esp32-pico-mini-02,Espressif,wireless_module,Xtensa,ESP,ESP32,ESP32-PICO-MINI-02,1,espressif-idf-soc-caps:08e0d30a74ad;espressif-product-selector:module:en,2026-08-12T07:34:50+00:00,multi_source_manufacturer_device_database
espressif::esp::esp32::esp32-pico-mini-02u,Espressif,wireless_module,Xtensa,ESP,ESP32,ESP32-PICO-MINI-02U,1,espressif-idf-soc-caps:08e0d30a74ad;espressif-product-selector:module:en,2026-08-12T07:34:50+00:00,multi_source_manufacturer_device_database
espressif::esp::esp32::esp32-pico-v3-zero,Espressif,wireless_module,Xtensa,ESP,ESP32,ESP32-PICO-V3-ZERO,1,espressif-idf-soc-caps:08e0d30a74ad;espressif-product-selector:module:en,2026-08-12T07:34:50+00:00,multi_source_manufacturer_device_database
espressif::esp::esp32::esp32-solo-1,Espressif,wireless_module,Xtensa,ESP,ESP32,ESP32-SOLO-1,2,espressif-idf-soc-caps:08e0d30a74ad;espressif-product-selector:module:en,2026-08-12T07:34:50+00:00,multi_source_manufacturer_device_database
espressif::esp::esp32::esp32-wroom-32,Espressif,wireless_module,Xtensa,ESP,ESP32,ESP32-WROOM-32,1,espressif-idf-soc-caps:08e0d30a74ad;espressif-product-selector:module:en,2026-08-12T07:34:50+00:00,multi_source_manufacturer_device_database
espressif::esp::esp32::esp32-wroom-32d,Espressif,wireless_module,Xtensa,ESP,ESP32,ESP32-WROOM-32D,4,espressif-idf-soc-caps:08e0d30a74ad;espressif-product-selector:module:en,2026-08-12T07:34:50+00:00,multi_source_manufacturer_device_database
