orderable_part_id,device_id,manufacturer,family,series,product_line,device_name,part_number,manufacturer_suffix,package_code,temperature_grade_code,packing_code,package_name,temperature_range,packing_form,lifecycle,source_id,source_url,observed_at,verification_status,decode_status
st::stm32f100c4t6b,stmicroelectronics::stm32f100c4,STMicroelectronics,STM32,STM32F1,STM32F100,STM32F100C4,STM32F100C4T6B,T6B,T,6B,,,,tray_or_unspecified,unknown,st-product-page:stm32f100c4,https://www.st.com/en/microcontrollers-microprocessors/stm32f100c4.html,2026-08-11T12:20:29+00:00,manufacturer_product_page,code_positions_parsed; descriptions_require_device_datasheet
st::stm32f100c4t6btr,stmicroelectronics::stm32f100c4,STMicroelectronics,STM32,STM32F1,STM32F100,STM32F100C4,STM32F100C4T6BTR,T6BTR,T,6B,TR,,,tape_and_reel,unknown,st-product-page:stm32f100c4,https://www.st.com/en/microcontrollers-microprocessors/stm32f100c4.html,2026-08-11T12:20:29+00:00,manufacturer_product_page,code_positions_parsed; descriptions_require_device_datasheet
st::stm32f100c4t7b,stmicroelectronics::stm32f100c4,STMicroelectronics,STM32,STM32F1,STM32F100,STM32F100C4,STM32F100C4T7B,T7B,T,7B,,,,tray_or_unspecified,unknown,st-product-page:stm32f100c4,https://www.st.com/en/microcontrollers-microprocessors/stm32f100c4.html,2026-08-11T12:20:29+00:00,manufacturer_product_page,code_positions_parsed; descriptions_require_device_datasheet
st::stm32f100c6t6b,stmicroelectronics::stm32f100c6,STMicroelectronics,STM32,STM32F1,STM32F100,STM32F100C6,STM32F100C6T6B,T6B,T,6B,,,,tray_or_unspecified,unknown,st-product-page:stm32f100c6,https://www.st.com/en/microcontrollers-microprocessors/stm32f100c6.html,2026-08-11T12:20:29+00:00,manufacturer_product_page,code_positions_parsed; descriptions_require_device_datasheet
st::stm32f100c6t6btr,stmicroelectronics::stm32f100c6,STMicroelectronics,STM32,STM32F1,STM32F100,STM32F100C6,STM32F100C6T6BTR,T6BTR,T,6B,TR,,,tape_and_reel,unknown,st-product-page:stm32f100c6,https://www.st.com/en/microcontrollers-microprocessors/stm32f100c6.html,2026-08-11T12:20:29+00:00,manufacturer_product_page,code_positions_parsed; descriptions_require_device_datasheet
st::stm32f100c6t7b,stmicroelectronics::stm32f100c6,STMicroelectronics,STM32,STM32F1,STM32F100,STM32F100C6,STM32F100C6T7B,T7B,T,7B,,,,tray_or_unspecified,unknown,st-product-page:stm32f100c6,https://www.st.com/en/microcontrollers-microprocessors/stm32f100c6.html,2026-08-11T12:20:29+00:00,manufacturer_product_page,code_positions_parsed; descriptions_require_device_datasheet
st::stm32f100c6t7btr,stmicroelectronics::stm32f100c6,STMicroelectronics,STM32,STM32F1,STM32F100,STM32F100C6,STM32F100C6T7BTR,T7BTR,T,7B,TR,,,tape_and_reel,unknown,st-product-page:stm32f100c6,https://www.st.com/en/microcontrollers-microprocessors/stm32f100c6.html,2026-08-11T12:20:29+00:00,manufacturer_product_page,code_positions_parsed; descriptions_require_device_datasheet
st::stm32f100c8t6b,stmicroelectronics::stm32f100c8,STMicroelectronics,STM32,STM32F1,STM32F100,STM32F100C8,STM32F100C8T6B,T6B,T,6B,,,,tray_or_unspecified,unknown,st-product-page:stm32f100c8,https://www.st.com/en/microcontrollers-microprocessors/stm32f100c8.html,2026-08-11T12:20:29+00:00,manufacturer_product_page,code_positions_parsed; descriptions_require_device_datasheet
st::stm32f100c8t6btr,stmicroelectronics::stm32f100c8,STMicroelectronics,STM32,STM32F1,STM32F100,STM32F100C8,STM32F100C8T6BTR,T6BTR,T,6B,TR,,,tape_and_reel,unknown,st-product-page:stm32f100c8,https://www.st.com/en/microcontrollers-microprocessors/stm32f100c8.html,2026-08-11T12:20:29+00:00,manufacturer_product_page,code_positions_parsed; descriptions_require_device_datasheet
st::stm32f100c8t7b,stmicroelectronics::stm32f100c8,STMicroelectronics,STM32,STM32F1,STM32F100,STM32F100C8,STM32F100C8T7B,T7B,T,7B,,,,tray_or_unspecified,unknown,st-product-page:stm32f100c8,https://www.st.com/en/microcontrollers-microprocessors/stm32f100c8.html,2026-08-11T12:20:29+00:00,manufacturer_product_page,code_positions_parsed; descriptions_require_device_datasheet
st::stm32f100c8t7btr,stmicroelectronics::stm32f100c8,STMicroelectronics,STM32,STM32F1,STM32F100,STM32F100C8,STM32F100C8T7BTR,T7BTR,T,7B,TR,,,tape_and_reel,unknown,st-product-page:stm32f100c8,https://www.st.com/en/microcontrollers-microprocessors/stm32f100c8.html,2026-08-11T12:20:29+00:00,manufacturer_product_page,code_positions_parsed; descriptions_require_device_datasheet
