source_id,source_type,publisher,title,url,version,observed_at,verification_scope
allwinner:xr806:official-docs,manufacturer_documentation_page,Allwinner,XR806 official developer documentation,https://xr806.docs.aw-ol.com/,live-docs;sha256:8f5a3d8d97cb4f815541869543c36ab33a67bf299fb3f4834c7f3eee84b12d62,2026-08-22T16:13:28+00:00,"XR806AF2L identity, core, clock, memory, wireless, security, package and process data."
allwinner:xradio:xr808-datasheet-v1.1,manufacturer_datasheet,XRadioTech,XR808 Datasheet,https://raw.githubusercontent.com/XradioTech/xradiotech.github.io/master/docs/doc/XR808/XR808_Datasheet_V1.1.pdf,1.1;sha256:20b9cde8debde9ef0f8e35dda969605c4aa572962dd8082c6952a9d1e6aac8c2,2026-08-22T16:13:28+00:00,"XR808CT0/XR808CT2 exact variants, memory, package and peripheral resources."
allwinner:xradio:xr809-datasheet-v1.1,manufacturer_datasheet,XRadioTech,XR809 Datasheet,https://raw.githubusercontent.com/XradioTech/xradiotech.github.io/master/docs/doc/XR809/XR809_Datasheet_V1.1.pdf,1.1;sha256:3a2868a735e805f38625ec78d17e90d6075e7ba16b849c2afa17e31e8cdbd6ff,2026-08-22T16:13:28+00:00,"XR809 exact device, memory, package and peripheral resources."
allwinner:xradio:xr871-datasheet-v1.21,manufacturer_datasheet,XRadioTech,XR871 Datasheet,https://raw.githubusercontent.com/XradioTech/xradiotech.github.io/master/docs/doc/XR871/XR871_Datasheet_V1.21.pdf,1.21;sha256:7db8be99090346f3063ecbcc20bf89bea061fd28937666361858c3d128d59483,2026-08-22T16:13:28+00:00,"XR871GT/XR871ET exact variants, memory, package and peripheral resources."
allwinner:xradio:xr872-datasheet-v1.05,manufacturer_datasheet,XRadioTech,XR872 Datasheet,https://raw.githubusercontent.com/XradioTech/xradiotech.github.io/master/docs/doc/XR872/XR872_Datasheet_V1.05.pdf,1.05;sha256:0878f303022f6a1a17f7abcc5d821afb8e1a7feac589b5f4d698cedea671895c,2026-08-22T16:13:28+00:00,"XR872AT/XR872ET exact variants, memory, package and peripheral resources."
allwinner:product-page:a733,manufacturer_product_page,Allwinner,Allwinner A733 official product page,https://www.allwinnertech.com/index.php?c=product&a=index&id=139,live-product-page;sha256:aed85038b26fd3d808793b311a9dbdbf42e68a580e5fc8c08850aec8bbc48b6a,2026-08-22T16:13:28+00:00,"A733 MCU core, SoC accelerators and interface inventory."
allwinner:product-page:a537,manufacturer_product_page,Allwinner,Allwinner A537 official product page,https://www.allwinnertech.com/index.php?c=product&a=index&id=138,live-product-page;sha256:553dd502c1e1891c4b8e3a496c353f6c9238258efb0d597a20646b56a44afadc,2026-08-22T16:13:28+00:00,"A537 MCU core, SoC accelerators and interface inventory."
allwinner:product-page:a333,manufacturer_product_page,Allwinner,Allwinner A333 official product page,https://www.allwinnertech.com/index.php?c=product&a=index&id=137,live-product-page;sha256:56d62ff46617e1c25ed710de7d1e616ec1a912fabec9730f9344a57ed6b6661a,2026-08-22T16:13:28+00:00,"A333 MCU core, SoC accelerators and interface inventory."
allwinner:product-page:a527,manufacturer_product_page,Allwinner,Allwinner A527 official product page,https://www.allwinnertech.com/index.php?c=product&a=index&id=109,live-product-page;sha256:e0e320197aaa3489c29e6e483a85831ae8225357a7fcd31ecebfd084b0c3eec0,2026-08-22T16:13:28+00:00,"A527 MCU core, SoC accelerators and interface inventory."
allwinner:product-page:a523,manufacturer_product_page,Allwinner,Allwinner A523 official product page,https://www.allwinnertech.com/index.php?c=product&a=index&id=108,live-product-page;sha256:c6c661cdfd81dce45ccbdf4c7e04bf3e96503d4b211c24cb1b4105a907fe795d,2026-08-22T16:13:28+00:00,"A523 MCU core, SoC accelerators and interface inventory."
allwinner:product-page:t736,manufacturer_product_page,Allwinner,Allwinner T736 official product page,https://www.allwinnertech.com/index.php?c=product&a=index&id=146,live-product-page;sha256:dd6ffa9f589bd270d65bba84cf400f98c4753ea7499a494d497dc239fb6f8f0d,2026-08-22T16:13:28+00:00,"T736 MCU core, industrial SoC accelerators and interfaces."
allwinner:product-page:t527,manufacturer_product_page,Allwinner,Allwinner T527 official product page,https://www.allwinnertech.com/index.php?c=product&a=index&id=110,live-product-page;sha256:5ac0b025992f6a2aee8af6a68faa59a7be489b141952ed53854b80290731861d,2026-08-22T16:13:28+00:00,"T527 MCU core, industrial SoC accelerators and interfaces."
