orderable_part_id,device_id,manufacturer,family,series,product_line,device_name,part_number,manufacturer_suffix,package_code,temperature_grade_code,packing_code,package_name,temperature_range,packing_form,lifecycle,source_id,source_url,observed_at,verification_status,decode_status
artery::at32l021c8t7,artery::at32l021c8t7,Artery,AT32,AT32L,AT32L021,AT32L021C8T7,AT32L021C8T7,C8T7,C8T7,,,LQFP48,,,active,artery:cmsis:at32l021,https://github.com/ArteryTek/AT32L021_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
artery::at32l021k8t7,artery::at32l021k8t7,Artery,AT32,AT32L,AT32L021,AT32L021K8T7,AT32L021K8T7,K8T7,K8T7,,,QFN32,,,active,artery:cmsis:at32l021,https://github.com/ArteryTek/AT32L021_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
artery::at32l021k8u7,artery::at32l021k8u7,Artery,AT32,AT32L,AT32L021,AT32L021K8U7,AT32L021K8U7,K8U7,K8U7,,,QFN32,,,active,artery:cmsis:at32l021,https://github.com/ArteryTek/AT32L021_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
artery::at32l021k8u7-4,artery::at32l021k8u7-4,Artery,AT32,AT32L,AT32L021,AT32L021K8U7_4,AT32L021K8U7_4,K8U7_4,U7_4,,,QFN32,,,active,artery:cmsis:at32l021,https://github.com/ArteryTek/AT32L021_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
artery::at32l021f8u7,artery::at32l021f8u7,Artery,AT32,AT32L,AT32L021,AT32L021F8U7,AT32L021F8U7,F8U7,F8U7,,,QFN20,,,active,artery:cmsis:at32l021,https://github.com/ArteryTek/AT32L021_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
artery::at32l021f8p7,artery::at32l021f8p7,Artery,AT32,AT32L,AT32L021,AT32L021F8P7,AT32L021F8P7,F8P7,F8P7,,,QFN20,,,active,artery:cmsis:at32l021,https://github.com/ArteryTek/AT32L021_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
artery::at32l021g8u7,artery::at32l021g8u7,Artery,AT32,AT32L,AT32L021,AT32L021G8U7,AT32L021G8U7,G8U7,G8U7,,,QFN28,,,active,artery:cmsis:at32l021,https://github.com/ArteryTek/AT32L021_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
artery::at32l021c6t7,artery::at32l021c6t7,Artery,AT32,AT32L,AT32L021,AT32L021C6T7,AT32L021C6T7,C6T7,C6T7,,,LQFP48,,,active,artery:cmsis:at32l021,https://github.com/ArteryTek/AT32L021_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
artery::at32l021k6t7,artery::at32l021k6t7,Artery,AT32,AT32L,AT32L021,AT32L021K6T7,AT32L021K6T7,K6T7,K6T7,,,QFN32,,,active,artery:cmsis:at32l021,https://github.com/ArteryTek/AT32L021_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
artery::at32l021k6u7,artery::at32l021k6u7,Artery,AT32,AT32L,AT32L021,AT32L021K6U7,AT32L021K6U7,K6U7,K6U7,,,QFN32,,,active,artery:cmsis:at32l021,https://github.com/ArteryTek/AT32L021_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
artery::at32l021k6u7-4,artery::at32l021k6u7-4,Artery,AT32,AT32L,AT32L021,AT32L021K6U7_4,AT32L021K6U7_4,K6U7_4,U7_4,,,QFN32,,,active,artery:cmsis:at32l021,https://github.com/ArteryTek/AT32L021_CMSIS_Driver,2026-08-24T07:52:02+00:00,manufacturer_product_page,exact_official_model;wildcard_suffixes_not_generated
