product_line_id,manufacturer,product_type,architecture_class,family,series,product_line,device_variant_count,source_ids,observed_at,verification_status
artery::at32::at32l021,Artery,general_purpose_mcu,Cortex-M0+,AT32,AT32L,AT32L021,21,artery:cmsis:at32l021;artery:product:at32l021,2026-08-24T07:52:02+00:00,manufacturer_cmsis_and_product_page
artery::at32::at32f011,Artery,general_purpose_mcu,Cortex-M0+,AT32,AT32F,AT32F011,4,artery:cmsis:at32f011;artery:product:at32f011,2026-08-24T07:52:02+00:00,manufacturer_cmsis_and_product_page
artery::at32::at32f421,Artery,general_purpose_mcu,Cortex-M4,AT32,AT32F,AT32F421,20,artery:cmsis:at32f421;artery:product:at32f421,2026-08-24T07:52:02+00:00,manufacturer_cmsis_and_product_page
artery::at32::at32f4212,Artery,general_purpose_mcu,Cortex-M4,AT32,AT32F,AT32F4212,1,artery:cmsis:at32f4212;artery:product:at32f4212,2026-08-24T07:52:02+00:00,manufacturer_cmsis_and_product_page
artery::at32::at32f422,Artery,general_purpose_mcu,Cortex-M4,AT32,AT32F,AT32F422,3,artery:cmsis:at32f422;artery:product:at32f422,2026-08-24T07:52:02+00:00,manufacturer_cmsis_and_product_page
artery::at32::at32f423,Artery,general_purpose_mcu,Cortex-M4,AT32,AT32F,AT32F423,22,artery:cmsis:at32f423;artery:product:at32f423,2026-08-24T07:52:02+00:00,manufacturer_cmsis_and_product_page
artery::at32::at32a423,Artery,general_purpose_mcu,Cortex-M4,AT32,AT32A,AT32A423,18,artery:cmsis:at32a423;artery:product:at32a423,2026-08-24T07:52:02+00:00,manufacturer_cmsis_and_product_page
artery::at32::at32f425,Artery,general_purpose_mcu,Cortex-M4,AT32,AT32F,AT32F425,16,artery:cmsis:at32f425;artery:product:at32f425,2026-08-24T07:52:02+00:00,manufacturer_cmsis_and_product_page
artery::at32::at32f426,Artery,general_purpose_mcu,Cortex-M4,AT32,AT32F,AT32F426,4,artery:cmsis:at32f426;artery:product:at32f426,2026-08-24T07:52:02+00:00,manufacturer_cmsis_and_product_page
artery::at32::at32f402,Artery,general_purpose_mcu,Cortex-M4,AT32,AT32F,AT32F402,3,artery:cmsis:at32f402;artery:product:at32f402,2026-08-24T07:52:02+00:00,manufacturer_cmsis_and_product_page
artery::at32::at32f403,Artery,general_purpose_mcu,Cortex-M4,AT32,AT32F,AT32F403,15,artery:cmsis:at32f403;artery:product:at32f403,2026-08-24T07:52:02+00:00,manufacturer_cmsis_and_product_page
artery::at32::at32f403a,Artery,general_purpose_mcu,Cortex-M4,AT32,AT32F,AT32F403A,12,artery:cmsis:at32f403a;artery:product:at32f403a,2026-08-24T07:52:02+00:00,manufacturer_cmsis_and_product_page
artery::at32::at32f405,Artery,general_purpose_mcu,Cortex-M4,AT32,AT32F,AT32F405,4,artery:cmsis:at32f405;artery:product:at32f405,2026-08-24T07:52:02+00:00,manufacturer_cmsis_and_product_page
artery::at32::at32f407,Artery,general_purpose_mcu,Cortex-M4,AT32,AT32F,AT32F407,8,artery:cmsis:at32f407;artery:product:at32f407,2026-08-24T07:52:02+00:00,manufacturer_cmsis_and_product_page
artery::at32::at32f413,Artery,general_purpose_mcu,Cortex-M4,AT32,AT32F,AT32F413,3,artery:cmsis:at32f413;artery:product:at32f413,2026-08-24T07:52:02+00:00,manufacturer_cmsis_and_product_page
artery::at32::at32f415,Artery,general_purpose_mcu,Cortex-M4,AT32,AT32F,AT32F415,14,artery:cmsis:at32f415;artery:product:at32f415,2026-08-24T07:52:02+00:00,manufacturer_cmsis_and_product_page
artery::at32::at32f435,Artery,general_purpose_mcu,Cortex-M4,AT32,AT32F,AT32F435,20,artery:cmsis:at32f435;artery:product:at32f435,2026-08-24T07:52:02+00:00,manufacturer_cmsis_and_product_page
artery::at32::at32f437,Artery,general_purpose_mcu,Cortex-M4,AT32,AT32F,AT32F437,12,artery:cmsis:at32f437;artery:product:at32f437,2026-08-24T07:52:02+00:00,manufacturer_cmsis_and_product_page
artery::at32::at32f455,Artery,general_purpose_mcu,Cortex-M4,AT32,AT32F,AT32F455,3,artery:cmsis:at32f455;artery:product:at32f455,2026-08-24T07:52:02+00:00,manufacturer_cmsis_and_product_page
artery::at32::at32f456,Artery,general_purpose_mcu,Cortex-M4,AT32,AT32F,AT32F456,3,artery:cmsis:at32f456;artery:product:at32f456,2026-08-24T07:52:02+00:00,manufacturer_cmsis_and_product_page
artery::at32::at32f457,Artery,general_purpose_mcu,Cortex-M4,AT32,AT32F,AT32F457,3,artery:cmsis:at32f457;artery:product:at32f457,2026-08-24T07:52:02+00:00,manufacturer_cmsis_and_product_page
artery::at32::at32f490,Artery,general_purpose_mcu,Cortex-M4,AT32,AT32F,AT32F490,1,artery:cmsis:at32f490;artery:product:at32f490,2026-08-24T07:52:02+00:00,manufacturer_cmsis_and_product_page
artery::at32::at32a403a,Artery,general_purpose_mcu,Cortex-M4,AT32,AT32A,AT32A403A,3,artery:cmsis:at32a403a;artery:product:at32a403a,2026-08-24T07:52:02+00:00,manufacturer_cmsis_and_product_page
artery::at32::at32m412,Artery,general_purpose_mcu,Cortex-M4,AT32,AT32M,AT32M412,3,artery:cmsis:at32m412;artery:product:at32m412,2026-08-24T07:52:02+00:00,manufacturer_cmsis_and_product_page
artery::at32::at32m416,Artery,general_purpose_mcu,Cortex-M4,AT32,AT32M,AT32M416,3,artery:cmsis:at32m416;artery:product:at32m416,2026-08-24T07:52:02+00:00,manufacturer_cmsis_and_product_page
