source_id,source_type,publisher,title,url,version,observed_at,verification_scope
artery:cmsis:at32l021,manufacturer_cmsis_driver,ArteryTek,ArteryTek AT32L021 CMSIS Driver,https://github.com/ArteryTek/AT32L021_CMSIS_Driver,main,2026-08-24T07:52:02+00:00,Exact device macro names and processor capabilities from the family driver repository.
artery:product:at32l021,manufacturer_product_page,ArteryTek,Artery AT32L021 product page,https://www.arterytek.com/en/product/AT32L021.jsp,live,2026-08-24T07:52:02+00:00,Family resource profile and official product navigation.
artery:cmsis:at32f011,manufacturer_cmsis_driver,ArteryTek,ArteryTek AT32F011 CMSIS Driver,https://github.com/ArteryTek/AT32F421_CMSIS_Driver,main,2026-08-24T07:52:02+00:00,Exact device macro names and processor capabilities from the family driver repository.
artery:product:at32f011,manufacturer_product_page,ArteryTek,Artery AT32F011 product page,https://www.arterytek.com/en/product/AT32F011.jsp,live,2026-08-24T07:52:02+00:00,Family resource profile and official product navigation.
artery:cmsis:at32f421,manufacturer_cmsis_driver,ArteryTek,ArteryTek AT32F421 CMSIS Driver,https://github.com/ArteryTek/AT32F421_CMSIS_Driver,main,2026-08-24T07:52:02+00:00,Exact device macro names and processor capabilities from the family driver repository.
artery:product:at32f421,manufacturer_product_page,ArteryTek,Artery AT32F421 product page,https://www.arterytek.com/en/product/AT32F421.jsp,live,2026-08-24T07:52:02+00:00,Family resource profile and official product navigation.
artery:cmsis:at32f4212,manufacturer_cmsis_driver,ArteryTek,ArteryTek AT32F4212 CMSIS Driver,https://github.com/ArteryTek/AT32F421_CMSIS_Driver,main,2026-08-24T07:52:02+00:00,Exact device macro names and processor capabilities from the family driver repository.
artery:product:at32f4212,manufacturer_product_page,ArteryTek,Artery AT32F4212 product page,https://www.arterytek.com/en/product/AT32F4212.jsp,live,2026-08-24T07:52:02+00:00,Family resource profile and official product navigation.
artery:cmsis:at32f422,manufacturer_cmsis_driver,ArteryTek,ArteryTek AT32F422 CMSIS Driver,https://github.com/ArteryTek/AT32F421_CMSIS_Driver,main,2026-08-24T07:52:02+00:00,Exact device macro names and processor capabilities from the family driver repository.
artery:product:at32f422,manufacturer_product_page,ArteryTek,Artery AT32F422 product page,https://www.arterytek.com/en/product/AT32F422.jsp,live,2026-08-24T07:52:02+00:00,Family resource profile and official product navigation.
artery:cmsis:at32f423,manufacturer_cmsis_driver,ArteryTek,ArteryTek AT32F423 CMSIS Driver,https://github.com/ArteryTek/AT32F423_CMSIS_Driver,main,2026-08-24T07:52:02+00:00,Exact device macro names and processor capabilities from the family driver repository.
artery:product:at32f423,manufacturer_product_page,ArteryTek,Artery AT32F423 product page,https://www.arterytek.com/en/product/AT32F423.jsp,live,2026-08-24T07:52:02+00:00,Family resource profile and official product navigation.
artery:cmsis:at32a423,manufacturer_cmsis_driver,ArteryTek,ArteryTek AT32A423 CMSIS Driver,https://github.com/ArteryTek/AT32A423_CMSIS_Driver,main,2026-08-24T07:52:02+00:00,Exact device macro names and processor capabilities from the family driver repository.
artery:product:at32a423,manufacturer_product_page,ArteryTek,Artery AT32A423 product page,https://www.arterytek.com/en/product/AT32A423.jsp,live,2026-08-24T07:52:02+00:00,Family resource profile and official product navigation.
artery:cmsis:at32f425,manufacturer_cmsis_driver,ArteryTek,ArteryTek AT32F425 CMSIS Driver,https://github.com/ArteryTek/AT32F425_CMSIS_Driver,main,2026-08-24T07:52:02+00:00,Exact device macro names and processor capabilities from the family driver repository.
artery:product:at32f425,manufacturer_product_page,ArteryTek,Artery AT32F425 product page,https://www.arterytek.com/en/product/AT32F425.jsp,live,2026-08-24T07:52:02+00:00,Family resource profile and official product navigation.
artery:cmsis:at32f426,manufacturer_cmsis_driver,ArteryTek,ArteryTek AT32F426 CMSIS Driver,https://www.arterytek.com/en/product/AT32F426.jsp,main,2026-08-24T07:52:02+00:00,Exact device macro names and processor capabilities from the family driver repository.
artery:product:at32f426,manufacturer_product_page,ArteryTek,Artery AT32F426 product page,https://www.arterytek.com/en/product/AT32F426.jsp,live,2026-08-24T07:52:02+00:00,Family resource profile and official product navigation.
artery:cmsis:at32f402,manufacturer_cmsis_driver,ArteryTek,ArteryTek AT32F402 CMSIS Driver,https://github.com/ArteryTek/AT32F402_405_CMSIS_Driver,main,2026-08-24T07:52:02+00:00,Exact device macro names and processor capabilities from the family driver repository.
artery:product:at32f402,manufacturer_product_page,ArteryTek,Artery AT32F402 product page,https://www.arterytek.com/en/product/AT32F402.jsp,live,2026-08-24T07:52:02+00:00,Family resource profile and official product navigation.
artery:cmsis:at32f403,manufacturer_cmsis_driver,ArteryTek,ArteryTek AT32F403 CMSIS Driver,https://github.com/ArteryTek/AT32F403_CMSIS_Driver,main,2026-08-24T07:52:02+00:00,Exact device macro names and processor capabilities from the family driver repository.
artery:product:at32f403,manufacturer_product_page,ArteryTek,Artery AT32F403 product page,https://www.arterytek.com/en/product/AT32F403.jsp,live,2026-08-24T07:52:02+00:00,Family resource profile and official product navigation.
artery:cmsis:at32f403a,manufacturer_cmsis_driver,ArteryTek,ArteryTek AT32F403A CMSIS Driver,https://github.com/ArteryTek/AT32F403A_407_CMSIS_Driver,main,2026-08-24T07:52:02+00:00,Exact device macro names and processor capabilities from the family driver repository.
artery:product:at32f403a,manufacturer_product_page,ArteryTek,Artery AT32F403A product page,https://www.arterytek.com/en/product/AT32F403A.jsp,live,2026-08-24T07:52:02+00:00,Family resource profile and official product navigation.
artery:cmsis:at32f405,manufacturer_cmsis_driver,ArteryTek,ArteryTek AT32F405 CMSIS Driver,https://github.com/ArteryTek/AT32F402_405_CMSIS_Driver,main,2026-08-24T07:52:02+00:00,Exact device macro names and processor capabilities from the family driver repository.
artery:product:at32f405,manufacturer_product_page,ArteryTek,Artery AT32F405 product page,https://www.arterytek.com/en/product/AT32F405.jsp,live,2026-08-24T07:52:02+00:00,Family resource profile and official product navigation.
artery:cmsis:at32f407,manufacturer_cmsis_driver,ArteryTek,ArteryTek AT32F407 CMSIS Driver,https://github.com/ArteryTek/AT32F403A_407_CMSIS_Driver,main,2026-08-24T07:52:02+00:00,Exact device macro names and processor capabilities from the family driver repository.
artery:product:at32f407,manufacturer_product_page,ArteryTek,Artery AT32F407 product page,https://www.arterytek.com/en/product/AT32F407.jsp,live,2026-08-24T07:52:02+00:00,Family resource profile and official product navigation.
artery:cmsis:at32f413,manufacturer_cmsis_driver,ArteryTek,ArteryTek AT32F413 CMSIS Driver,https://github.com/ArteryTek/AT32F413_CMSIS_Driver,main,2026-08-24T07:52:02+00:00,Exact device macro names and processor capabilities from the family driver repository.
artery:product:at32f413,manufacturer_product_page,ArteryTek,Artery AT32F413 product page,https://www.arterytek.com/en/product/AT32F413.jsp,live,2026-08-24T07:52:02+00:00,Family resource profile and official product navigation.
artery:cmsis:at32f415,manufacturer_cmsis_driver,ArteryTek,ArteryTek AT32F415 CMSIS Driver,https://github.com/ArteryTek/AT32F415_CMSIS_Driver,main,2026-08-24T07:52:02+00:00,Exact device macro names and processor capabilities from the family driver repository.
artery:product:at32f415,manufacturer_product_page,ArteryTek,Artery AT32F415 product page,https://www.arterytek.com/en/product/AT32F415.jsp,live,2026-08-24T07:52:02+00:00,Family resource profile and official product navigation.
artery:cmsis:at32f435,manufacturer_cmsis_driver,ArteryTek,ArteryTek AT32F435 CMSIS Driver,https://github.com/ArteryTek/AT32F435_437_CMSIS_Driver,main,2026-08-24T07:52:02+00:00,Exact device macro names and processor capabilities from the family driver repository.
artery:product:at32f435,manufacturer_product_page,ArteryTek,Artery AT32F435 product page,https://www.arterytek.com/en/product/AT32F435.jsp,live,2026-08-24T07:52:02+00:00,Family resource profile and official product navigation.
artery:cmsis:at32f437,manufacturer_cmsis_driver,ArteryTek,ArteryTek AT32F437 CMSIS Driver,https://github.com/ArteryTek/AT32F435_437_CMSIS_Driver,main,2026-08-24T07:52:02+00:00,Exact device macro names and processor capabilities from the family driver repository.
artery:product:at32f437,manufacturer_product_page,ArteryTek,Artery AT32F437 product page,https://www.arterytek.com/en/product/AT32F437.jsp,live,2026-08-24T07:52:02+00:00,Family resource profile and official product navigation.
artery:cmsis:at32f455,manufacturer_cmsis_driver,ArteryTek,ArteryTek AT32F455 CMSIS Driver,https://github.com/ArteryTek/AT32F45x_CMSIS_Driver,main,2026-08-24T07:52:02+00:00,Exact device macro names and processor capabilities from the family driver repository.
artery:product:at32f455,manufacturer_product_page,ArteryTek,Artery AT32F455 product page,https://www.arterytek.com/en/product/AT32F455.jsp,live,2026-08-24T07:52:02+00:00,Family resource profile and official product navigation.
artery:cmsis:at32f456,manufacturer_cmsis_driver,ArteryTek,ArteryTek AT32F456 CMSIS Driver,https://github.com/ArteryTek/AT32F45x_CMSIS_Driver,main,2026-08-24T07:52:02+00:00,Exact device macro names and processor capabilities from the family driver repository.
artery:product:at32f456,manufacturer_product_page,ArteryTek,Artery AT32F456 product page,https://www.arterytek.com/en/product/AT32F456.jsp,live,2026-08-24T07:52:02+00:00,Family resource profile and official product navigation.
artery:cmsis:at32f457,manufacturer_cmsis_driver,ArteryTek,ArteryTek AT32F457 CMSIS Driver,https://github.com/ArteryTek/AT32F45x_CMSIS_Driver,main,2026-08-24T07:52:02+00:00,Exact device macro names and processor capabilities from the family driver repository.
artery:product:at32f457,manufacturer_product_page,ArteryTek,Artery AT32F457 product page,https://www.arterytek.com/en/product/AT32F457.jsp,live,2026-08-24T07:52:02+00:00,Family resource profile and official product navigation.
artery:cmsis:at32f490,manufacturer_cmsis_driver,ArteryTek,ArteryTek AT32F490 CMSIS Driver,https://github.com/ArteryTek/AT32F490_CMSIS_Driver,main,2026-08-24T07:52:02+00:00,Exact device macro names and processor capabilities from the family driver repository.
artery:product:at32f490,manufacturer_product_page,ArteryTek,Artery AT32F490 product page,https://www.arterytek.com/en/product/AT32F490.jsp,live,2026-08-24T07:52:02+00:00,Family resource profile and official product navigation.
artery:cmsis:at32a403a,manufacturer_cmsis_driver,ArteryTek,ArteryTek AT32A403A CMSIS Driver,https://github.com/ArteryTek/AT32A403A_CMSIS_Driver,main,2026-08-24T07:52:02+00:00,Exact device macro names and processor capabilities from the family driver repository.
artery:product:at32a403a,manufacturer_product_page,ArteryTek,Artery AT32A403A product page,https://www.arterytek.com/en/product/AT32A403A.jsp,live,2026-08-24T07:52:02+00:00,Family resource profile and official product navigation.
artery:cmsis:at32m412,manufacturer_cmsis_driver,ArteryTek,ArteryTek AT32M412 CMSIS Driver,https://github.com/ArteryTek/AT32M412_416_CMSIS_Driver,main,2026-08-24T07:52:02+00:00,Exact device macro names and processor capabilities from the family driver repository.
artery:product:at32m412,manufacturer_product_page,ArteryTek,Artery AT32M412 product page,https://www.arterytek.com/en/product/AT32M412.jsp,live,2026-08-24T07:52:02+00:00,Family resource profile and official product navigation.
artery:cmsis:at32m416,manufacturer_cmsis_driver,ArteryTek,ArteryTek AT32M416 CMSIS Driver,https://github.com/ArteryTek/AT32M412_416_CMSIS_Driver,main,2026-08-24T07:52:02+00:00,Exact device macro names and processor capabilities from the family driver repository.
artery:product:at32m416,manufacturer_product_page,ArteryTek,Artery AT32M416 product page,https://www.arterytek.com/en/product/AT32M416.jsp,live,2026-08-24T07:52:02+00:00,Family resource profile and official product navigation.
artery:cmsis:at32wb415,manufacturer_cmsis_driver,ArteryTek,ArteryTek AT32WB415 CMSIS Driver,https://github.com/ArteryTek/AT32WB415_CMSIS_Driver,main,2026-08-24T07:52:02+00:00,Exact device macro names and processor capabilities from the family driver repository.
artery:product:at32wb415,manufacturer_product_page,ArteryTek,Artery AT32WB415 product page,https://www.arterytek.com/en/product/AT32WB415.jsp,live,2026-08-24T07:52:02+00:00,Family resource profile and official product navigation.
