record_type,record_id,field_name,source_id,source_url,source_path,source_value_json,observed_at,verification_status
device,espressif::esp32-s2,name,espressif-product-selector:chip:en,https://products.espressif.com/#/product-comparison,tableData[0].name,"""ESP32-S2""",2026-08-12T07:34:50+00:00,manufacturer_product_selector_api
device,espressif::esp32-s2,series,espressif-product-selector:chip:en,https://products.espressif.com/#/product-comparison,tableData[0].series,"""ESP32-S2""",2026-08-12T07:34:50+00:00,manufacturer_product_selector_api
device,espressif::esp32-s2,cpu,espressif-product-selector:chip:en,https://products.espressif.com/#/product-comparison,tableData[0].cpu,"""Xtensa® single-core 32-bit LX7""",2026-08-12T07:34:50+00:00,manufacturer_product_selector_api
device,espressif::esp32-s2,core,espressif-product-selector:chip:en,https://products.espressif.com/#/product-comparison,tableData[0].core,1,2026-08-12T07:34:50+00:00,manufacturer_product_selector_api
device,espressif::esp32-s2,freq,espressif-product-selector:chip:en,https://products.espressif.com/#/product-comparison,tableData[0].freq,240,2026-08-12T07:34:50+00:00,manufacturer_product_selector_api
device,espressif::esp32-s2,package,espressif-product-selector:chip:en,https://products.espressif.com/#/product-comparison,tableData[0].package,"""QFN 7×7""",2026-08-12T07:34:50+00:00,manufacturer_product_selector_api
device,espressif::esp32-s2,antenna,espressif-product-selector:chip:en,https://products.espressif.com/#/product-comparison,tableData[0].antenna,"""N/A""",2026-08-12T07:34:50+00:00,manufacturer_product_selector_api
device,espressif::esp32-s2,size,espressif-product-selector:chip:en,https://products.espressif.com/#/product-comparison,tableData[0].size,"""7×7""",2026-08-12T07:34:50+00:00,manufacturer_product_selector_api
device,espressif::esp32-s2,voltage_range,espressif-product-selector:chip:en,https://products.espressif.com/#/product-comparison,tableData[0].voltage_range,"""3.0 ~ 3.6""",2026-08-12T07:34:50+00:00,manufacturer_product_selector_api
device,espressif::esp32-s2,temperature_range,espressif-product-selector:chip:en,https://products.espressif.com/#/product-comparison,tableData[0].temperature_range,"""-40 ℃ ~ 105 ℃""",2026-08-12T07:34:50+00:00,manufacturer_product_selector_api
device,espressif::esp32-s2,based_chip,espressif-product-selector:chip:en,https://products.espressif.com/#/product-comparison,tableData[0].based_chip,"""0""",2026-08-12T07:34:50+00:00,manufacturer_product_selector_api
device,espressif::esp32-s2,status,espressif-product-selector:chip:en,https://products.espressif.com/#/product-comparison,tableData[0].status,"""Mass Production""",2026-08-12T07:34:50+00:00,manufacturer_product_selector_api
device,espressif::esp32-s2,wifi,espressif-product-selector:chip:en,https://products.espressif.com/#/product-comparison,tableData[0].wifi,"""IEEE 802.11b/g/n; 2.4 GHz; HT20/40; up to 150 Mbps""",2026-08-12T07:34:50+00:00,manufacturer_product_selector_api
device,espressif::esp32-s2,wifi6,espressif-product-selector:chip:en,https://products.espressif.com/#/product-comparison,tableData[0].wifi6,"""N/A""",2026-08-12T07:34:50+00:00,manufacturer_product_selector_api
device,espressif::esp32-s2,bluetooth,espressif-product-selector:chip:en,https://products.espressif.com/#/product-comparison,tableData[0].bluetooth,"""N/A""",2026-08-12T07:34:50+00:00,manufacturer_product_selector_api
device,espressif::esp32-s2,sram,espressif-product-selector:chip:en,https://products.espressif.com/#/product-comparison,tableData[0].sram,320,2026-08-12T07:34:50+00:00,manufacturer_product_selector_api
device,espressif::esp32-s2,rom,espressif-product-selector:chip:en,https://products.espressif.com/#/product-comparison,tableData[0].rom,128,2026-08-12T07:34:50+00:00,manufacturer_product_selector_api
device,espressif::esp32-s2,rtc_sram,espressif-product-selector:chip:en,https://products.espressif.com/#/product-comparison,tableData[0].rtc_sram,16,2026-08-12T07:34:50+00:00,manufacturer_product_selector_api
device,espressif::esp32-s2,flash,espressif-product-selector:chip:en,https://products.espressif.com/#/product-comparison,tableData[0].flash,"""N/A""",2026-08-12T07:34:50+00:00,manufacturer_product_selector_api
device,espressif::esp32-s2,psram,espressif-product-selector:chip:en,https://products.espressif.com/#/product-comparison,tableData[0].psram,"""N/A""",2026-08-12T07:34:50+00:00,manufacturer_product_selector_api
device,espressif::esp32-s2,adc,espressif-product-selector:chip:en,https://products.espressif.com/#/product-comparison,tableData[0].adc,"""2*13-bit ADC, 20 channels""",2026-08-12T07:34:50+00:00,manufacturer_product_selector_api
device,espressif::esp32-s2,dac,espressif-product-selector:chip:en,https://products.espressif.com/#/product-comparison,tableData[0].dac,"""2*8-bit DAC""",2026-08-12T07:34:50+00:00,manufacturer_product_selector_api
device,espressif::esp32-s2,touch_sensor,espressif-product-selector:chip:en,https://products.espressif.com/#/product-comparison,tableData[0].touch_sensor,14,2026-08-12T07:34:50+00:00,manufacturer_product_selector_api
device,espressif::esp32-s2,temperature_sensor,espressif-product-selector:chip:en,https://products.espressif.com/#/product-comparison,tableData[0].temperature_sensor,1,2026-08-12T07:34:50+00:00,manufacturer_product_selector_api
device,espressif::esp32-s2,gpio,espressif-product-selector:chip:en,https://products.espressif.com/#/product-comparison,tableData[0].gpio,43,2026-08-12T07:34:50+00:00,manufacturer_product_selector_api
device,espressif::esp32-s2,uart,espressif-product-selector:chip:en,https://products.espressif.com/#/product-comparison,tableData[0].uart,2,2026-08-12T07:34:50+00:00,manufacturer_product_selector_api
device,espressif::esp32-s2,spi,espressif-product-selector:chip:en,https://products.espressif.com/#/product-comparison,tableData[0].spi,4,2026-08-12T07:34:50+00:00,manufacturer_product_selector_api
device,espressif::esp32-s2,spi_voltage_v,espressif-product-selector:chip:en,https://products.espressif.com/#/product-comparison,tableData[0].spi_voltage_v,3.3,2026-08-12T07:34:50+00:00,manufacturer_product_selector_api
device,espressif::esp32-s2,sdio_host,espressif-product-selector:chip:en,https://products.espressif.com/#/product-comparison,tableData[0].sdio_host,0,2026-08-12T07:34:50+00:00,manufacturer_product_selector_api
device,espressif::esp32-s2,sdio_slave,espressif-product-selector:chip:en,https://products.espressif.com/#/product-comparison,tableData[0].sdio_slave,0,2026-08-12T07:34:50+00:00,manufacturer_product_selector_api
device,espressif::esp32-s2,i2s,espressif-product-selector:chip:en,https://products.espressif.com/#/product-comparison,tableData[0].i2s,1,2026-08-12T07:34:50+00:00,manufacturer_product_selector_api
device,espressif::esp32-s2,i2c,espressif-product-selector:chip:en,https://products.espressif.com/#/product-comparison,tableData[0].i2c,2,2026-08-12T07:34:50+00:00,manufacturer_product_selector_api
