target,url,cache_path,sha256,bytes,commit
esp32c5,https://raw.githubusercontent.com/espressif/esp-idf/08e0d30a74ad0bfd5a34933142b80f45619ee410/components/soc/esp32c5/include/soc/soc_caps.h,C:\Users\confl\Desktop\alice blue\mcu-l-catalog\cache\espressif-idf-soc-caps\08e0d30a74ad0bfd5a34933142b80f45619ee410\esp32c5-soc_caps.h,e5d17ed57dfc724c8c6f6c4115a77252a6df12442f4d0fdc8178fb774334390d,33186,08e0d30a74ad0bfd5a34933142b80f45619ee410
esp32c61,https://raw.githubusercontent.com/espressif/esp-idf/08e0d30a74ad0bfd5a34933142b80f45619ee410/components/soc/esp32c61/include/soc/soc_caps.h,C:\Users\confl\Desktop\alice blue\mcu-l-catalog\cache\espressif-idf-soc-caps\08e0d30a74ad0bfd5a34933142b80f45619ee410\esp32c61-soc_caps.h,404ae9a54781e7c22633d23b861774093ce229e2ea1407c8dac6c73de32411ba,24653,08e0d30a74ad0bfd5a34933142b80f45619ee410
esp32,https://raw.githubusercontent.com/espressif/esp-idf/08e0d30a74ad0bfd5a34933142b80f45619ee410/components/soc/esp32/include/soc/soc_caps.h,C:\Users\confl\Desktop\alice blue\mcu-l-catalog\cache\espressif-idf-soc-caps\08e0d30a74ad0bfd5a34933142b80f45619ee410\esp32-soc_caps.h,ad9980ad42eb087068be881a37f228e928cad902cd28e3b65343b259a0822efc,18811,08e0d30a74ad0bfd5a34933142b80f45619ee410
esp32c3,https://raw.githubusercontent.com/espressif/esp-idf/08e0d30a74ad0bfd5a34933142b80f45619ee410/components/soc/esp32c3/include/soc/soc_caps.h,C:\Users\confl\Desktop\alice blue\mcu-l-catalog\cache\espressif-idf-soc-caps\08e0d30a74ad0bfd5a34933142b80f45619ee410\esp32c3-soc_caps.h,2530be037699840bd0e3bedb28ffbba483d80befe3c2d04cb45503496be0bcd0,19248,08e0d30a74ad0bfd5a34933142b80f45619ee410
esp32c6,https://raw.githubusercontent.com/espressif/esp-idf/08e0d30a74ad0bfd5a34933142b80f45619ee410/components/soc/esp32c6/include/soc/soc_caps.h,C:\Users\confl\Desktop\alice blue\mcu-l-catalog\cache\espressif-idf-soc-caps\08e0d30a74ad0bfd5a34933142b80f45619ee410\esp32c6-soc_caps.h,179a409f2b1b3401974a867f75660fa8a1a8c86f9cbc26432c7cf9619c8a1ca0,27291,08e0d30a74ad0bfd5a34933142b80f45619ee410
esp32c2,https://raw.githubusercontent.com/espressif/esp-idf/08e0d30a74ad0bfd5a34933142b80f45619ee410/components/soc/esp32c2/include/soc/soc_caps.h,C:\Users\confl\Desktop\alice blue\mcu-l-catalog\cache\espressif-idf-soc-caps\08e0d30a74ad0bfd5a34933142b80f45619ee410\esp32c2-soc_caps.h,0efb0129918c58ab37ee8cc7fb5c2262f8663b4b3202d9b4871412972f7c9a72,14661,08e0d30a74ad0bfd5a34933142b80f45619ee410
esp32h21,https://raw.githubusercontent.com/espressif/esp-idf/08e0d30a74ad0bfd5a34933142b80f45619ee410/components/soc/esp32h21/include/soc/soc_caps.h,C:\Users\confl\Desktop\alice blue\mcu-l-catalog\cache\espressif-idf-soc-caps\08e0d30a74ad0bfd5a34933142b80f45619ee410\esp32h21-soc_caps.h,87aa3646bb0e3a828ba7718ea5996ce89ae64d5b7a5642dd249efab3f075dbbd,24135,08e0d30a74ad0bfd5a34933142b80f45619ee410
esp32h4,https://raw.githubusercontent.com/espressif/esp-idf/08e0d30a74ad0bfd5a34933142b80f45619ee410/components/soc/esp32h4/include/soc/soc_caps.h,C:\Users\confl\Desktop\alice blue\mcu-l-catalog\cache\espressif-idf-soc-caps\08e0d30a74ad0bfd5a34933142b80f45619ee410\esp32h4-soc_caps.h,ebf00e1a3476d1268f5145126f91e94d5c2232cc6d895f1cf4a463e8e9c7596f,28877,08e0d30a74ad0bfd5a34933142b80f45619ee410
esp32s2,https://raw.githubusercontent.com/espressif/esp-idf/08e0d30a74ad0bfd5a34933142b80f45619ee410/components/soc/esp32s2/include/soc/soc_caps.h,C:\Users\confl\Desktop\alice blue\mcu-l-catalog\cache\espressif-idf-soc-caps\08e0d30a74ad0bfd5a34933142b80f45619ee410\esp32s2-soc_caps.h,d0d1fdb3422178903915ce50ff22b6f1490ee3e0e2c52af16861378ee60b89df,21636,08e0d30a74ad0bfd5a34933142b80f45619ee410
esp32p4,https://raw.githubusercontent.com/espressif/esp-idf/08e0d30a74ad0bfd5a34933142b80f45619ee410/components/soc/esp32p4/include/soc/soc_caps.h,C:\Users\confl\Desktop\alice blue\mcu-l-catalog\cache\espressif-idf-soc-caps\08e0d30a74ad0bfd5a34933142b80f45619ee410\esp32p4-soc_caps.h,efec3745b7ab8b290f3c72aceeec1b16d8bde95fd9f130e739d31257d59194c5,38128,08e0d30a74ad0bfd5a34933142b80f45619ee410
esp32h2,https://raw.githubusercontent.com/espressif/esp-idf/08e0d30a74ad0bfd5a34933142b80f45619ee410/components/soc/esp32h2/include/soc/soc_caps.h,C:\Users\confl\Desktop\alice blue\mcu-l-catalog\cache\espressif-idf-soc-caps\08e0d30a74ad0bfd5a34933142b80f45619ee410\esp32h2-soc_caps.h,4e928481f7c794ccd8be1c1fb985a81e54c1cd01d2ee70e870fdfc88c8a2ffe7,25745,08e0d30a74ad0bfd5a34933142b80f45619ee410
esp32s31,https://raw.githubusercontent.com/espressif/esp-idf/08e0d30a74ad0bfd5a34933142b80f45619ee410/components/soc/esp32s31/include/soc/soc_caps.h,C:\Users\confl\Desktop\alice blue\mcu-l-catalog\cache\espressif-idf-soc-caps\08e0d30a74ad0bfd5a34933142b80f45619ee410\esp32s31-soc_caps.h,dd35a8ca319bb5c438df8a9e9b113c7b1c937cf516e0d755f8c798bbe34d7a71,37317,08e0d30a74ad0bfd5a34933142b80f45619ee410
esp32s3,https://raw.githubusercontent.com/espressif/esp-idf/08e0d30a74ad0bfd5a34933142b80f45619ee410/components/soc/esp32s3/include/soc/soc_caps.h,C:\Users\confl\Desktop\alice blue\mcu-l-catalog\cache\espressif-idf-soc-caps\08e0d30a74ad0bfd5a34933142b80f45619ee410\esp32s3-soc_caps.h,46ac961edc7b70b8a731a2a59995e77a8ad8b8f9475697101236aefe0a3a85ca,24940,08e0d30a74ad0bfd5a34933142b80f45619ee410
esp32c61:timer_group,https://raw.githubusercontent.com/espressif/esp-idf/08e0d30a74ad0bfd5a34933142b80f45619ee410/components/soc/esp32c61/register/soc/timer_group_struct.h,C:\Users\confl\Desktop\alice blue\mcu-l-catalog\cache\espressif-idf-soc-caps\08e0d30a74ad0bfd5a34933142b80f45619ee410\esp32c61-timer_group_struct.h,965ad33c53eb572d65726c376df3f21e649ed730eebc77dd901c3d1037ef2ee4,19677,08e0d30a74ad0bfd5a34933142b80f45619ee410
