device_id,device_name,series,reason
espressif::esp32-e22,ESP32-E22,ESP32-E22,series_not_present_in_selected_esp_idf_commit
espressif::esp32-e22-m2-1-kae,ESP32-E22-M2-1-KAE,ESP32-E22,series_not_present_in_selected_esp_idf_commit
espressif::esp-wroom-02-n2,ESP-WROOM-02-N2,ESP8266,series_not_present_in_selected_esp_idf_commit
espressif::esp-wroom-02-n4,ESP-WROOM-02-N4,ESP8266,series_not_present_in_selected_esp_idf_commit
espressif::esp-wroom-02d-h2,ESP-WROOM-02D-H2,ESP8266,series_not_present_in_selected_esp_idf_commit
espressif::esp-wroom-02d-n2,ESP-WROOM-02D-N2,ESP8266,series_not_present_in_selected_esp_idf_commit
espressif::esp-wroom-02d-n4,ESP-WROOM-02D-N4,ESP8266,series_not_present_in_selected_esp_idf_commit
espressif::esp-wroom-02u-h2,ESP-WROOM-02U-H2,ESP8266,series_not_present_in_selected_esp_idf_commit
espressif::esp-wroom-02u-n2,ESP-WROOM-02U-N2,ESP8266,series_not_present_in_selected_esp_idf_commit
espressif::esp-wroom-02u-n4,ESP-WROOM-02U-N4,ESP8266,series_not_present_in_selected_esp_idf_commit
espressif::esp-wroom-5v2l-n2,ESP-WROOM-5V2L-N2,ESP8266,series_not_present_in_selected_esp_idf_commit
espressif::esp-wroom-s2-n2,ESP-WROOM-S2-N2,ESP8266,series_not_present_in_selected_esp_idf_commit
espressif::esp8266ex,ESP8266EX,ESP8266,series_not_present_in_selected_esp_idf_commit
espressif::esp8285h16,ESP8285H16,ESP8266,series_not_present_in_selected_esp_idf_commit
espressif::esp8285n08,ESP8285N08,ESP8266,series_not_present_in_selected_esp_idf_commit
espressif::esp8685h4,ESP8685H4,ESP8685,series_not_present_in_selected_esp_idf_commit
espressif::esp8685-wroom-01-h2,ESP8685-WROOM-01-H2,ESP8685,series_not_present_in_selected_esp_idf_commit
espressif::esp8685-wroom-01-h4,ESP8685-WROOM-01-H4,ESP8685,series_not_present_in_selected_esp_idf_commit
espressif::esp8685-wroom-03-h2,ESP8685-WROOM-03-H2,ESP8685,series_not_present_in_selected_esp_idf_commit
espressif::esp8685-wroom-03-h4,ESP8685-WROOM-03-H4,ESP8685,series_not_present_in_selected_esp_idf_commit
espressif::esp8685-wroom-04-h2,ESP8685-WROOM-04-H2,ESP8685,series_not_present_in_selected_esp_idf_commit
espressif::esp8685-wroom-04-h4,ESP8685-WROOM-04-H4,ESP8685,series_not_present_in_selected_esp_idf_commit
espressif::esp8685-wroom-05-h2,ESP8685-WROOM-05-H2,ESP8685,series_not_present_in_selected_esp_idf_commit
espressif::esp8685-wroom-05-h4,ESP8685-WROOM-05-H4,ESP8685,series_not_present_in_selected_esp_idf_commit
espressif::esp8685-wroom-06-h2,ESP8685-WROOM-06-H2,ESP8685,series_not_present_in_selected_esp_idf_commit
espressif::esp8685-wroom-06-h4,ESP8685-WROOM-06-H4,ESP8685,series_not_present_in_selected_esp_idf_commit
espressif::esp8685-wroom-07-h2,ESP8685-WROOM-07-H2,ESP8685,series_not_present_in_selected_esp_idf_commit
espressif::esp8685-wroom-07-h4,ESP8685-WROOM-07-H4,ESP8685,series_not_present_in_selected_esp_idf_commit
