orderable_part_id,device_id,manufacturer,family,series,product_line,device_name,part_number,manufacturer_suffix,package_code,temperature_grade_code,packing_code,package_name,temperature_range,packing_form,lifecycle,source_id,source_url,observed_at,verification_status,decode_status
espressif::esp-wroom-02-n2,espressif::esp-wroom-02-n2,Espressif,ESP,ESP8266,ESP-WROOM-02,ESP-WROOM-02-N2,ESP-WROOM-02-N2,N2,,,,,-40 ℃ ~ 85 ℃,,nrnd,espressif-product-selector:module:en,https://products.espressif.com/#/product-comparison,2026-08-12T07:34:50+00:00,manufacturer_product_selector_api,official_mpn_record; suffix_not_inferred
espressif::esp-wroom-02-n4,espressif::esp-wroom-02-n4,Espressif,ESP,ESP8266,ESP-WROOM-02,ESP-WROOM-02-N4,ESP-WROOM-02-N4,N4,,,,,-40 ℃ ~ 85 ℃,,eol,espressif-product-selector:module:en,https://products.espressif.com/#/product-comparison,2026-08-12T07:34:50+00:00,manufacturer_product_selector_api,official_mpn_record; suffix_not_inferred
espressif::esp-wroom-02d-h2,espressif::esp-wroom-02d-h2,Espressif,ESP,ESP8266,ESP-WROOM-02D,ESP-WROOM-02D-H2,ESP-WROOM-02D-H2,H2,,,,,-40 ℃ ~ 105 ℃,,nrnd,espressif-product-selector:module:en,https://products.espressif.com/#/product-comparison,2026-08-12T07:34:50+00:00,manufacturer_product_selector_api,official_mpn_record; suffix_not_inferred
espressif::esp-wroom-02d-n2,espressif::esp-wroom-02d-n2,Espressif,ESP,ESP8266,ESP-WROOM-02D,ESP-WROOM-02D-N2,ESP-WROOM-02D-N2,N2,,,,,-40 ℃ ~ 85 ℃,,nrnd,espressif-product-selector:module:en,https://products.espressif.com/#/product-comparison,2026-08-12T07:34:50+00:00,manufacturer_product_selector_api,official_mpn_record; suffix_not_inferred
espressif::esp-wroom-02d-n4,espressif::esp-wroom-02d-n4,Espressif,ESP,ESP8266,ESP-WROOM-02D,ESP-WROOM-02D-N4,ESP-WROOM-02D-N4,N4,,,,,-40 ℃ ~ 85 ℃,,nrnd,espressif-product-selector:module:en,https://products.espressif.com/#/product-comparison,2026-08-12T07:34:50+00:00,manufacturer_product_selector_api,official_mpn_record; suffix_not_inferred
espressif::esp-wroom-02u-h2,espressif::esp-wroom-02u-h2,Espressif,ESP,ESP8266,ESP-WROOM-02U,ESP-WROOM-02U-H2,ESP-WROOM-02U-H2,H2,,,,,-40 ℃ ~ 105 ℃,,eol,espressif-product-selector:module:en,https://products.espressif.com/#/product-comparison,2026-08-12T07:34:50+00:00,manufacturer_product_selector_api,official_mpn_record; suffix_not_inferred
espressif::esp-wroom-02u-n2,espressif::esp-wroom-02u-n2,Espressif,ESP,ESP8266,ESP-WROOM-02U,ESP-WROOM-02U-N2,ESP-WROOM-02U-N2,N2,,,,,-40 ℃ ~ 85 ℃,,nrnd,espressif-product-selector:module:en,https://products.espressif.com/#/product-comparison,2026-08-12T07:34:50+00:00,manufacturer_product_selector_api,official_mpn_record; suffix_not_inferred
espressif::esp-wroom-02u-n4,espressif::esp-wroom-02u-n4,Espressif,ESP,ESP8266,ESP-WROOM-02U,ESP-WROOM-02U-N4,ESP-WROOM-02U-N4,N4,,,,,-40 ℃ ~ 85 ℃,,nrnd,espressif-product-selector:module:en,https://products.espressif.com/#/product-comparison,2026-08-12T07:34:50+00:00,manufacturer_product_selector_api,official_mpn_record; suffix_not_inferred
espressif::esp-wroom-5v2l-n2,espressif::esp-wroom-5v2l-n2,Espressif,ESP,ESP8266,ESP-WROOM-5V2L,ESP-WROOM-5V2L-N2,ESP-WROOM-5V2L-N2,N2,,,,,-40 ℃ ~ 85 ℃,,eol,espressif-product-selector:module:en,https://products.espressif.com/#/product-comparison,2026-08-12T07:34:50+00:00,manufacturer_product_selector_api,official_mpn_record; suffix_not_inferred
espressif::esp-wroom-s2-n2,espressif::esp-wroom-s2-n2,Espressif,ESP,ESP8266,ESP-WROOM-S2,ESP-WROOM-S2-N2,ESP-WROOM-S2-N2,N2,,,,,-40 ℃ ~ 85 ℃,,eol,espressif-product-selector:module:en,https://products.espressif.com/#/product-comparison,2026-08-12T07:34:50+00:00,manufacturer_product_selector_api,official_mpn_record; suffix_not_inferred
espressif::esp32-c3,espressif::esp32-c3,Espressif,ESP,ESP32-C3,ESP32-C3,ESP32-C3,ESP32-C3,,QFN 5×5,,,QFN 5×5,-40 ℃ ~ 105 ℃,,active,espressif-product-selector:chip:en,https://products.espressif.com/#/product-comparison,2026-08-12T07:34:50+00:00,manufacturer_product_selector_api,official_mpn_record; suffix_not_inferred
espressif::esp32-c3-mini-1-h4,espressif::esp32-c3-mini-1-h4,Espressif,ESP,ESP32-C3,ESP32-C3-MINI-1,ESP32-C3-MINI-1-H4,ESP32-C3-MINI-1-H4,H4,,,,,-40 ℃ ~ 105 ℃,,nrnd,espressif-product-selector:module:en,https://products.espressif.com/#/product-comparison,2026-08-12T07:34:50+00:00,manufacturer_product_selector_api,official_mpn_record; suffix_not_inferred
espressif::esp32-c3-mini-1-h4x,espressif::esp32-c3-mini-1-h4x,Espressif,ESP,ESP32-C3,ESP32-C3-MINI-1,ESP32-C3-MINI-1-H4X,ESP32-C3-MINI-1-H4X,H4X,,,,,-40 ℃ ~ 105 ℃,,active,espressif-product-selector:module:en,https://products.espressif.com/#/product-comparison,2026-08-12T07:34:50+00:00,manufacturer_product_selector_api,official_mpn_record; suffix_not_inferred
espressif::esp32-c3-mini-1-h8x,espressif::esp32-c3-mini-1-h8x,Espressif,ESP,ESP32-C3,ESP32-C3-MINI-1,ESP32-C3-MINI-1-H8X,ESP32-C3-MINI-1-H8X,H8X,,,,,-40 ℃ ~ 105 ℃,,active,espressif-product-selector:module:en,https://products.espressif.com/#/product-comparison,2026-08-12T07:34:50+00:00,manufacturer_product_selector_api,official_mpn_record; suffix_not_inferred
