device_id,product_line_id,manufacturer,product_type,architecture_class,family,series,product_line,device_name,generic_device_name,manufacturer_variant_code,processor_cores,max_clock_hz,flash_bytes,ram_bytes,package_types,pin_counts,memory_regions_json,features_json,documents_json,svd_files,lifecycle,source_id,source_url,source_version,observed_at,verification_status
geehy::apm32e103cc,geehy::apm32::apm32e1::apm32e103,Geehy,general_purpose_mcu,Cortex-M3,APM32,APM32E1,APM32E103,APM32E103CC,APM32E103CC,CC,"[{""Dclock"": ""120000000"", ""Dcore"": ""Cortex-M3"", ""DcoreVersion"": ""r1p1"", ""Dendian"": ""Little-endian"", ""Dfpu"": ""0"", ""Dmpu"": ""0""}]",120000000,262144,65536,,,"[{""default"": ""1"", ""id"": ""IROM1"", ""size"": ""0x00040000"", ""start"": ""0x08000000"", ""startup"": ""1""}, {""default"": ""1"", ""id"": ""IRAM1"", ""init"": ""0"", ""size"": ""0x00010000"", ""start"": ""0x20000000""}]","[{""n"": ""2"", ""type"": ""WDT""}, {""n"": ""32768"", ""type"": ""RTC""}, {""m"": ""3.60"", ""n"": ""2.00"", ""type"": ""VCC""}, {""m"": ""105"", ""n"": ""-40"", ""type"": ""Temp""}, {""m"": ""12"", ""n"": ""2"", ""type"": ""DAC""}, {""m"": ""18000000"", ""n"": ""3"", ""type"": ""SPI""}, {""n"": ""2"", ""type"": ""I2S""}, {""n"": ""2"", ""type"": ""I2C""}, {""n"": ""1"", ""type"": ""USBD""}, {""n"": ""2"", ""type"": ""CAN""}, {""m"": ""16"", ""n"": ""7"", ""type"": ""Timer""}, {""m"": ""12"", ""n"": ""10"", ""type"": ""ADC""}, {""n"": ""37"", ""type"": ""IOs""}, {""m"": ""4500000"", ""n"": ""3"", ""type"": ""USART""}]","[{""name"": ""Documents/dui0552a_cortex_m3_dgug.pdf"", ""title"": ""Cortex-M3 Generic User Guide""}, {""name"": ""Documents/DATASHEET.pdf"", ""title"": ""APM32E103 Data Sheet""}]",SVD/APM32E103xx.svd,unknown,cmsis:Geehy.APM32E1xx_DFP@1.0.5,https://global.geehy.com/uploads/tool/Geehy.APM32E1xx_DFP.pdsc,1.0.5,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
geehy::apm32e103ce,geehy::apm32::apm32e1::apm32e103,Geehy,general_purpose_mcu,Cortex-M3,APM32,APM32E1,APM32E103,APM32E103CE,APM32E103CE,CE,"[{""Dclock"": ""120000000"", ""Dcore"": ""Cortex-M3"", ""DcoreVersion"": ""r1p1"", ""Dendian"": ""Little-endian"", ""Dfpu"": ""0"", ""Dmpu"": ""0""}]",120000000,524288,131072,,,"[{""default"": ""1"", ""id"": ""IROM1"", ""size"": ""0x00080000"", ""start"": ""0x08000000"", ""startup"": ""1""}, {""default"": ""1"", ""id"": ""IRAM1"", ""init"": ""0"", ""size"": ""0x00020000"", ""start"": ""0x20000000""}]","[{""n"": ""2"", ""type"": ""WDT""}, {""n"": ""32768"", ""type"": ""RTC""}, {""m"": ""3.60"", ""n"": ""2.00"", ""type"": ""VCC""}, {""m"": ""105"", ""n"": ""-40"", ""type"": ""Temp""}, {""m"": ""12"", ""n"": ""2"", ""type"": ""DAC""}, {""m"": ""18000000"", ""n"": ""3"", ""type"": ""SPI""}, {""n"": ""2"", ""type"": ""I2S""}, {""n"": ""2"", ""type"": ""I2C""}, {""n"": ""1"", ""type"": ""USBD""}, {""n"": ""2"", ""type"": ""CAN""}, {""m"": ""16"", ""n"": ""7"", ""type"": ""Timer""}, {""m"": ""12"", ""n"": ""10"", ""type"": ""ADC""}, {""n"": ""37"", ""type"": ""IOs""}, {""m"": ""4500000"", ""n"": ""3"", ""type"": ""USART""}]","[{""name"": ""Documents/dui0552a_cortex_m3_dgug.pdf"", ""title"": ""Cortex-M3 Generic User Guide""}, {""name"": ""Documents/DATASHEET.pdf"", ""title"": ""APM32E103 Data Sheet""}]",SVD/APM32E103xx.svd,unknown,cmsis:Geehy.APM32E1xx_DFP@1.0.5,https://global.geehy.com/uploads/tool/Geehy.APM32E1xx_DFP.pdsc,1.0.5,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
geehy::apm32e103rc,geehy::apm32::apm32e1::apm32e103,Geehy,general_purpose_mcu,Cortex-M3,APM32,APM32E1,APM32E103,APM32E103RC,APM32E103RC,RC,"[{""Dclock"": ""120000000"", ""Dcore"": ""Cortex-M3"", ""DcoreVersion"": ""r1p1"", ""Dendian"": ""Little-endian"", ""Dfpu"": ""0"", ""Dmpu"": ""0""}]",120000000,262144,65536,,,"[{""default"": ""1"", ""id"": ""IROM1"", ""size"": ""0x00040000"", ""start"": ""0x08000000"", ""startup"": ""1""}, {""default"": ""1"", ""id"": ""IRAM1"", ""init"": ""0"", ""size"": ""0x00010000"", ""start"": ""0x20000000""}]","[{""n"": ""2"", ""type"": ""WDT""}, {""n"": ""32768"", ""type"": ""RTC""}, {""m"": ""3.60"", ""n"": ""2.00"", ""type"": ""VCC""}, {""m"": ""105"", ""n"": ""-40"", ""type"": ""Temp""}, {""m"": ""12"", ""n"": ""2"", ""type"": ""DAC""}, {""m"": ""18000000"", ""n"": ""3"", ""type"": ""SPI""}, {""n"": ""2"", ""type"": ""I2S""}, {""n"": ""2"", ""type"": ""I2C""}, {""n"": ""1"", ""type"": ""USBD""}, {""n"": ""2"", ""type"": ""CAN""}, {""m"": ""16"", ""n"": ""8"", ""type"": ""Timer""}, {""m"": ""12"", ""n"": ""16"", ""type"": ""ADC""}, {""n"": ""51"", ""type"": ""IOs""}, {""m"": ""4500000"", ""n"": ""3"", ""type"": ""USART""}, {""m"": ""4500000"", ""n"": ""2"", ""type"": ""UART""}, {""n"": ""1"", ""type"": ""SDIO""}]","[{""name"": ""Documents/dui0552a_cortex_m3_dgug.pdf"", ""title"": ""Cortex-M3 Generic User Guide""}, {""name"": ""Documents/DATASHEET.pdf"", ""title"": ""APM32E103 Data Sheet""}]",SVD/APM32E103xx.svd,unknown,cmsis:Geehy.APM32E1xx_DFP@1.0.5,https://global.geehy.com/uploads/tool/Geehy.APM32E1xx_DFP.pdsc,1.0.5,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
geehy::apm32e103re,geehy::apm32::apm32e1::apm32e103,Geehy,general_purpose_mcu,Cortex-M3,APM32,APM32E1,APM32E103,APM32E103RE,APM32E103RE,RE,"[{""Dclock"": ""120000000"", ""Dcore"": ""Cortex-M3"", ""DcoreVersion"": ""r1p1"", ""Dendian"": ""Little-endian"", ""Dfpu"": ""0"", ""Dmpu"": ""0""}]",120000000,524288,131072,,,"[{""default"": ""1"", ""id"": ""IROM1"", ""size"": ""0x00080000"", ""start"": ""0x08000000"", ""startup"": ""1""}, {""default"": ""1"", ""id"": ""IRAM1"", ""init"": ""0"", ""size"": ""0x00020000"", ""start"": ""0x20000000""}]","[{""n"": ""2"", ""type"": ""WDT""}, {""n"": ""32768"", ""type"": ""RTC""}, {""m"": ""3.60"", ""n"": ""2.00"", ""type"": ""VCC""}, {""m"": ""105"", ""n"": ""-40"", ""type"": ""Temp""}, {""m"": ""12"", ""n"": ""2"", ""type"": ""DAC""}, {""m"": ""18000000"", ""n"": ""3"", ""type"": ""SPI""}, {""n"": ""2"", ""type"": ""I2S""}, {""n"": ""2"", ""type"": ""I2C""}, {""n"": ""1"", ""type"": ""USBD""}, {""n"": ""2"", ""type"": ""CAN""}, {""m"": ""16"", ""n"": ""8"", ""type"": ""Timer""}, {""m"": ""12"", ""n"": ""16"", ""type"": ""ADC""}, {""n"": ""51"", ""type"": ""IOs""}, {""m"": ""4500000"", ""n"": ""3"", ""type"": ""USART""}, {""m"": ""4500000"", ""n"": ""2"", ""type"": ""UART""}, {""n"": ""1"", ""type"": ""SDIO""}]","[{""name"": ""Documents/dui0552a_cortex_m3_dgug.pdf"", ""title"": ""Cortex-M3 Generic User Guide""}, {""name"": ""Documents/DATASHEET.pdf"", ""title"": ""APM32E103 Data Sheet""}]",SVD/APM32E103xx.svd,unknown,cmsis:Geehy.APM32E1xx_DFP@1.0.5,https://global.geehy.com/uploads/tool/Geehy.APM32E1xx_DFP.pdsc,1.0.5,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
geehy::apm32e103vc,geehy::apm32::apm32e1::apm32e103,Geehy,general_purpose_mcu,Cortex-M3,APM32,APM32E1,APM32E103,APM32E103VC,APM32E103VC,VC,"[{""Dclock"": ""120000000"", ""Dcore"": ""Cortex-M3"", ""DcoreVersion"": ""r1p1"", ""Dendian"": ""Little-endian"", ""Dfpu"": ""0"", ""Dmpu"": ""0""}]",120000000,262144,65536,,,"[{""default"": ""1"", ""id"": ""IROM1"", ""size"": ""0x00040000"", ""start"": ""0x08000000"", ""startup"": ""1""}, {""default"": ""1"", ""id"": ""IRAM1"", ""init"": ""0"", ""size"": ""0x00010000"", ""start"": ""0x20000000""}]","[{""n"": ""2"", ""type"": ""WDT""}, {""n"": ""32768"", ""type"": ""RTC""}, {""m"": ""3.60"", ""n"": ""2.00"", ""type"": ""VCC""}, {""m"": ""105"", ""n"": ""-40"", ""type"": ""Temp""}, {""m"": ""12"", ""n"": ""2"", ""type"": ""DAC""}, {""m"": ""18000000"", ""n"": ""3"", ""type"": ""SPI""}, {""n"": ""2"", ""type"": ""I2S""}, {""n"": ""2"", ""type"": ""I2C""}, {""n"": ""1"", ""type"": ""USBD""}, {""n"": ""2"", ""type"": ""CAN""}, {""m"": ""16"", ""n"": ""8"", ""type"": ""Timer""}, {""m"": ""12"", ""n"": ""16"", ""type"": ""ADC""}, {""n"": ""80"", ""type"": ""IOs""}, {""m"": ""4500000"", ""n"": ""3"", ""type"": ""USART""}, {""m"": ""4500000"", ""n"": ""2"", ""type"": ""UART""}, {""n"": ""1"", ""type"": ""SDIO""}]","[{""name"": ""Documents/dui0552a_cortex_m3_dgug.pdf"", ""title"": ""Cortex-M3 Generic User Guide""}, {""name"": ""Documents/DATASHEET.pdf"", ""title"": ""APM32E103 Data Sheet""}]",SVD/APM32E103xx.svd,unknown,cmsis:Geehy.APM32E1xx_DFP@1.0.5,https://global.geehy.com/uploads/tool/Geehy.APM32E1xx_DFP.pdsc,1.0.5,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
geehy::apm32e103ve,geehy::apm32::apm32e1::apm32e103,Geehy,general_purpose_mcu,Cortex-M3,APM32,APM32E1,APM32E103,APM32E103VE,APM32E103VE,VE,"[{""Dclock"": ""120000000"", ""Dcore"": ""Cortex-M3"", ""DcoreVersion"": ""r1p1"", ""Dendian"": ""Little-endian"", ""Dfpu"": ""0"", ""Dmpu"": ""0""}]",120000000,524288,131072,,,"[{""default"": ""1"", ""id"": ""IROM1"", ""size"": ""0x00080000"", ""start"": ""0x08000000"", ""startup"": ""1""}, {""default"": ""1"", ""id"": ""IRAM1"", ""init"": ""0"", ""size"": ""0x00020000"", ""start"": ""0x20000000""}]","[{""n"": ""2"", ""type"": ""WDT""}, {""n"": ""32768"", ""type"": ""RTC""}, {""m"": ""3.60"", ""n"": ""2.00"", ""type"": ""VCC""}, {""m"": ""105"", ""n"": ""-40"", ""type"": ""Temp""}, {""m"": ""12"", ""n"": ""2"", ""type"": ""DAC""}, {""m"": ""18000000"", ""n"": ""3"", ""type"": ""SPI""}, {""n"": ""2"", ""type"": ""I2S""}, {""n"": ""2"", ""type"": ""I2C""}, {""n"": ""1"", ""type"": ""USBD""}, {""n"": ""2"", ""type"": ""CAN""}, {""m"": ""16"", ""n"": ""8"", ""type"": ""Timer""}, {""m"": ""12"", ""n"": ""16"", ""type"": ""ADC""}, {""n"": ""80"", ""type"": ""IOs""}, {""m"": ""4500000"", ""n"": ""3"", ""type"": ""USART""}, {""m"": ""4500000"", ""n"": ""2"", ""type"": ""UART""}, {""n"": ""1"", ""type"": ""SDIO""}]","[{""name"": ""Documents/dui0552a_cortex_m3_dgug.pdf"", ""title"": ""Cortex-M3 Generic User Guide""}, {""name"": ""Documents/DATASHEET.pdf"", ""title"": ""APM32E103 Data Sheet""}]",SVD/APM32E103xx.svd,unknown,cmsis:Geehy.APM32E1xx_DFP@1.0.5,https://global.geehy.com/uploads/tool/Geehy.APM32E1xx_DFP.pdsc,1.0.5,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
geehy::apm32e103zc,geehy::apm32::apm32e1::apm32e103,Geehy,general_purpose_mcu,Cortex-M3,APM32,APM32E1,APM32E103,APM32E103ZC,APM32E103ZC,ZC,"[{""Dclock"": ""120000000"", ""Dcore"": ""Cortex-M3"", ""DcoreVersion"": ""r1p1"", ""Dendian"": ""Little-endian"", ""Dfpu"": ""0"", ""Dmpu"": ""0""}]",120000000,262144,65536,,,"[{""default"": ""1"", ""id"": ""IROM1"", ""size"": ""0x00040000"", ""start"": ""0x08000000"", ""startup"": ""1""}, {""default"": ""1"", ""id"": ""IRAM1"", ""init"": ""0"", ""size"": ""0x00010000"", ""start"": ""0x20000000""}]","[{""n"": ""2"", ""type"": ""WDT""}, {""n"": ""32768"", ""type"": ""RTC""}, {""m"": ""3.60"", ""n"": ""2.00"", ""type"": ""VCC""}, {""m"": ""105"", ""n"": ""-40"", ""type"": ""Temp""}, {""m"": ""12"", ""n"": ""2"", ""type"": ""DAC""}, {""m"": ""18000000"", ""n"": ""3"", ""type"": ""SPI""}, {""n"": ""2"", ""type"": ""I2S""}, {""n"": ""2"", ""type"": ""I2C""}, {""n"": ""1"", ""type"": ""USBD""}, {""n"": ""2"", ""type"": ""CAN""}, {""m"": ""16"", ""n"": ""8"", ""type"": ""Timer""}, {""m"": ""12"", ""n"": ""21"", ""type"": ""ADC""}, {""n"": ""112"", ""type"": ""IOs""}, {""m"": ""4500000"", ""n"": ""3"", ""type"": ""USART""}, {""m"": ""4500000"", ""n"": ""2"", ""type"": ""UART""}, {""n"": ""1"", ""type"": ""SDIO""}]","[{""name"": ""Documents/dui0552a_cortex_m3_dgug.pdf"", ""title"": ""Cortex-M3 Generic User Guide""}, {""name"": ""Documents/DATASHEET.pdf"", ""title"": ""APM32E103 Data Sheet""}]",SVD/APM32E103xx.svd,unknown,cmsis:Geehy.APM32E1xx_DFP@1.0.5,https://global.geehy.com/uploads/tool/Geehy.APM32E1xx_DFP.pdsc,1.0.5,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
geehy::apm32e103ze,geehy::apm32::apm32e1::apm32e103,Geehy,general_purpose_mcu,Cortex-M3,APM32,APM32E1,APM32E103,APM32E103ZE,APM32E103ZE,ZE,"[{""Dclock"": ""120000000"", ""Dcore"": ""Cortex-M3"", ""DcoreVersion"": ""r1p1"", ""Dendian"": ""Little-endian"", ""Dfpu"": ""0"", ""Dmpu"": ""0""}]",120000000,524288,131072,,,"[{""default"": ""1"", ""id"": ""IROM1"", ""size"": ""0x00080000"", ""start"": ""0x08000000"", ""startup"": ""1""}, {""default"": ""1"", ""id"": ""IRAM1"", ""init"": ""0"", ""size"": ""0x00020000"", ""start"": ""0x20000000""}]","[{""n"": ""2"", ""type"": ""WDT""}, {""n"": ""32768"", ""type"": ""RTC""}, {""m"": ""3.60"", ""n"": ""2.00"", ""type"": ""VCC""}, {""m"": ""105"", ""n"": ""-40"", ""type"": ""Temp""}, {""m"": ""12"", ""n"": ""2"", ""type"": ""DAC""}, {""m"": ""18000000"", ""n"": ""3"", ""type"": ""SPI""}, {""n"": ""2"", ""type"": ""I2S""}, {""n"": ""2"", ""type"": ""I2C""}, {""n"": ""1"", ""type"": ""USBD""}, {""n"": ""2"", ""type"": ""CAN""}, {""m"": ""16"", ""n"": ""8"", ""type"": ""Timer""}, {""m"": ""12"", ""n"": ""21"", ""type"": ""ADC""}, {""n"": ""112"", ""type"": ""IOs""}, {""m"": ""4500000"", ""n"": ""3"", ""type"": ""USART""}, {""m"": ""4500000"", ""n"": ""2"", ""type"": ""UART""}, {""n"": ""1"", ""type"": ""SDIO""}]","[{""name"": ""Documents/dui0552a_cortex_m3_dgug.pdf"", ""title"": ""Cortex-M3 Generic User Guide""}, {""name"": ""Documents/DATASHEET.pdf"", ""title"": ""APM32E103 Data Sheet""}]",SVD/APM32E103xx.svd,unknown,cmsis:Geehy.APM32E1xx_DFP@1.0.5,https://global.geehy.com/uploads/tool/Geehy.APM32E1xx_DFP.pdsc,1.0.5,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
geehy::apm32f003f4,geehy::apm32::apm32f0::apm32f003,Geehy,general_purpose_mcu,Cortex-M0+,APM32,APM32F0,APM32F003,APM32F003F4,APM32F003F4,F4,"[{""Dclock"": ""48000000"", ""Dcore"": ""Cortex-M0+"", ""DcoreVersion"": ""r0p1"", ""Dendian"": ""Little-endian"", ""Dfpu"": ""0"", ""Dmpu"": ""0""}]",48000000,16384,2048,QFN;QFP;SOP,20,"[{""default"": ""1"", ""id"": ""IROM1"", ""size"": ""0x4000"", ""start"": ""0x00000000"", ""startup"": ""1""}, {""default"": ""1"", ""id"": ""IRAM1"", ""init"": ""0"", ""size"": ""0x800"", ""start"": ""0x20000000""}]","[{""m"": ""16"", ""n"": ""2"", ""type"": ""Timer""}, {""m"": ""10"", ""n"": ""1"", ""type"": ""ADC""}, {""n"": ""16"", ""type"": ""IOs""}, {""m"": ""18000000"", ""n"": ""1"", ""type"": ""SPI""}, {""n"": ""1"", ""type"": ""I2C""}, {""m"": ""4500000"", ""n"": ""1"", ""type"": ""USART""}, {""n"": ""20"", ""type"": ""QFP""}, {""n"": ""20"", ""type"": ""QFN""}, {""n"": ""20"", ""type"": ""SOP""}]","[{""name"": ""Documents/dui0552a_cortex_m0+_dgug.pdf"", ""title"": ""Cortex-M0+ Generic User Guide""}, {""name"": ""Documents/DATASHEET.pdf"", ""title"": ""APM32F00x Data Sheet""}]",SVD/APM32F00x.svd,unknown,cmsis:Geehy.APM32F00x_DFP@1.0.7,https://global.geehy.com/uploads/tool/Geehy.APM32F00x_DFP.pdsc,1.0.7,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
geehy::apm32f003f6,geehy::apm32::apm32f0::apm32f003,Geehy,general_purpose_mcu,Cortex-M0+,APM32,APM32F0,APM32F003,APM32F003F6,APM32F003F6,F6,"[{""Dclock"": ""48000000"", ""Dcore"": ""Cortex-M0+"", ""DcoreVersion"": ""r0p1"", ""Dendian"": ""Little-endian"", ""Dfpu"": ""0"", ""Dmpu"": ""0""}]",48000000,32768,4096,QFN;QFP;SOP,20,"[{""default"": ""1"", ""id"": ""IROM1"", ""size"": ""0x8000"", ""start"": ""0x00000000"", ""startup"": ""1""}, {""default"": ""1"", ""id"": ""IRAM1"", ""init"": ""0"", ""size"": ""0x1000"", ""start"": ""0x20000000""}]","[{""m"": ""16"", ""n"": ""2"", ""type"": ""Timer""}, {""m"": ""10"", ""n"": ""1"", ""type"": ""ADC""}, {""n"": ""16"", ""type"": ""IOs""}, {""m"": ""18000000"", ""n"": ""1"", ""type"": ""SPI""}, {""n"": ""1"", ""type"": ""I2C""}, {""m"": ""4500000"", ""n"": ""1"", ""type"": ""USART""}, {""n"": ""20"", ""type"": ""QFP""}, {""n"": ""20"", ""type"": ""QFN""}, {""n"": ""20"", ""type"": ""SOP""}]","[{""name"": ""Documents/dui0552a_cortex_m0+_dgug.pdf"", ""title"": ""Cortex-M0+ Generic User Guide""}, {""name"": ""Documents/DATASHEET.pdf"", ""title"": ""APM32F00x Data Sheet""}]",SVD/APM32F00x.svd,unknown,cmsis:Geehy.APM32F00x_DFP@1.0.7,https://global.geehy.com/uploads/tool/Geehy.APM32F00x_DFP.pdsc,1.0.7,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
