product_line_id,manufacturer,product_type,architecture_class,family,series,product_line,device_variant_count,source_ids,observed_at,verification_status
geehy::apm32::apm32e1::apm32e103,Geehy,general_purpose_mcu,Cortex-M3,APM32,APM32E1,APM32E103,8,cmsis:Geehy.APM32E1xx_DFP@1.0.5,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
geehy::apm32::apm32f0::apm32f003,Geehy,general_purpose_mcu,Cortex-M0+,APM32,APM32F0,APM32F003,2,cmsis:Geehy.APM32F00x_DFP@1.0.7,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
geehy::apm32::apm32f0::apm32f030,Geehy,general_purpose_mcu,Cortex-M0+,APM32,APM32F0,APM32F030,13,cmsis:Geehy.APM32F0xx_DFP@1.1.4,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
geehy::apm32::apm32f0::apm32f051,Geehy,general_purpose_mcu,Cortex-M0+,APM32,APM32F0,APM32F051,6,cmsis:Geehy.APM32F0xx_DFP@1.1.4,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
geehy::apm32::apm32f0::apm32f070,Geehy,general_purpose_mcu,Cortex-M0+,APM32,APM32F0,APM32F070,2,cmsis:Geehy.APM32F0xx_DFP@1.1.4,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
geehy::apm32::apm32f0::apm32f071,Geehy,general_purpose_mcu,Cortex-M0+,APM32,APM32F0,APM32F071,2,cmsis:Geehy.APM32F0xx_DFP@1.1.4,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
geehy::apm32::apm32f0::apm32f072,Geehy,general_purpose_mcu,Cortex-M0+,APM32,APM32F0,APM32F072,6,cmsis:Geehy.APM32F0xx_DFP@1.1.4,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
geehy::apm32::apm32f0::apm32f091,Geehy,general_purpose_mcu,Cortex-M0+,APM32,APM32F0,APM32F091,6,cmsis:Geehy.APM32F0xx_DFP@1.1.4,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
geehy::apm32::apm32f035::apm32f035,Geehy,general_purpose_mcu,Cortex-M0+,APM32,APM32F035,APM32F035,1,cmsis:Geehy.APM32F035_DFP@1.0.4,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
geehy::apm32::apm32f1::apm32f103,Geehy,general_purpose_mcu,Cortex-M3,APM32,APM32F1,APM32F103,24,cmsis:Geehy.APM32F1xx_DFP@1.2.1,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
geehy::apm32::apm32f1::apm32f105,Geehy,general_purpose_mcu,Cortex-M3,APM32,APM32F1,APM32F105,4,cmsis:Geehy.APM32F1xx_DFP@1.2.1,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
geehy::apm32::apm32f1::apm32f107,Geehy,general_purpose_mcu,Cortex-M3,APM32,APM32F1,APM32F107,4,cmsis:Geehy.APM32F1xx_DFP@1.2.1,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
geehy::apm32::apm32f4::apm32f402,Geehy,general_purpose_mcu,Cortex-M4,APM32,APM32F4,APM32F402,3,cmsis:Geehy.APM32F4xx_DFP@1.0.12,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
geehy::apm32::apm32f4::apm32f403,Geehy,general_purpose_mcu,Cortex-M4,APM32,APM32F4,APM32F403,3,cmsis:Geehy.APM32F4xx_DFP@1.0.12,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
geehy::apm32::apm32f4::apm32f405,Geehy,general_purpose_mcu,Cortex-M4,APM32,APM32F4,APM32F405,3,cmsis:Geehy.APM32F4xx_DFP@1.0.12,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
geehy::apm32::apm32f4::apm32f407,Geehy,general_purpose_mcu,Cortex-M4,APM32,APM32F4,APM32F407,8,cmsis:Geehy.APM32F4xx_DFP@1.0.12,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
geehy::apm32::apm32f4::apm32f411,Geehy,general_purpose_mcu,Cortex-M4,APM32,APM32F4,APM32F411,6,cmsis:Geehy.APM32F4xx_DFP@1.0.12,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
geehy::apm32::apm32f4::apm32f415,Geehy,general_purpose_mcu,Cortex-M4,APM32,APM32F4,APM32F415,3,cmsis:Geehy.APM32F4xx_DFP@1.0.12,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
geehy::apm32::apm32f4::apm32f417,Geehy,general_purpose_mcu,Cortex-M4,APM32,APM32F4,APM32F417,6,cmsis:Geehy.APM32F4xx_DFP@1.0.12,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
geehy::apm32::apm32f4::apm32f423,Geehy,general_purpose_mcu,Cortex-M4,APM32,APM32F4,APM32F423,4,cmsis:Geehy.APM32F4xx_DFP@1.0.12,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
geehy::apm32::apm32f4::apm32f425,Geehy,general_purpose_mcu,Cortex-M4,APM32,APM32F4,APM32F425,4,cmsis:Geehy.APM32F4xx_DFP@1.0.12,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
geehy::apm32::apm32f4::apm32f427,Geehy,general_purpose_mcu,Cortex-M4,APM32,APM32F4,APM32F427,4,cmsis:Geehy.APM32F4xx_DFP@1.0.12,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
geehy::apm32::apm32f4::apm32f465,Geehy,general_purpose_mcu,Cortex-M4,APM32,APM32F4,APM32F465,2,cmsis:Geehy.APM32F4xx_DFP@1.0.12,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
geehy::apm32::apm32f445-446::apm32f445,Geehy,general_purpose_mcu,Cortex-M4,APM32,APM32F445_446,APM32F445,6,cmsis:Geehy.APM32F445_446_DFP@1.0.0,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
geehy::apm32::apm32f445-446::apm32f446,Geehy,general_purpose_mcu,Cortex-M4,APM32,APM32F445_446,APM32F446,2,cmsis:Geehy.APM32F445_446_DFP@1.0.0,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
geehy::bmp::bmp::bmp,Geehy,general_purpose_mcu,Cortex-M0+,BMP,BMP,BMP,1,cmsis:Geehy.BMP561_DFP@1.0.1,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
geehy::g32r4::g32r4::g32r430,Geehy,general_purpose_mcu,Cortex-M52,G32R4,G32R4,G32R430,4,cmsis:Geehy.G32R4xx_DFP@1.0.3,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
