source_id,source_type,publisher,title,url,version,observed_at,verification_scope
cmsis:Geehy.APM32E1xx_DFP@1.0.5,cmsis_pdsc,Geehy,Geehy.APM32E1xx_DFP,https://global.geehy.com/uploads/tool/Geehy.APM32E1xx_DFP.pdsc,1.0.5,2026-08-11T12:17:48+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:Geehy.APM32F00x_DFP@1.0.7,cmsis_pdsc,Geehy,Geehy.APM32F00x_DFP,https://global.geehy.com/uploads/tool/Geehy.APM32F00x_DFP.pdsc,1.0.7,2026-08-11T12:17:48+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:Geehy.APM32F035_DFP@1.0.4,cmsis_pdsc,Geehy,Geehy.APM32F035_DFP,https://global.geehy.com/uploads/tool/Geehy.APM32F035_DFP.pdsc,1.0.4,2026-08-11T12:17:48+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:Geehy.APM32F0xx_DFP@1.1.4,cmsis_pdsc,Geehy,Geehy.APM32F0xx_DFP,https://global.geehy.com/uploads/tool/Geehy.APM32F0xx_DFP.pdsc,1.1.4,2026-08-11T12:17:48+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:Geehy.APM32F1xx_DFP@1.2.1,cmsis_pdsc,Geehy,Geehy.APM32F1xx_DFP,https://global.geehy.com/uploads/tool/Geehy.APM32F1xx_DFP.pdsc,1.2.1,2026-08-11T12:17:48+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:Geehy.APM32F445_446_DFP@1.0.0,cmsis_pdsc,Geehy,Geehy.APM32F445_446_DFP,https://global.geehy.com/uploads/tool/Geehy.APM32F445_446_DFP.pdsc,1.0.0,2026-08-11T12:17:48+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:Geehy.APM32F4xx_DFP@1.0.12,cmsis_pdsc,Geehy,Geehy.APM32F4xx_DFP,https://global.geehy.com/uploads/tool/Geehy.APM32F4xx_DFP.pdsc,1.0.12,2026-08-11T12:17:48+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:Geehy.BMP561_DFP@1.0.1,cmsis_pdsc,Geehy,Geehy.BMP561_DFP,https://www.geehy.com/uploads/tool/Geehy.BMP561_DFP.pdsc,1.0.1,2026-08-11T12:17:48+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:Geehy.G32R4xx_DFP@1.0.3,cmsis_pdsc,Geehy,Geehy.G32R4xx_DFP,https://global.geehy.com/uploads/tool/Geehy.G32R4xx_DFP.pdsc,1.0.3,2026-08-11T12:17:48+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:Geehy.G32R5xx_DFP@1.0.2,cmsis_pdsc,Geehy,Geehy.G32R5xx_DFP,https://global.geehy.com/uploads/tool/Geehy.G32R5xx_DFP.pdsc,1.0.2,2026-08-11T12:17:48+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
svd:Geehy.APM32E1xx_DFP@1.0.5,official_pack_svd,Geehy,Geehy.APM32E1xx_DFP SVD files,https://global.geehy.com/uploads/tool/Geehy.APM32E1xx_DFP.1.0.5.pack,1.0.5;sha256:612d25bfc1ea3785d0d58e205655c5eb083f84d7b58e4613de8ec7417be90287,2026-09-01T01:01:57+00:00,peripheral instances explicitly present in the device-bound SVD; not pin mux or analog-channel coverage
svd:Geehy.APM32F00x_DFP@1.0.7,official_pack_svd,Geehy,Geehy.APM32F00x_DFP SVD files,https://global.geehy.com/uploads/tool/Geehy.APM32F00x_DFP.1.0.7.pack,1.0.7;sha256:b0b48b473bbe42d944423a34360402c704b85c24d581472acffd184ea7eeaa6b,2026-09-01T01:01:57+00:00,peripheral instances explicitly present in the device-bound SVD; not pin mux or analog-channel coverage
svd:Geehy.APM32F035_DFP@1.0.4,official_pack_svd,Geehy,Geehy.APM32F035_DFP SVD files,https://global.geehy.com/uploads/tool/Geehy.APM32F035_DFP.1.0.4.pack,1.0.4;sha256:7c85a38edb9fe44a75fc5a7d3fe8a16359faca7a47b1958f7b5aae134b9cf312,2026-09-01T01:01:57+00:00,peripheral instances explicitly present in the device-bound SVD; not pin mux or analog-channel coverage
