product_line_id,manufacturer,product_type,architecture_class,family,series,product_line,device_variant_count,source_ids,observed_at,verification_status
gigadevice::gd32::gd32c10x::gd32c103,GigaDevice,general_purpose_mcu,Cortex-M4,GD32,GD32C10x,GD32C103,4,cmsis:GigaDevice.GD32C10x_DFP@1.0.1,2026-08-12T07:48:53+00:00,cmsis_pack_metadata
gigadevice::gd32::gd32e10x::gd32e103,GigaDevice,general_purpose_mcu,Cortex-M4,GD32,GD32E10x,GD32E103,8,cmsis:GigaDevice.GD32E10x_DFP@1.2.1,2026-08-12T07:48:53+00:00,cmsis_pack_metadata
gigadevice::gd32::gd32e23x::gd32e230,GigaDevice,general_purpose_mcu,Cortex-M23,GD32,GD32E23x,GD32E230,12,cmsis:GigaDevice.GD32E23x_DFP@1.0.2,2026-08-12T07:48:53+00:00,cmsis_pack_metadata
gigadevice::gd32::gd32e23x::gd32e231,GigaDevice,general_purpose_mcu,Cortex-M23,GD32,GD32E23x,GD32E231,3,cmsis:GigaDevice.GD32E23x_DFP@1.0.2,2026-08-12T07:48:53+00:00,cmsis_pack_metadata
gigadevice::gd32::gd32e50x::gd32e503,GigaDevice,general_purpose_mcu,Cortex-M33,GD32,GD32E50x,GD32E503,8,cmsis:GigaDevice.GD32E50x_DFP@1.3.2,2026-08-12T07:48:53+00:00,cmsis_pack_metadata
gigadevice::gd32::gd32e50x::gd32e505,GigaDevice,general_purpose_mcu,Cortex-M33,GD32,GD32E50x,GD32E505,7,cmsis:GigaDevice.GD32E50x_DFP@1.3.2,2026-08-12T07:48:53+00:00,cmsis_pack_metadata
gigadevice::gd32::gd32e50x::gd32e507,GigaDevice,general_purpose_mcu,Cortex-M33,GD32,GD32E50x,GD32E507,6,cmsis:GigaDevice.GD32E50x_DFP@1.3.2,2026-08-12T07:48:53+00:00,cmsis_pack_metadata
gigadevice::gd32::gd32e50x::gd32e508,GigaDevice,general_purpose_mcu,Cortex-M33,GD32,GD32E50x,GD32E508,3,cmsis:GigaDevice.GD32E50x_DFP@1.3.2,2026-08-12T07:48:53+00:00,cmsis_pack_metadata
gigadevice::gd32::gd32f10x::gd32f101,GigaDevice,general_purpose_mcu,Cortex-M3,GD32,GD32F10x,GD32F101,35,cmsis:GigaDevice.GD32F10x_DFP@2.0.3,2026-08-12T07:48:53+00:00,cmsis_pack_metadata
gigadevice::gd32::gd32f10x::gd32f103,GigaDevice,general_purpose_mcu,Cortex-M3,GD32,GD32F10x,GD32F103,35,cmsis:GigaDevice.GD32F10x_DFP@2.0.3,2026-08-12T07:48:53+00:00,cmsis_pack_metadata
