source_id,source_type,publisher,title,url,version,observed_at,verification_scope
cmsis:GigaDevice.GD32C10x_DFP@1.0.1,cmsis_pdsc,GigaDevice,GigaDevice.GD32C10x_DFP,https://gd32mcu.com/data/documents/pack/GigaDevice.GD32C10x_DFP.pdsc,1.0.1,2026-08-12T07:48:53+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:GigaDevice.GD32E10x_DFP@1.2.1,cmsis_pdsc,GigaDevice,GigaDevice.GD32E10x_DFP,https://gd32mcu.com/data/documents/pack/GigaDevice.GD32E10x_DFP.pdsc,1.2.1,2026-08-12T07:48:53+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:GigaDevice.GD32E23x_DFP@1.0.2,cmsis_pdsc,GigaDevice,GigaDevice.GD32E23x_DFP,https://gd32mcu.com/data/documents/pack/GigaDevice.GD32E23x_DFP.pdsc,1.0.2,2026-08-12T07:48:53+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:GigaDevice.GD32E50x_DFP@1.3.2,cmsis_pdsc,GigaDevice,GigaDevice.GD32E50x_DFP,https://gd32mcu.com/data/documents/pack/GigaDevice.GD32E50x_DFP.pdsc,1.3.2,2026-08-12T07:48:53+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:GigaDevice.GD32F10x_DFP@2.0.3,cmsis_pdsc,GigaDevice,GigaDevice.GD32F10x_DFP,https://gd32mcu.com/data/documents/pack/GigaDevice.GD32F10x_DFP.pdsc,2.0.3,2026-08-12T07:48:53+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:GigaDevice.GD32F1x0_DFP@3.2.1,cmsis_pdsc,GigaDevice,GigaDevice.GD32F1x0_DFP,https://gd32mcu.com/data/documents/pack/GigaDevice.GD32F1x0_DFP.pdsc,3.2.1,2026-08-12T07:48:53+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:GigaDevice.GD32F20x_DFP@2.2.3,cmsis_pdsc,GigaDevice,GigaDevice.GD32F20x_DFP,https://gd32mcu.com/data/documents/pack/GigaDevice.GD32F20x_DFP.pdsc,2.2.3,2026-08-12T07:48:53+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:GigaDevice.GD32F30x_DFP@2.2.1,cmsis_pdsc,GigaDevice,GigaDevice.GD32F30x_DFP,https://gd32mcu.com/data/documents/pack/GigaDevice.GD32F30x_DFP.pdsc,2.2.1,2026-08-12T07:48:53+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:GigaDevice.GD32F3x0_DFP@3.0.2,cmsis_pdsc,GigaDevice,GigaDevice.GD32F3x0_DFP,https://gd32mcu.com/data/documents/pack/GigaDevice.GD32F3x0_DFP.pdsc,3.0.2,2026-08-12T07:48:53+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:GigaDevice.GD32F4xx_DFP@3.0.3,cmsis_pdsc,GigaDevice,GigaDevice.GD32F4xx_DFP,https://gd32mcu.com/data/documents/pack/GigaDevice.GD32F4xx_DFP.pdsc,3.0.3,2026-08-12T07:48:53+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:GigaDevice.GD32L23x_DFP@1.0.3,cmsis_pdsc,GigaDevice,GigaDevice.GD32L23x_DFP,https://gd32mcu.com/data/documents/pack/GigaDevice.GD32L23x_DFP.pdsc,1.0.3,2026-08-12T07:48:53+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:GigaDevice.GD32W51x_DFP@1.0.3,cmsis_pdsc,GigaDevice,GigaDevice.GD32W51x_DFP,https://gd32mcu.com/data/documents/pack/GigaDevice.GD32W51x_DFP.pdsc,1.0.3,2026-08-12T07:48:53+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
