orderable_part_id,device_id,manufacturer,family,series,product_line,device_name,part_number,manufacturer_suffix,package_code,temperature_grade_code,packing_code,package_name,temperature_range,packing_form,lifecycle,source_id,source_url,observed_at,verification_status,decode_status
hpmicro::hpm5301ieg1,hpmicro::hpm5301ieg,HPMicro,HPM5,HPM5300,HPM5301,HPM5301IEG,HPM5301IEG1,1,QFN48_EP,,,QFN48_EP,−40 ∼ 125°C Tj / −40 ∼ 105°C Ta,,active,hpmicro:series:hpm5300,https://www.hpmicro.com/product-center/microcontroller/hpm5300,2026-09-05T03:28:18+00:00,manufacturer_product_page,exact_official_purchase_card_no_suffix_semantic_inference
hpmicro::hpm5321icb1,hpmicro::hpm5321icb,HPMicro,HPM5,HPM5300,HPM5321,HPM5321ICB,HPM5321ICB1,1,LQFP100,,,LQFP100,−40 ∼ 125°C Tj / −40 ∼ 105°C Ta,,active,hpmicro:series:hpm5300,https://www.hpmicro.com/product-center/microcontroller/hpm5300,2026-09-05T03:28:18+00:00,manufacturer_product_page,exact_official_purchase_card_no_suffix_semantic_inference
hpmicro::hpm5321icf1,hpmicro::hpm5321icf,HPMicro,HPM5,HPM5300,HPM5321,HPM5321ICF,HPM5321ICF1,1,LQFP-64,,,LQFP-64,−40 ∼ 125°C Tj / −40 ∼ 105°C Ta,,active,hpmicro:series:hpm5300,https://www.hpmicro.com/product-center/microcontroller/hpm5300,2026-09-05T03:28:18+00:00,manufacturer_product_page,exact_official_purchase_card_no_suffix_semantic_inference
hpmicro::hpm5321ieg1,hpmicro::hpm5321ieg,HPMicro,HPM5,HPM5300,HPM5321,HPM5321IEG,HPM5321IEG1,1,QFN48_EP,,,QFN48_EP,−40 ∼ 125°C Tj / −40 ∼ 105°C Ta,,active,hpmicro:series:hpm5300,https://www.hpmicro.com/product-center/microcontroller/hpm5300,2026-09-05T03:28:18+00:00,manufacturer_product_page,exact_official_purchase_card_no_suffix_semantic_inference
hpmicro::hpm5331icb1,hpmicro::hpm5331icb,HPMicro,HPM5,HPM5300,HPM5331,HPM5331ICB,HPM5331ICB1,1,LQFP100,,,LQFP100,−40 ∼ 125°C Tj / −40 ∼ 105°C Ta,,active,hpmicro:series:hpm5300,https://www.hpmicro.com/product-center/microcontroller/hpm5300,2026-09-05T03:28:18+00:00,manufacturer_product_page,exact_official_purchase_card_no_suffix_semantic_inference
hpmicro::hpm5331icf1,hpmicro::hpm5331icf,HPMicro,HPM5,HPM5300,HPM5331,HPM5331ICF,HPM5331ICF1,1,LQFP-64,,,LQFP-64,−40 ∼ 125°C Tj / −40 ∼ 105°C Ta,,active,hpmicro:series:hpm5300,https://www.hpmicro.com/product-center/microcontroller/hpm5300,2026-09-05T03:28:18+00:00,manufacturer_product_page,exact_official_purchase_card_no_suffix_semantic_inference
hpmicro::hpm5331ieg1,hpmicro::hpm5331ieg,HPMicro,HPM5,HPM5300,HPM5331,HPM5331IEG,HPM5331IEG1,1,QFN48_EP,,,QFN48_EP,−40 ∼ 125°C Tj / −40 ∼ 105°C Ta,,active,hpmicro:series:hpm5300,https://www.hpmicro.com/product-center/microcontroller/hpm5300,2026-09-05T03:28:18+00:00,manufacturer_product_page,exact_official_purchase_card_no_suffix_semantic_inference
hpmicro::hpm5361icb1,hpmicro::hpm5361icb,HPMicro,HPM5,HPM5300,HPM5361,HPM5361ICB,HPM5361ICB1,1,LQFP100,,,LQFP100,−40 ∼ 125°C Tj / −40 ∼ 105°C Ta,,active,hpmicro:series:hpm5300,https://www.hpmicro.com/product-center/microcontroller/hpm5300,2026-09-05T03:28:18+00:00,manufacturer_product_page,exact_official_purchase_card_no_suffix_semantic_inference
hpmicro::hpm5361icf1,hpmicro::hpm5361icf,HPMicro,HPM5,HPM5300,HPM5361,HPM5361ICF,HPM5361ICF1,1,LQFP-64,,,LQFP-64,−40 ∼ 125°C Tj / −40 ∼ 105°C Ta,,active,hpmicro:series:hpm5300,https://www.hpmicro.com/product-center/microcontroller/hpm5300,2026-09-05T03:28:18+00:00,manufacturer_product_page,exact_official_purchase_card_no_suffix_semantic_inference
hpmicro::hpm5361ieg1,hpmicro::hpm5361ieg,HPMicro,HPM5,HPM5300,HPM5361,HPM5361IEG,HPM5361IEG1,1,QFN48_EP,,,QFN48_EP,−40 ∼ 125°C Tj / −40 ∼ 105°C Ta,,active,hpmicro:series:hpm5300,https://www.hpmicro.com/product-center/microcontroller/hpm5300,2026-09-05T03:28:18+00:00,manufacturer_product_page,exact_official_purchase_card_no_suffix_semantic_inference
