product_line_id,manufacturer,product_type,architecture_class,family,series,product_line,device_variant_count,source_ids,observed_at,verification_status
hpmicro::hpm5301,HPMicro,general_purpose_mcu,RISC-V,HPM5,HPM5300,HPM5301,1,hpmicro:sdk:v1.12.1:hpm5301;hpmicro:selector:hpm5300;hpmicro:series:hpm5300,2026-09-05T03:28:18+00:00,manufacturer_product_page
hpmicro::hpm5321,HPMicro,general_purpose_mcu,RISC-V,HPM5,HPM5300,HPM5321,3,hpmicro:selector:hpm5300;hpmicro:series:hpm5300,2026-09-05T03:28:18+00:00,manufacturer_product_page
hpmicro::hpm5331,HPMicro,general_purpose_mcu,RISC-V,HPM5,HPM5300,HPM5331,3,hpmicro:selector:hpm5300;hpmicro:series:hpm5300,2026-09-05T03:28:18+00:00,manufacturer_product_page
hpmicro::hpm5361,HPMicro,general_purpose_mcu,RISC-V,HPM5,HPM5300,HPM5361,3,hpmicro:sdk:v1.12.1:hpm5361;hpmicro:selector:hpm5300;hpmicro:series:hpm5300,2026-09-05T03:28:18+00:00,manufacturer_product_page
hpmicro::hpm53m1,HPMicro,general_purpose_mcu,RISC-V,HPM5,HPM5300,HPM53M1,1,hpmicro:sdk:v1.12.1:hpm53m1;hpmicro:selector:hpm5300;hpmicro:series:hpm5300,2026-09-05T03:28:18+00:00,manufacturer_product_page
hpmicro::hpm5e11,HPMicro,general_purpose_mcu,RISC-V,HPM5,HPM5E00,HPM5E11,3,hpmicro:selector:hpm5e00;hpmicro:series:hpm5e00,2026-09-05T03:28:18+00:00,manufacturer_product_page
hpmicro::hpm5e31,HPMicro,general_purpose_mcu,RISC-V,HPM5,HPM5E00,HPM5E31,3,hpmicro:sdk:v1.12.1:hpm5e31;hpmicro:selector:hpm5e00;hpmicro:series:hpm5e00,2026-09-05T03:28:18+00:00,manufacturer_product_page
hpmicro::hpm5e3y,HPMicro,general_purpose_mcu,RISC-V,HPM5,HPM5E00,HPM5E3Y,2,hpmicro:sdk:v1.12.1:hpm5e3y;hpmicro:selector:hpm5e00;hpmicro:series:hpm5e00,2026-09-05T03:28:18+00:00,manufacturer_product_page
hpmicro::hpm6220,HPMicro,general_purpose_mcu,RISC-V,HPM6,HPM6200,HPM6220,2,hpmicro:selector:hpm6200;hpmicro:series:hpm6200,2026-09-05T03:28:18+00:00,manufacturer_product_page
hpmicro::hpm6240,HPMicro,general_purpose_mcu,RISC-V,HPM6,HPM6200,HPM6240,2,hpmicro:selector:hpm6200;hpmicro:series:hpm6200,2026-09-05T03:28:18+00:00,manufacturer_product_page
