device_id,device_name,domain,database_family,family,series,product_line,source_path
infineon::cyw20706ua2kffb4g,CYW20706UA2KFFB4G,Connectivity-BT-WIFI,20703A2,AIROC Connectivity,20706,20706,device-db-1e7589fe5ce5c25b68a5d8866c22c142df9b7555/devices/Connectivity-BT-WIFI/20703A2/CYW20706UA2KFFB4G/studio_5.0/view.xml
infineon::cyw20707ua2ekubgt,CYW20707UA2EKUBGT,Connectivity-BT-WIFI,20703A2,AIROC Connectivity,20707,20707,device-db-1e7589fe5ce5c25b68a5d8866c22c142df9b7555/devices/Connectivity-BT-WIFI/20703A2/CYW20707UA2EKUBGT/studio_5.0/view.xml
infineon::cyw20719b2kumlg,CYW20719B2KUMLG,Connectivity-BT-WIFI,20719B2,AIROC Connectivity,20719,20719,device-db-1e7589fe5ce5c25b68a5d8866c22c142df9b7555/devices/Connectivity-BT-WIFI/20719B2/CYW20719B2KUMLG/studio_5.0/view.xml
infineon::cyw20719b2kwb9g,CYW20719B2KWB9G,Connectivity-BT-WIFI,20719B2,AIROC Connectivity,20719,20719,device-db-1e7589fe5ce5c25b68a5d8866c22c142df9b7555/devices/Connectivity-BT-WIFI/20719B2/CYW20719B2KWB9G/studio_5.0/view.xml
infineon::cyw20721b2kumlg,CYW20721B2KUMLG,Connectivity-BT-WIFI,20721B2,AIROC Connectivity,20721,20721,device-db-1e7589fe5ce5c25b68a5d8866c22c142df9b7555/devices/Connectivity-BT-WIFI/20721B2/CYW20721B2KUMLG/studio_5.0/view.xml
infineon::cyw20721b2kwb9g,CYW20721B2KWB9G,Connectivity-BT-WIFI,20721B2,AIROC Connectivity,20721,20721,device-db-1e7589fe5ce5c25b68a5d8866c22c142df9b7555/devices/Connectivity-BT-WIFI/20721B2/CYW20721B2KWB9G/studio_5.0/view.xml
infineon::cyw20735b1,CYW20735B1,Connectivity-BT-WIFI,20735B1,AIROC Connectivity,20735,20735,device-db-1e7589fe5ce5c25b68a5d8866c22c142df9b7555/devices/Connectivity-BT-WIFI/20735B1/CYW20735B1/studio_5.0/view.xml
infineon::cyw20736a1kml2g,CYW20736A1KML2G,Connectivity-BT-WIFI,20736A1,AIROC Connectivity,20736,20736,device-db-1e7589fe5ce5c25b68a5d8866c22c142df9b7555/devices/Connectivity-BT-WIFI/20736A1/CYW20736A1KML2G/studio_5.0/view.xml
infineon::cyw20737a1kml2g,CYW20737A1KML2G,Connectivity-BT-WIFI,20737A1,AIROC Connectivity,20737,20737,device-db-1e7589fe5ce5c25b68a5d8866c22c142df9b7555/devices/Connectivity-BT-WIFI/20737A1/CYW20737A1KML2G/studio_5.0/view.xml
infineon::cyw20819a1kfb1g,CYW20819A1KFB1G,Connectivity-BT-WIFI,20819A1,AIROC Connectivity,20819,20819,device-db-1e7589fe5ce5c25b68a5d8866c22c142df9b7555/devices/Connectivity-BT-WIFI/20819A1/CYW20819A1KFB1G/studio_5.0/view.xml
infineon::cyw20819a1kfbg,CYW20819A1KFBG,Connectivity-BT-WIFI,20819A1,AIROC Connectivity,20819,20819,device-db-1e7589fe5ce5c25b68a5d8866c22c142df9b7555/devices/Connectivity-BT-WIFI/20819A1/CYW20819A1KFBG/studio_5.0/view.xml
infineon::cyw20820a1kfb1g,CYW20820A1KFB1G,Connectivity-BT-WIFI,20820A1,AIROC Connectivity,20820,20820,device-db-1e7589fe5ce5c25b68a5d8866c22c142df9b7555/devices/Connectivity-BT-WIFI/20820A1/CYW20820A1KFB1G/studio_5.0/view.xml
infineon::cyw20820a1kfbg,CYW20820A1KFBG,Connectivity-BT-WIFI,20820A1,AIROC Connectivity,20820,20820,device-db-1e7589fe5ce5c25b68a5d8866c22c142df9b7555/devices/Connectivity-BT-WIFI/20820A1/CYW20820A1KFBG/studio_5.0/view.xml
infineon::cyw89820bwmlg,CYW89820BWMLG,Connectivity-BT-WIFI,20820A1,AIROC Connectivity,20820,20820,device-db-1e7589fe5ce5c25b68a5d8866c22c142df9b7555/devices/Connectivity-BT-WIFI/20820A1/CYW89820BWMLG/studio_5.0/view.xml
infineon::cyw20835pb1kml1g,CYW20835PB1KML1G,Connectivity-BT-WIFI,20835B1,AIROC Connectivity,20835,20835,device-db-1e7589fe5ce5c25b68a5d8866c22c142df9b7555/devices/Connectivity-BT-WIFI/20835B1/CYW20835PB1KML1G/studio_5.0/view.xml
infineon::cyw30739a0kumlg,CYW30739A0KUMLG,Connectivity-BT-WIFI,30739A0,AIROC Connectivity,30739,30739,device-db-1e7589fe5ce5c25b68a5d8866c22c142df9b7555/devices/Connectivity-BT-WIFI/30739A0/CYW30739A0KUMLG/studio_5.0/view.xml
infineon::cyw30739a0kwb9g,CYW30739A0KWB9G,Connectivity-BT-WIFI,30739A0,AIROC Connectivity,30739,30739,device-db-1e7589fe5ce5c25b68a5d8866c22c142df9b7555/devices/Connectivity-BT-WIFI/30739A0/CYW30739A0KWB9G/studio_5.0/view.xml
infineon::cyw43012c0wkwbg,CYW43012C0WKWBG,Connectivity-BT-WIFI,43012C0,AIROC Connectivity,43012,43012,device-db-1e7589fe5ce5c25b68a5d8866c22c142df9b7555/devices/Connectivity-BT-WIFI/43012C0/CYW43012C0WKWBG/studio_5.0/view.xml
infineon::cyw43012tc0ekubg,CYW43012TC0EKUBG,Connectivity-BT-WIFI,43012C0,AIROC Connectivity,43012,43012,device-db-1e7589fe5ce5c25b68a5d8866c22c142df9b7555/devices/Connectivity-BT-WIFI/43012C0/CYW43012TC0EKUBG/studio_5.0/view.xml
infineon::cyw43012tc0kffbh,CYW43012TC0KFFBH,Connectivity-BT-WIFI,43012C0,AIROC Connectivity,43012,43012,device-db-1e7589fe5ce5c25b68a5d8866c22c142df9b7555/devices/Connectivity-BT-WIFI/43012C0/CYW43012TC0KFFBH/studio_5.0/view.xml
infineon::cyw43012wkwbg,CYW43012WKWBG,Connectivity-BT-WIFI,43012C0,AIROC Connectivity,43012,43012,device-db-1e7589fe5ce5c25b68a5d8866c22c142df9b7555/devices/Connectivity-BT-WIFI/43012C0/CYW43012WKWBG/studio_5.0/view.xml
infineon::cyw43022cub,CYW43022CUB,Connectivity-BT-WIFI,43022C1,AIROC Connectivity,43022,43022,device-db-1e7589fe5ce5c25b68a5d8866c22c142df9b7555/devices/Connectivity-BT-WIFI/43022C1/CYW43022CUB/studio_5.0/view.xml
