orderable_part_id,device_id,manufacturer,family,series,product_line,device_name,part_number,manufacturer_suffix,package_code,temperature_grade_code,packing_code,package_name,temperature_range,packing_form,lifecycle,source_id,source_url,observed_at,verification_status,decode_status
infineon::cy8c4024axi-s402,infineon::cy8c4024axi-s402,Infineon,PSOC 4000S,PSOC 4000S,PSOC 4000S (CY8C40x4xxx-S4xx),CY8C4024AXI-S402,CY8C4024AXI-S402,,,,,32-TQFP,-40..85 °C,,active,infineon-device-db:1e7589fe5ce5,https://github.com/Infineon/device-db/tree/1e7589fe5ce5c25b68a5d8866c22c142df9b7555,2026-08-12T10:06:32+00:00,manufacturer_device_database,official_device_db_part_record
infineon::cy8c4024axi-s412,infineon::cy8c4024axi-s412,Infineon,PSOC 4000S,PSOC 4000S,PSOC 4000S (CY8C40x4xxx-S4xx),CY8C4024AXI-S412,CY8C4024AXI-S412,,,,,32-TQFP,-40..85 °C,,active,infineon-device-db:1e7589fe5ce5,https://github.com/Infineon/device-db/tree/1e7589fe5ce5c25b68a5d8866c22c142df9b7555,2026-08-12T10:06:32+00:00,manufacturer_device_database,official_device_db_part_record
infineon::cy8c4024azi-s403,infineon::cy8c4024azi-s403,Infineon,PSOC 4000S,PSOC 4000S,PSOC 4000S (CY8C40x4xxx-S4xx),CY8C4024AZI-S403,CY8C4024AZI-S403,,,,,48-TQFP,-40..85 °C,,active,infineon-device-db:1e7589fe5ce5,https://github.com/Infineon/device-db/tree/1e7589fe5ce5c25b68a5d8866c22c142df9b7555,2026-08-12T10:06:32+00:00,manufacturer_device_database,official_device_db_part_record
infineon::cy8c4024azi-s413,infineon::cy8c4024azi-s413,Infineon,PSOC 4000S,PSOC 4000S,PSOC 4000S (CY8C40x4xxx-S4xx),CY8C4024AZI-S413,CY8C4024AZI-S413,,,,,48-TQFP,-40..85 °C,,active,infineon-device-db:1e7589fe5ce5,https://github.com/Infineon/device-db/tree/1e7589fe5ce5c25b68a5d8866c22c142df9b7555,2026-08-12T10:06:32+00:00,manufacturer_device_database,official_device_db_part_record
infineon::cy8c4024azq-s413,infineon::cy8c4024azq-s413,Infineon,PSOC 4000S,PSOC 4000S,PSOC 4000S (CY8C40x4xxx-S4xx),CY8C4024AZQ-S413,CY8C4024AZQ-S413,,,,,48-TQFP,-40..105 °C,,active,infineon-device-db:1e7589fe5ce5,https://github.com/Infineon/device-db/tree/1e7589fe5ce5c25b68a5d8866c22c142df9b7555,2026-08-12T10:06:32+00:00,manufacturer_device_database,official_device_db_part_record
infineon::cy8c4024fni-s402,infineon::cy8c4024fni-s402,Infineon,PSOC 4000S,PSOC 4000S,PSOC 4000S (CY8C40x4xxx-S4xx),CY8C4024FNI-S402,CY8C4024FNI-S402,,,,,25-WLCSP,-40..85 °C,,active,infineon-device-db:1e7589fe5ce5,https://github.com/Infineon/device-db/tree/1e7589fe5ce5c25b68a5d8866c22c142df9b7555,2026-08-12T10:06:32+00:00,manufacturer_device_database,official_device_db_part_record
infineon::cy8c4024fni-s412,infineon::cy8c4024fni-s412,Infineon,PSOC 4000S,PSOC 4000S,PSOC 4000S (CY8C40x4xxx-S4xx),CY8C4024FNI-S412,CY8C4024FNI-S412,,,,,25-WLCSP,-40..85 °C,,active,infineon-device-db:1e7589fe5ce5,https://github.com/Infineon/device-db/tree/1e7589fe5ce5c25b68a5d8866c22c142df9b7555,2026-08-12T10:06:32+00:00,manufacturer_device_database,official_device_db_part_record
infineon::cy8c4024lqa-s411,infineon::cy8c4024lqa-s411,Infineon,PSOC 4000S,PSOC 4000S,PSOC 4000S (CY8C40x4xxx-S4xx),CY8C4024LQA-S411,CY8C4024LQA-S411,,,,,24-QFN,-40..85 °C,,active,infineon-device-db:1e7589fe5ce5,https://github.com/Infineon/device-db/tree/1e7589fe5ce5c25b68a5d8866c22c142df9b7555,2026-08-12T10:06:32+00:00,manufacturer_device_database,official_device_db_part_record
infineon::cy8c4024lqa-s413,infineon::cy8c4024lqa-s413,Infineon,PSOC 4000S,PSOC 4000S,PSOC 4000S (CY8C40x4xxx-S4xx),CY8C4024LQA-S413,CY8C4024LQA-S413,,,,,40-QFN-AUTO,-40..85 °C,,active,infineon-device-db:1e7589fe5ce5,https://github.com/Infineon/device-db/tree/1e7589fe5ce5c25b68a5d8866c22c142df9b7555,2026-08-12T10:06:32+00:00,manufacturer_device_database,official_device_db_part_record
infineon::cy8c4024lqi-s401,infineon::cy8c4024lqi-s401,Infineon,PSOC 4000S,PSOC 4000S,PSOC 4000S (CY8C40x4xxx-S4xx),CY8C4024LQI-S401,CY8C4024LQI-S401,,,,,24-QFN,-40..85 °C,,active,infineon-device-db:1e7589fe5ce5,https://github.com/Infineon/device-db/tree/1e7589fe5ce5c25b68a5d8866c22c142df9b7555,2026-08-12T10:06:32+00:00,manufacturer_device_database,official_device_db_part_record
infineon::cy8c4024lqi-s402,infineon::cy8c4024lqi-s402,Infineon,PSOC 4000S,PSOC 4000S,PSOC 4000S (CY8C40x4xxx-S4xx),CY8C4024LQI-S402,CY8C4024LQI-S402,,,,,32-QFN,-40..85 °C,,active,infineon-device-db:1e7589fe5ce5,https://github.com/Infineon/device-db/tree/1e7589fe5ce5c25b68a5d8866c22c142df9b7555,2026-08-12T10:06:32+00:00,manufacturer_device_database,official_device_db_part_record
infineon::cy8c4024lqi-s403,infineon::cy8c4024lqi-s403,Infineon,PSOC 4000S,PSOC 4000S,PSOC 4000S (CY8C40x4xxx-S4xx),CY8C4024LQI-S403,CY8C4024LQI-S403,,,,,40-QFN,-40..85 °C,,active,infineon-device-db:1e7589fe5ce5,https://github.com/Infineon/device-db/tree/1e7589fe5ce5c25b68a5d8866c22c142df9b7555,2026-08-12T10:06:32+00:00,manufacturer_device_database,official_device_db_part_record
infineon::cy8c4024lqi-s411,infineon::cy8c4024lqi-s411,Infineon,PSOC 4000S,PSOC 4000S,PSOC 4000S (CY8C40x4xxx-S4xx),CY8C4024LQI-S411,CY8C4024LQI-S411,,,,,24-QFN,-40..85 °C,,active,infineon-device-db:1e7589fe5ce5,https://github.com/Infineon/device-db/tree/1e7589fe5ce5c25b68a5d8866c22c142df9b7555,2026-08-12T10:06:32+00:00,manufacturer_device_database,official_device_db_part_record
infineon::cy8c4024lqi-s412,infineon::cy8c4024lqi-s412,Infineon,PSOC 4000S,PSOC 4000S,PSOC 4000S (CY8C40x4xxx-S4xx),CY8C4024LQI-S412,CY8C4024LQI-S412,,,,,32-QFN,-40..85 °C,,active,infineon-device-db:1e7589fe5ce5,https://github.com/Infineon/device-db/tree/1e7589fe5ce5c25b68a5d8866c22c142df9b7555,2026-08-12T10:06:32+00:00,manufacturer_device_database,official_device_db_part_record
