product_line_id,manufacturer,product_type,architecture_class,family,series,product_line,device_variant_count,source_ids,observed_at,verification_status
infineon::ccg6df-cfp::ccg6df-cfp::ccg6df-cfp,Infineon,general_purpose_mcu,Cortex-M0+,CCG6DF_CFP,CCG6DF_CFP,CCG6DF_CFP,6,cmsis:Infineon.CAT2_DFP@1.6.0,2026-08-11T12:18:14+00:00,cmsis_pack_metadata
infineon::ccg7d::ccg7d::ccg7d,Infineon,general_purpose_mcu,Cortex-M0,CCG7D,CCG7D,CCG7D,7,cmsis:Infineon.CAT2_DFP@1.6.0,2026-08-11T12:18:14+00:00,cmsis_pack_metadata
infineon::ccg7s::ccg7s::ccg7s,Infineon,general_purpose_mcu,Cortex-M0,CCG7S,CCG7S,CCG7S,11,cmsis:Infineon.CAT2_DFP@1.6.0,2026-08-11T12:18:14+00:00,cmsis_pack_metadata
infineon::ccg8::ccg8::ccg8,Infineon,general_purpose_mcu,Cortex-M0+,CCG8,CCG8,CCG8,2,cmsis:Infineon.CAT2_DFP@1.6.0,2026-08-11T12:18:14+00:00,cmsis_pack_metadata
infineon::ccg8df-cfp::ccg8df-cfp::ccg8df-cfp,Infineon,general_purpose_mcu,Cortex-M0+,CCG8DF_CFP,CCG8DF_CFP,CCG8DF_CFP,4,cmsis:Infineon.CAT2_DFP@1.6.0,2026-08-11T12:18:14+00:00,cmsis_pack_metadata
infineon::cyt2b6::cyt2b6::cyt2b6,Infineon,general_purpose_mcu,Cortex-M0++Cortex-M4,CYT2B6,CYT2B6,CYT2B6,12,cmsis:Infineon.CAT1A_DFP@1.7.0;cmsis:Infineon.T2G-B-E_DFP@1.2.1,2026-08-11T12:18:14+00:00,cmsis_pack_metadata
infineon::cyt2b7::cyt2b7::cyt2b7,Infineon,general_purpose_mcu,Cortex-M0++Cortex-M4,CYT2B7,CYT2B7,CYT2B7,20,cmsis:Infineon.CAT1A_DFP@1.7.0;cmsis:Infineon.T2G-B-E_DFP@1.2.1,2026-08-11T12:18:14+00:00,cmsis_pack_metadata
infineon::cyt2b9::cyt2b9::cyt2b9,Infineon,general_purpose_mcu,Cortex-M0++Cortex-M4,CYT2B9,CYT2B9,CYT2B9,20,cmsis:Infineon.CAT1A_DFP@1.7.0;cmsis:Infineon.T2G-B-E_DFP@1.2.1,2026-08-11T12:18:14+00:00,cmsis_pack_metadata
infineon::cyt2bl::cyt2bl::cyt2bl,Infineon,general_purpose_mcu,Cortex-M0++Cortex-M4,CYT2BL,CYT2BL,CYT2BL,20,cmsis:Infineon.CAT1A_DFP@1.7.0;cmsis:Infineon.T2G-B-E_DFP@1.2.1,2026-08-11T12:18:14+00:00,cmsis_pack_metadata
infineon::cyt3bb::cyt3bb::cyt3bb,Infineon,general_purpose_mcu,Cortex-M0++Cortex-M7,CYT3BB,CYT3BB,CYT3BB,8,cmsis:Infineon.CAT1C_DFP@1.2.0;cmsis:Infineon.T2G-B-H_DFP@1.2.2,2026-08-11T12:18:14+00:00,cmsis_pack_metadata
infineon::cyt3dl::cyt3dl::cyt3dl,Infineon,general_purpose_mcu,Cortex-M0++Cortex-M7,CYT3DL,CYT3DL,CYT3DL,20,cmsis:Infineon.CAT1C_DFP@1.2.0;cmsis:Infineon.T2G-C-2D_DFP@1.1.0,2026-08-11T12:18:14+00:00,cmsis_pack_metadata
infineon::cyt4bb::cyt4bb::cyt4bb,Infineon,general_purpose_mcu,Cortex-M0++Cortex-M7,CYT4BB,CYT4BB,CYT4BB,8,cmsis:Infineon.CAT1C_DFP@1.2.0;cmsis:Infineon.T2G-B-H_DFP@1.2.2,2026-08-11T12:18:14+00:00,cmsis_pack_metadata
infineon::cyt4bf::cyt4bf::cyt4bf,Infineon,general_purpose_mcu,Cortex-M0++Cortex-M7,CYT4BF,CYT4BF,CYT4BF,12,cmsis:Infineon.CAT1C_DFP@1.2.0;cmsis:Infineon.T2G-B-H_DFP@1.2.2,2026-08-11T12:18:14+00:00,cmsis_pack_metadata
