source_id,source_type,publisher,title,url,version,observed_at,verification_scope
cmsis:Infineon.CAT1A_DFP@1.7.0,cmsis_pdsc,Infineon,Infineon.CAT1A_DFP,https://itools.infineon.com/cmsis_packs/CAT1A_DFP/Infineon.CAT1A_DFP.pdsc,1.7.0,2026-08-11T12:18:14+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:Infineon.CAT1B_DFP@1.1.0,cmsis_pdsc,Infineon,Infineon.CAT1B_DFP,https://itools.infineon.com/cmsis_packs/CAT1B_DFP/Infineon.CAT1B_DFP.pdsc,1.1.0,2026-08-11T12:18:14+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:Infineon.CAT1C_DFP@1.2.0,cmsis_pdsc,Infineon,Infineon.CAT1C_DFP,https://itools.infineon.com/cmsis_packs/CAT1C_DFP/Infineon.CAT1C_DFP.pdsc,1.2.0,2026-08-11T12:18:14+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:Infineon.CAT2_DFP@1.6.0,cmsis_pdsc,Infineon,Infineon.CAT2_DFP,https://itools.infineon.com/cmsis_packs/CAT2_DFP/Infineon.CAT2_DFP.pdsc,1.6.0,2026-08-11T12:18:14+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:Infineon.IMC300A_DFP@2.0.6,cmsis_pdsc,Infineon,Infineon.IMC300A_DFP,https://itools.infineon.com/cmsis_packs/IMC300A/Infineon.IMC300A_DFP.pdsc,2.0.6,2026-08-11T12:18:14+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:Infineon.IMM100A_DFP@1.0.1,cmsis_pdsc,Infineon,Infineon.IMM100A_DFP,https://itools.infineon.com/cmsis_packs/IMM100A/Infineon.IMM100A_DFP.pdsc,1.0.1,2026-08-11T12:18:14+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:Infineon.PSC3xxx_DFP@1.0.0,cmsis_pdsc,Infineon,Infineon.PSC3xxx_DFP,https://itools.infineon.com/cmsis_packs/PSC3xxx_DFP/Infineon.PSC3xxx_DFP.pdsc,1.0.0,2026-08-11T12:18:14+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:Infineon.PSE8xxx_DFP@1.1.0,cmsis_pdsc,Infineon,Infineon.PSE8xxx_DFP,https://itools.infineon.com/cmsis_packs/PSE8xxx_DFP/Infineon.PSE8xxx_DFP.pdsc,1.1.0,2026-08-11T12:18:14+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:Infineon.PSoC-HVMS_DFP@1.0.0,cmsis_pdsc,Infineon,Infineon.PSoC-HVMS_DFP,https://itools.infineon.com/cmsis_packs/PSoC_HVMS/Infineon.PSoC-HVMS_DFP.pdsc,1.0.0,2026-08-11T12:18:14+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:Infineon.T2G-B-E_DFP@1.2.1,cmsis_pdsc,Infineon,Infineon.T2G-B-E_DFP,https://itools.infineon.com/cmsis_packs/T2G-B-E/Infineon.T2G-B-E_DFP.pdsc,1.2.1,2026-08-11T12:18:14+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
