source_id,pack_url,cache_path,sha256,bytes,atdf_files
microchip-atdf:PIC32CK-SG_DFP@1.7.233,https://packs.download.microchip.com/Microchip.PIC32CK-SG_DFP.1.7.233.pack,C:\Users\confl\Desktop\alice blue\mcu-l-catalog\cache\microchip\packs\Microchip.PIC32CK-SG_DFP.1.7.233.pack,2834dc8764324087c6e57cc59db692c598a9810171008984beb449ff1b540552,16815154,22
microchip-atdf:PIC32CM-GV_DFP@1.3.47,https://packs.download.microchip.com/Microchip.PIC32CM-GV_DFP.1.3.47.pack,C:\Users\confl\Desktop\alice blue\mcu-l-catalog\cache\microchip\packs\Microchip.PIC32CM-GV_DFP.1.3.47.pack,465fe987f75c87986cfb89a9efc08f6412421546257963051ba074d11227860f,1352547,6
microchip-atdf:PIC32CM-JH_DFP@1.7.296,https://packs.download.microchip.com/Microchip.PIC32CM-JH_DFP.1.7.296.pack,C:\Users\confl\Desktop\alice blue\mcu-l-catalog\cache\microchip\packs\Microchip.PIC32CM-JH_DFP.1.7.296.pack,48aeb788a8ccad7fc7440a0a357107e78d5fdd00ee850e811d99eb409d864b9c,9512956,24
microchip-atdf:PIC32CM-LE_DFP@1.4.336,https://packs.download.microchip.com/Microchip.PIC32CM-LE_DFP.1.4.336.pack,C:\Users\confl\Desktop\alice blue\mcu-l-catalog\cache\microchip\packs\Microchip.PIC32CM-LE_DFP.1.4.336.pack,aeb78578f020bdc11c2ec2a98e218b31245f3765e2898330ef71bae61ff6fe6d,3595616,8
microchip-atdf:PIC32CM-LS_DFP@1.3.278,https://packs.download.microchip.com/Microchip.PIC32CM-LS_DFP.1.3.278.pack,C:\Users\confl\Desktop\alice blue\mcu-l-catalog\cache\microchip\packs\Microchip.PIC32CM-LS_DFP.1.3.278.pack,a2d6982f82745473adadfa7534b7a47ce783f8b9d9c7ceaa4ab9f1c700ea1a2e,5164663,11
microchip-atdf:PIC32CM-MC_DFP@1.5.244,https://packs.download.microchip.com/Microchip.PIC32CM-MC_DFP.1.5.244.pack,C:\Users\confl\Desktop\alice blue\mcu-l-catalog\cache\microchip\packs\Microchip.PIC32CM-MC_DFP.1.5.244.pack,eb571f953b9653c9a572686482e61ff55c3378e60e038345e7a02bb17e94b127,2439066,4
microchip-atdf:PIC32CM-PL_DFP@1.5.437,https://packs.download.microchip.com/Microchip.PIC32CM-PL_DFP.1.5.437.pack,C:\Users\confl\Desktop\alice blue\mcu-l-catalog\cache\microchip\packs\Microchip.PIC32CM-PL_DFP.1.5.437.pack,1507482584c6e74d7fff294dcce064d37fd8ce88b49542c1eb64b800c066b306,3604011,11
microchip-atdf:PIC32CX-BZ3_DFP@1.4.259,https://packs.download.microchip.com/Microchip.PIC32CX-BZ3_DFP.1.4.259.pack,C:\Users\confl\Desktop\alice blue\mcu-l-catalog\cache\microchip\packs\Microchip.PIC32CX-BZ3_DFP.1.4.259.pack,49053d37d9f89f7f963b5cd17083a239f2429b37d1378c667de9bd09d73f5959,11382888,16
microchip-atdf:PIC32CX-MT_DFP@1.4.152,https://packs.download.microchip.com/Microchip.PIC32CX-MT_DFP.1.4.152.pack,C:\Users\confl\Desktop\alice blue\mcu-l-catalog\cache\microchip\packs\Microchip.PIC32CX-MT_DFP.1.4.152.pack,63b0bac6bb3cfae91b11fab2f39853d4e07766e35fca8763767883acf9a1099a,9710850,17
microchip-atdf:PIC32CX-SG41_DFP@1.6.172,https://packs.download.microchip.com/Microchip.PIC32CX-SG41_DFP.1.6.172.pack,C:\Users\confl\Desktop\alice blue\mcu-l-catalog\cache\microchip\packs\Microchip.PIC32CX-SG41_DFP.1.6.172.pack,86e7ac473e3b4d8bdc490f0fbd8b68aab6df9935c26d06b1b14c8f1aae176c2b,2797120,4
microchip-atdf:PIC32CX-SG60_DFP@1.3.159,https://packs.download.microchip.com/Microchip.PIC32CX-SG60_DFP.1.3.159.pack,C:\Users\confl\Desktop\alice blue\mcu-l-catalog\cache\microchip\packs\Microchip.PIC32CX-SG60_DFP.1.3.159.pack,d5130c91ca3a95d609e85a7a9e200dad326ce8a0565c08acd2713e09a6ffb93f,1653096,2
microchip-atdf:PIC32CX-SG61_DFP@1.3.171,https://packs.download.microchip.com/Microchip.PIC32CX-SG61_DFP.1.3.171.pack,C:\Users\confl\Desktop\alice blue\mcu-l-catalog\cache\microchip\packs\Microchip.PIC32CX-SG61_DFP.1.3.171.pack,4fa605e9e79b7cb47215856478d584a162f9e5ab4c4550b5a5cbe3ec83bc2edc,1662252,2
microchip-atdf:PIC32CZ-CA70_DFP@1.3.62,https://packs.download.microchip.com/Microchip.PIC32CZ-CA70_DFP.1.3.62.pack,C:\Users\confl\Desktop\alice blue\mcu-l-catalog\cache\microchip\packs\Microchip.PIC32CZ-CA70_DFP.1.3.62.pack,33596d86efb7115a52b9b800269c057738860183a3c5d37361d0a190d90de3fc,5812568,9
microchip-atdf:PIC32CZ-CA80_DFP@1.7.219,https://packs.download.microchip.com/Microchip.PIC32CZ-CA80_DFP.1.7.219.pack,C:\Users\confl\Desktop\alice blue\mcu-l-catalog\cache\microchip\packs\Microchip.PIC32CZ-CA80_DFP.1.7.219.pack,106f6d46e9027fad0aa7ab1b532339b63ca2927f1da9088f2a01ddc8d6b34c6f,11001245,12
microchip-atdf:PIC32CZ-CA90_DFP@1.8.226,https://packs.download.microchip.com/Microchip.PIC32CZ-CA90_DFP.1.8.226.pack,C:\Users\confl\Desktop\alice blue\mcu-l-catalog\cache\microchip\packs\Microchip.PIC32CZ-CA90_DFP.1.8.226.pack,37a511fd29c56f5bc88f79b77232afb669a1130fb16956ed9059f71a9796f708,11112366,12
microchip-atdf:PIC32CZ-MC70_DFP@1.3.57,https://packs.download.microchip.com/Microchip.PIC32CZ-MC70_DFP.1.3.57.pack,C:\Users\confl\Desktop\alice blue\mcu-l-catalog\cache\microchip\packs\Microchip.PIC32CZ-MC70_DFP.1.3.57.pack,601d38713b785afd208b38405b8ab63049049eb6bb332c65e423ea9d947c0b69,2624408,4
microchip-atdf:SAMC20_DFP@3.6.222,https://packs.download.microchip.com/Microchip.SAMC20_DFP.3.6.222.pack,C:\Users\confl\Desktop\alice blue\mcu-l-catalog\cache\microchip\packs\Microchip.SAMC20_DFP.3.6.222.pack,9f03712b64d1e1d64e8e07751d71fc922350a8a28bcfe2cedc162bbf5b99b54b,4861486,16
microchip-atdf:SAMC21_DFP@3.9.248,https://packs.download.microchip.com/Microchip.SAMC21_DFP.3.9.248.pack,C:\Users\confl\Desktop\alice blue\mcu-l-catalog\cache\microchip\packs\Microchip.SAMC21_DFP.3.9.248.pack,fd4a79e7e899f8eeb71276494743f9fe7605364d7ac29e8443981b92607bcf36,6048379,16
microchip-atdf:SAMD09_DFP@2.5.147,https://packs.download.microchip.com/Microchip.SAMD09_DFP.2.5.147.pack,C:\Users\confl\Desktop\alice blue\mcu-l-catalog\cache\microchip\packs\Microchip.SAMD09_DFP.2.5.147.pack,3f983782cf4bf4559398ed6b9a23225b11ace1904cc31eb6c6da3e86fdc3251d,498524,2
microchip-atdf:SAMD10_DFP@2.7.81,https://packs.download.microchip.com/Microchip.SAMD10_DFP.2.7.81.pack,C:\Users\confl\Desktop\alice blue\mcu-l-catalog\cache\microchip\packs\Microchip.SAMD10_DFP.2.7.81.pack,0b9a61070d8d549d08cf7ab5b55643ad0217bce4ae7cf21b3f53f359bf2aab6e,1389140,7
microchip-atdf:SAMD11_DFP@2.7.195,https://packs.download.microchip.com/Microchip.SAMD11_DFP.2.7.195.pack,C:\Users\confl\Desktop\alice blue\mcu-l-catalog\cache\microchip\packs\Microchip.SAMD11_DFP.2.7.195.pack,54216f64dd1835887586d4fa08e9cb31148aa1dccf9c003ba84d3db9a02b9bdb,1061081,4
microchip-atdf:SAMD20_DFP@3.7.231,https://packs.download.microchip.com/Microchip.SAMD20_DFP.3.7.231.pack,C:\Users\confl\Desktop\alice blue\mcu-l-catalog\cache\microchip\packs\Microchip.SAMD20_DFP.3.7.231.pack,f8039982952a2203f9b608f4eb46ec67be2e9c118859097f4f24be224b1a23af,5274641,28
microchip-atdf:SAMD21_DFP@3.8.270,https://packs.download.microchip.com/Microchip.SAMD21_DFP.3.8.270.pack,C:\Users\confl\Desktop\alice blue\mcu-l-catalog\cache\microchip\packs\Microchip.SAMD21_DFP.3.8.270.pack,8474d111df8bd2fbe688c509c6515810ec6df18269f5f03a49a66d3e7400bdc3,10260733,34
microchip-atdf:SAMD51_DFP@3.9.276,https://packs.download.microchip.com/Microchip.SAMD51_DFP.3.9.276.pack,C:\Users\confl\Desktop\alice blue\mcu-l-catalog\cache\microchip\packs\Microchip.SAMD51_DFP.3.9.276.pack,6f4e530bb8ce3d7a86b7bfafb072110f1e6eb4aa53e554c71f3db6a9720c039f,5295528,9
microchip-atdf:SAMDA1_DFP@2.8.196,https://packs.download.microchip.com/Microchip.SAMDA1_DFP.2.8.196.pack,C:\Users\confl\Desktop\alice blue\mcu-l-catalog\cache\microchip\packs\Microchip.SAMDA1_DFP.2.8.196.pack,9af1945e28e5d79a2d71c6fe664dec42640ec4f3d9187fbc810db98ff10b8336,2755785,9
microchip-atdf:SAME51_DFP@3.9.267,https://packs.download.microchip.com/Microchip.SAME51_DFP.3.9.267.pack,C:\Users\confl\Desktop\alice blue\mcu-l-catalog\cache\microchip\packs\Microchip.SAME51_DFP.3.9.267.pack,d06f203ef51ea58c215ab66f51e13af1edd4df62d3debe608498eb452319d84b,4113701,7
microchip-atdf:SAME53_DFP@3.10.248,https://packs.download.microchip.com/Microchip.SAME53_DFP.3.10.248.pack,C:\Users\confl\Desktop\alice blue\mcu-l-catalog\cache\microchip\packs\Microchip.SAME53_DFP.3.10.248.pack,da6071e1a9de905cca03a0999bf7e398bcab1438c524ba169319b0516db73700,3053731,5
microchip-atdf:SAME54_DFP@3.11.261,https://packs.download.microchip.com/Microchip.SAME54_DFP.3.11.261.pack,C:\Users\confl\Desktop\alice blue\mcu-l-catalog\cache\microchip\packs\Microchip.SAME54_DFP.3.11.261.pack,d8532b055297a736d22044d703d67a24edc28c7af49c9bd90eeeebb0206abca5,2830317,4
microchip-atdf:SAME70_DFP@4.13.292,https://packs.download.microchip.com/Microchip.SAME70_DFP.4.13.292.pack,C:\Users\confl\Desktop\alice blue\mcu-l-catalog\cache\microchip\packs\Microchip.SAME70_DFP.4.13.292.pack,ea4a48a1bf0e46991ebe41ce1f098f6f81f93e1d41382c12cc2ebbbaed08c5b9,5726088,9
microchip-atdf:SAMG_DFP@3.10.223,https://packs.download.microchip.com/Microchip.SAMG_DFP.3.10.223.pack,C:\Users\confl\Desktop\alice blue\mcu-l-catalog\cache\microchip\packs\Microchip.SAMG_DFP.3.10.223.pack,1d1d5a9700f9a141625ed4cf7648e37528aefd2f60890fa96dccbe04eda9c245,3346711,9
microchip-atdf:SAMHA0_DFP@2.4.179,https://packs.download.microchip.com/Microchip.SAMHA0_DFP.2.4.179.pack,C:\Users\confl\Desktop\alice blue\mcu-l-catalog\cache\microchip\packs\Microchip.SAMHA0_DFP.2.4.179.pack,359d3720a6cffca61709d7eab56202693ee343c19a123617256a7f1f32d3030c,1983073,7
microchip-atdf:SAMHA1_DFP@2.5.190,https://packs.download.microchip.com/Microchip.SAMHA1_DFP.2.5.190.pack,C:\Users\confl\Desktop\alice blue\mcu-l-catalog\cache\microchip\packs\Microchip.SAMHA1_DFP.2.5.190.pack,c776bcd9294aa705242e6df13db128131f479a937642b3a44263c464da9519d9,2953452,10
microchip-atdf:SAML10_DFP@3.11.262,https://packs.download.microchip.com/Microchip.SAML10_DFP.3.11.262.pack,C:\Users\confl\Desktop\alice blue\mcu-l-catalog\cache\microchip\packs\Microchip.SAML10_DFP.3.11.262.pack,86a9b8bb762745add9b6703fc0e59e394ff26db39db945a92631e4a68b228771,2027643,6
microchip-atdf:SAML11_DFP@4.5.268,https://packs.download.microchip.com/Microchip.SAML11_DFP.4.5.268.pack,C:\Users\confl\Desktop\alice blue\mcu-l-catalog\cache\microchip\packs\Microchip.SAML11_DFP.4.5.268.pack,9dfe234dd816f2da507a990edc4a346475baac749e91c2fd9ac99001ec8410e2,2123546,6
microchip-atdf:SAML21_DFP@3.8.229,https://packs.download.microchip.com/Microchip.SAML21_DFP.3.8.229.pack,C:\Users\confl\Desktop\alice blue\mcu-l-catalog\cache\microchip\packs\Microchip.SAML21_DFP.3.8.229.pack,f5174a7d4db2aeafa2a14bb9313882b338260c9b2a9d238358989170d3f9fb8a,4146865,15
microchip-atdf:SAML22_DFP@3.8.203,https://packs.download.microchip.com/Microchip.SAML22_DFP.3.8.203.pack,C:\Users\confl\Desktop\alice blue\mcu-l-catalog\cache\microchip\packs\Microchip.SAML22_DFP.3.8.203.pack,30066fff2fb12f3916dd30e685f5d434189e8f73919a080fa8569a86300384c9,2890263,9
microchip-atdf:SAMR30_DFP@2.0.47,https://packs.download.microchip.com/Microchip.SAMR30_DFP.2.0.47.pack,C:\Users\confl\Desktop\alice blue\mcu-l-catalog\cache\microchip\packs\Microchip.SAMR30_DFP.2.0.47.pack,c24673b678e2a670b5f1c3291f997866d615532aff4c55a52e0a70647ecd8cf0,747052,2
microchip-atdf:SAMR34_DFP@2.2.187,https://packs.download.microchip.com/Microchip.SAMR34_DFP.2.2.187.pack,C:\Users\confl\Desktop\alice blue\mcu-l-catalog\cache\microchip\packs\Microchip.SAMR34_DFP.2.2.187.pack,764fd1731ce678e615e3052b61c1b8b1fb5797a0451169830a586355de7688d4,1213038,3
microchip-atdf:SAMRH707_DFP@1.3.181,https://packs.download.microchip.com/Microchip.SAMRH707_DFP.1.3.181.pack,C:\Users\confl\Desktop\alice blue\mcu-l-catalog\cache\microchip\packs\Microchip.SAMRH707_DFP.1.3.181.pack,5fe0723148d544835148610551f00cbbf1c7e656794c9a05c8730545abff905a,1008872,1
