orderable_part_id,device_id,manufacturer,family,series,product_line,device_name,part_number,manufacturer_suffix,package_code,temperature_grade_code,packing_code,package_name,temperature_range,packing_form,lifecycle,source_id,source_url,observed_at,verification_status,decode_status
microchip::at90can128-16ai,microchip::at90can128,Microchip,AVR,AVR 8-bit,AT90 specialty AVR,AT90CAN128,AT90CAN128-16AI,-16AI,,,,TQFP64,-40..85 °C,,unknown,microchip-avr-atdf:ATmega_DFP@3.6.299,https://packs.download.microchip.com/Microchip.ATmega_DFP.3.6.299.atpack,2026-08-12T17:20:34+00:00,manufacturer_device_database,atdf_variant_record
microchip::at90can128-16au,microchip::at90can128,Microchip,AVR,AVR 8-bit,AT90 specialty AVR,AT90CAN128,AT90CAN128-16AU,-16AU,,,,TQFP64,-40..85 °C,,unknown,microchip-avr-atdf:ATmega_DFP@3.6.299,https://packs.download.microchip.com/Microchip.ATmega_DFP.3.6.299.atpack,2026-08-12T17:20:34+00:00,manufacturer_device_database,atdf_variant_record
microchip::at90can128-16mi,microchip::at90can128,Microchip,AVR,AVR 8-bit,AT90 specialty AVR,AT90CAN128,AT90CAN128-16MI,-16MI,,,,QFN64,-40..85 °C,,unknown,microchip-avr-atdf:ATmega_DFP@3.6.299,https://packs.download.microchip.com/Microchip.ATmega_DFP.3.6.299.atpack,2026-08-12T17:20:34+00:00,manufacturer_device_database,atdf_variant_record
microchip::at90can128-16mu,microchip::at90can128,Microchip,AVR,AVR 8-bit,AT90 specialty AVR,AT90CAN128,AT90CAN128-16MU,-16MU,,,,QFN64,-40..85 °C,,unknown,microchip-avr-atdf:ATmega_DFP@3.6.299,https://packs.download.microchip.com/Microchip.ATmega_DFP.3.6.299.atpack,2026-08-12T17:20:34+00:00,manufacturer_device_database,atdf_variant_record
microchip::at90can32-16ai,microchip::at90can32,Microchip,AVR,AVR 8-bit,AT90 specialty AVR,AT90CAN32,AT90CAN32-16AI,-16AI,,,,TQFP64,-40..85 °C,,unknown,microchip-avr-atdf:ATmega_DFP@3.6.299,https://packs.download.microchip.com/Microchip.ATmega_DFP.3.6.299.atpack,2026-08-12T17:20:34+00:00,manufacturer_device_database,atdf_variant_record
microchip::at90can32-16au,microchip::at90can32,Microchip,AVR,AVR 8-bit,AT90 specialty AVR,AT90CAN32,AT90CAN32-16AU,-16AU,,,,TQFP64,-40..85 °C,,unknown,microchip-avr-atdf:ATmega_DFP@3.6.299,https://packs.download.microchip.com/Microchip.ATmega_DFP.3.6.299.atpack,2026-08-12T17:20:34+00:00,manufacturer_device_database,atdf_variant_record
microchip::at90can32-16mi,microchip::at90can32,Microchip,AVR,AVR 8-bit,AT90 specialty AVR,AT90CAN32,AT90CAN32-16MI,-16MI,,,,QFN64,-40..85 °C,,unknown,microchip-avr-atdf:ATmega_DFP@3.6.299,https://packs.download.microchip.com/Microchip.ATmega_DFP.3.6.299.atpack,2026-08-12T17:20:34+00:00,manufacturer_device_database,atdf_variant_record
microchip::at90can32-16mu,microchip::at90can32,Microchip,AVR,AVR 8-bit,AT90 specialty AVR,AT90CAN32,AT90CAN32-16MU,-16MU,,,,QFN64,-40..85 °C,,unknown,microchip-avr-atdf:ATmega_DFP@3.6.299,https://packs.download.microchip.com/Microchip.ATmega_DFP.3.6.299.atpack,2026-08-12T17:20:34+00:00,manufacturer_device_database,atdf_variant_record
microchip::at90can64-16ai,microchip::at90can64,Microchip,AVR,AVR 8-bit,AT90 specialty AVR,AT90CAN64,AT90CAN64-16AI,-16AI,,,,TQFP64,-40..85 °C,,unknown,microchip-avr-atdf:ATmega_DFP@3.6.299,https://packs.download.microchip.com/Microchip.ATmega_DFP.3.6.299.atpack,2026-08-12T17:20:34+00:00,manufacturer_device_database,atdf_variant_record
microchip::at90can64-16au,microchip::at90can64,Microchip,AVR,AVR 8-bit,AT90 specialty AVR,AT90CAN64,AT90CAN64-16AU,-16AU,,,,TQFP64,-40..85 °C,,unknown,microchip-avr-atdf:ATmega_DFP@3.6.299,https://packs.download.microchip.com/Microchip.ATmega_DFP.3.6.299.atpack,2026-08-12T17:20:34+00:00,manufacturer_device_database,atdf_variant_record
microchip::at90can64-16mi,microchip::at90can64,Microchip,AVR,AVR 8-bit,AT90 specialty AVR,AT90CAN64,AT90CAN64-16MI,-16MI,,,,QFN64,-40..85 °C,,unknown,microchip-avr-atdf:ATmega_DFP@3.6.299,https://packs.download.microchip.com/Microchip.ATmega_DFP.3.6.299.atpack,2026-08-12T17:20:34+00:00,manufacturer_device_database,atdf_variant_record
microchip::at90can64-16mu,microchip::at90can64,Microchip,AVR,AVR 8-bit,AT90 specialty AVR,AT90CAN64,AT90CAN64-16MU,-16MU,,,,QFN64,-40..85 °C,,unknown,microchip-avr-atdf:ATmega_DFP@3.6.299,https://packs.download.microchip.com/Microchip.ATmega_DFP.3.6.299.atpack,2026-08-12T17:20:34+00:00,manufacturer_device_database,atdf_variant_record
