product_line_id,manufacturer,product_type,architecture_class,family,series,product_line,device_variant_count,source_ids,observed_at,verification_status
microchip::pic32ck-sg::pic32ck-sg::pic32ck-sg,Microchip,general_purpose_mcu,Cortex-M33,PIC32CK-SG,PIC32CK-SG,PIC32CK-SG,22,cmsis:Microchip.PIC32CK-SG_DFP@1.7.233,2026-08-12T07:48:53+00:00,cmsis_pack_metadata
microchip::pic32cm-gv::pic32cm-gv::pic32cm-gv,Microchip,general_purpose_mcu,Cortex-M0+,PIC32CM-GV,PIC32CM-GV,PIC32CM-GV,6,cmsis:Microchip.PIC32CM-GV_DFP@1.3.47,2026-08-12T07:48:53+00:00,cmsis_pack_metadata
microchip::pic32cm-jh::pic32cm-jh::pic32cm-jh,Microchip,general_purpose_mcu,Cortex-M0+,PIC32CM-JH,PIC32CM-JH,PIC32CM-JH,24,cmsis:Microchip.PIC32CM-JH_DFP@1.7.296,2026-08-12T07:48:53+00:00,cmsis_pack_metadata
microchip::pic32cm-le::pic32cm-le::pic32cm-le,Microchip,general_purpose_mcu,Cortex-M23,PIC32CM-LE,PIC32CM-LE,PIC32CM-LE,8,cmsis:Microchip.PIC32CM-LE_DFP@1.4.336,2026-08-12T07:48:53+00:00,cmsis_pack_metadata
microchip::pic32cm-ls::pic32cm-ls::pic32cm-ls,Microchip,general_purpose_mcu,Cortex-M23,PIC32CM-LS,PIC32CM-LS,PIC32CM-LS,11,cmsis:Microchip.PIC32CM-LS_DFP@1.3.278,2026-08-12T07:48:53+00:00,cmsis_pack_metadata
microchip::pic32cm-mc::pic32cm-mc::pic32cm-mc,Microchip,general_purpose_mcu,Cortex-M0+,PIC32CM-MC,PIC32CM-MC,PIC32CM-MC,4,cmsis:Microchip.PIC32CM-MC_DFP@1.5.244,2026-08-12T07:48:53+00:00,cmsis_pack_metadata
microchip::pic32cm-pl::pic32cm-pl::pic32cm-pl,Microchip,general_purpose_mcu,Cortex-M0+,PIC32CM-PL,PIC32CM-PL,PIC32CM-PL,11,cmsis:Microchip.PIC32CM-PL_DFP@1.5.437,2026-08-12T07:48:53+00:00,cmsis_pack_metadata
microchip::pic32cx-bz3::pic32cx-bz3::pic32cx-bz3,Microchip,general_purpose_mcu,Cortex-M4,PIC32CX-BZ3,PIC32CX-BZ3,PIC32CX-BZ3,16,cmsis:Microchip.PIC32CX-BZ3_DFP@1.4.259,2026-08-12T07:48:53+00:00,cmsis_pack_metadata
microchip::pic32cx-mt::pic32cx-mt::pic32cx-mt,Microchip,general_purpose_mcu,Cortex-M4,PIC32CX-MT,PIC32CX-MT,PIC32CX-MT,17,cmsis:Microchip.PIC32CX-MT_DFP@1.4.152,2026-08-12T07:48:53+00:00,cmsis_pack_metadata
microchip::pic32cx-sg41::pic32cx-sg41::pic32cx-sg41,Microchip,general_purpose_mcu,Cortex-M4,PIC32CX-SG41,PIC32CX-SG41,PIC32CX-SG41,4,cmsis:Microchip.PIC32CX-SG41_DFP@1.6.172,2026-08-12T07:48:53+00:00,cmsis_pack_metadata
microchip::pic32cx-sg60::pic32cx-sg60::pic32cx-sg60,Microchip,general_purpose_mcu,Cortex-M4,PIC32CX-SG60,PIC32CX-SG60,PIC32CX-SG60,2,cmsis:Microchip.PIC32CX-SG60_DFP@1.3.159,2026-08-12T07:48:53+00:00,cmsis_pack_metadata
microchip::pic32cx-sg61::pic32cx-sg61::pic32cx-sg61,Microchip,general_purpose_mcu,Cortex-M4,PIC32CX-SG61,PIC32CX-SG61,PIC32CX-SG61,2,cmsis:Microchip.PIC32CX-SG61_DFP@1.3.171,2026-08-12T07:48:53+00:00,cmsis_pack_metadata
microchip::pic32cz-ca70::pic32cz-ca70::pic32cz-ca70,Microchip,general_purpose_mcu,Cortex-M7,PIC32CZ-CA70,PIC32CZ-CA70,PIC32CZ-CA70,9,cmsis:Microchip.PIC32CZ-CA70_DFP@1.3.62,2026-08-12T07:48:53+00:00,cmsis_pack_metadata
microchip::pic32cz-ca80::pic32cz-ca80::pic32cz-ca80,Microchip,general_purpose_mcu,Cortex-M7,PIC32CZ-CA80,PIC32CZ-CA80,PIC32CZ-CA80,12,cmsis:Microchip.PIC32CZ-CA80_DFP@1.7.219,2026-08-12T07:48:53+00:00,cmsis_pack_metadata
microchip::pic32cz-ca90::pic32cz-ca90::pic32cz-ca90,Microchip,general_purpose_mcu,Cortex-M7,PIC32CZ-CA90,PIC32CZ-CA90,PIC32CZ-CA90,12,cmsis:Microchip.PIC32CZ-CA90_DFP@1.8.226,2026-08-12T07:48:53+00:00,cmsis_pack_metadata
microchip::pic32cz-mc70::pic32cz-mc70::pic32cz-mc70,Microchip,general_purpose_mcu,Cortex-M7,PIC32CZ-MC70,PIC32CZ-MC70,PIC32CZ-MC70,4,cmsis:Microchip.PIC32CZ-MC70_DFP@1.3.57,2026-08-12T07:48:53+00:00,cmsis_pack_metadata
microchip::samc20::samc20::samc20,Microchip,general_purpose_mcu,Cortex-M0+,SAMC20,SAMC20,SAMC20,16,cmsis:Microchip.SAMC20_DFP@3.6.222,2026-08-12T07:48:53+00:00,cmsis_pack_metadata
microchip::samc21::samc21::samc21,Microchip,general_purpose_mcu,Cortex-M0+,SAMC21,SAMC21,SAMC21,16,cmsis:Microchip.SAMC21_DFP@3.9.248,2026-08-12T07:48:53+00:00,cmsis_pack_metadata
microchip::samd09::samd09::samd09,Microchip,general_purpose_mcu,Cortex-M0+,SAMD09,SAMD09,SAMD09,2,cmsis:Microchip.SAMD09_DFP@2.5.147,2026-08-12T07:48:53+00:00,cmsis_pack_metadata
