source_id,source_type,publisher,title,url,version,observed_at,verification_scope
atmel-atdf:SAM3X_DFP@1.0.50,manufacturer_atdf_device_database,Atmel (now Microchip),Atmel SAM3X exact-device ATDF files,https://www.keil.com/pack/Atmel.SAM3X_DFP.pdsc,1.0.50,2026-08-12T17:34:10+00:00,"Exact SAM3X device names, Cortex-M3 processor metadata, memory banks, peripheral instances, package pinouts, ADC signal pads, and manufacturer order codes."
cmsis:Microchip.PIC32CK-SG_DFP@1.7.233,cmsis_pdsc,Microchip,Microchip.PIC32CK-SG_DFP,https://packs.download.microchip.com/Microchip.PIC32CK-SG_DFP.pdsc,1.7.233,2026-08-12T07:48:53+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:Microchip.PIC32CM-GV_DFP@1.3.47,cmsis_pdsc,Microchip,Microchip.PIC32CM-GV_DFP,https://packs.download.microchip.com/Microchip.PIC32CM-GV_DFP.pdsc,1.3.47,2026-08-12T07:48:53+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:Microchip.PIC32CM-JH_DFP@1.7.296,cmsis_pdsc,Microchip,Microchip.PIC32CM-JH_DFP,https://packs.download.microchip.com/Microchip.PIC32CM-JH_DFP.pdsc,1.7.296,2026-08-12T07:48:53+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:Microchip.PIC32CM-LE_DFP@1.4.336,cmsis_pdsc,Microchip,Microchip.PIC32CM-LE_DFP,https://packs.download.microchip.com/Microchip.PIC32CM-LE_DFP.pdsc,1.4.336,2026-08-12T07:48:53+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:Microchip.PIC32CM-LS_DFP@1.3.278,cmsis_pdsc,Microchip,Microchip.PIC32CM-LS_DFP,https://packs.download.microchip.com/Microchip.PIC32CM-LS_DFP.pdsc,1.3.278,2026-08-12T07:48:53+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:Microchip.PIC32CM-MC_DFP@1.5.244,cmsis_pdsc,Microchip,Microchip.PIC32CM-MC_DFP,https://packs.download.microchip.com/Microchip.PIC32CM-MC_DFP.pdsc,1.5.244,2026-08-12T07:48:53+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:Microchip.PIC32CM-PL_DFP@1.5.437,cmsis_pdsc,Microchip,Microchip.PIC32CM-PL_DFP,https://packs.download.microchip.com/Microchip.PIC32CM-PL_DFP.pdsc,1.5.437,2026-08-12T07:48:53+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:Microchip.PIC32CX-BZ3_DFP@1.4.259,cmsis_pdsc,Microchip,Microchip.PIC32CX-BZ3_DFP,https://packs.download.microchip.com/Microchip.PIC32CX-BZ3_DFP.pdsc,1.4.259,2026-08-12T07:48:53+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:Microchip.PIC32CX-MT_DFP@1.4.152,cmsis_pdsc,Microchip,Microchip.PIC32CX-MT_DFP,https://packs.download.microchip.com/Microchip.PIC32CX-MT_DFP.pdsc,1.4.152,2026-08-12T07:48:53+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:Microchip.PIC32CX-SG41_DFP@1.6.172,cmsis_pdsc,Microchip,Microchip.PIC32CX-SG41_DFP,https://packs.download.microchip.com/Microchip.PIC32CX-SG41_DFP.pdsc,1.6.172,2026-08-12T07:48:53+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:Microchip.PIC32CX-SG60_DFP@1.3.159,cmsis_pdsc,Microchip,Microchip.PIC32CX-SG60_DFP,https://packs.download.microchip.com/Microchip.PIC32CX-SG60_DFP.pdsc,1.3.159,2026-08-12T07:48:53+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:Microchip.PIC32CX-SG61_DFP@1.3.171,cmsis_pdsc,Microchip,Microchip.PIC32CX-SG61_DFP,https://packs.download.microchip.com/Microchip.PIC32CX-SG61_DFP.pdsc,1.3.171,2026-08-12T07:48:53+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:Microchip.PIC32CZ-CA70_DFP@1.3.62,cmsis_pdsc,Microchip,Microchip.PIC32CZ-CA70_DFP,https://packs.download.microchip.com/Microchip.PIC32CZ-CA70_DFP.pdsc,1.3.62,2026-08-12T07:48:53+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:Microchip.PIC32CZ-CA80_DFP@1.7.219,cmsis_pdsc,Microchip,Microchip.PIC32CZ-CA80_DFP,https://packs.download.microchip.com/Microchip.PIC32CZ-CA80_DFP.pdsc,1.7.219,2026-08-12T07:48:53+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:Microchip.PIC32CZ-CA90_DFP@1.8.226,cmsis_pdsc,Microchip,Microchip.PIC32CZ-CA90_DFP,https://packs.download.microchip.com/Microchip.PIC32CZ-CA90_DFP.pdsc,1.8.226,2026-08-12T07:48:53+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:Microchip.PIC32CZ-MC70_DFP@1.3.57,cmsis_pdsc,Microchip,Microchip.PIC32CZ-MC70_DFP,https://packs.download.microchip.com/Microchip.PIC32CZ-MC70_DFP.pdsc,1.3.57,2026-08-12T07:48:53+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:Microchip.SAMC20_DFP@3.6.222,cmsis_pdsc,Microchip,Microchip.SAMC20_DFP,https://packs.download.microchip.com/Microchip.SAMC20_DFP.pdsc,3.6.222,2026-08-12T07:48:53+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
