source_id,source_type,publisher,title,url,version,observed_at,verification_scope
micropy:rp2-port,official_software_port,MicroPython,MicroPython official rp2 port documentation,https://raw.githubusercontent.com/micropython/micropython/master/ports/rp2/README.md,main,2026-08-23T05:04:03+00:00,"RP2040 and RP2350 MicroPython rp2 port, machine peripherals and PIO support."
raspberrypi:rp2040-datasheet,manufacturer_datasheet,Raspberry Pi,RP2040 Datasheet,https://datasheets.raspberrypi.com/rp2040/rp2040-datasheet.pdf,official,2026-08-23T05:04:03+00:00,"RP2040 core, memory, package, GPIO, ADC and peripheral resources."
raspberrypi:rp2350-datasheet,manufacturer_datasheet,Raspberry Pi,RP2350 Datasheet,https://datasheets.raspberrypi.com/rp2350/rp2350-datasheet.pdf,official,2026-08-23T05:04:03+00:00,"RP2350A/RP2350B selectable cores, memory, package, GPIO, ADC and peripheral resources."
kendryte:k210-datasheet,manufacturer_datasheet,Canaan / Kendryte,Kendryte K210 Functional Description,https://raw.githubusercontent.com/kendryte/kendryte-doc-datasheet/master/en/003.md,official repository,2026-08-23T05:04:03+00:00,"K210 CPU, SRAM, GPIO/FPIOA, UART, SPI, I2C, I2S, timers, DMA and accelerators."
kendryte:k210-package,manufacturer_datasheet,Canaan / Kendryte,Kendryte K210 Package Information,https://raw.githubusercontent.com/kendryte/kendryte-doc-datasheet/master/en/005.md,official repository,2026-08-23T05:04:03+00:00,K210 BGA144 package dimensions and ball configuration.
kendryte:k210-micropython,official_software_manual,Kendryte / OpenMV,K210 MicroPython and OpenMV Manual,https://raw.githubusercontent.com/kendryte/K210-Micropython-OpenMV/master/doc/K210-MicroPython%26OpenMV%20Manual%20v1.1-en(20210420).pdf,v1.1,2026-08-23T05:04:03+00:00,Official K210 MicroPython/OpenMV runtime and peripheral API manual.
kendryte:k230-datasheet,manufacturer_datasheet,Canaan / Kendryte,Kendryte K230 Full Datasheet,https://raw.githubusercontent.com/kendryte/k230_docs/main/en/00_hardware/K230_datasheet.md,V1.0,2026-08-23T05:04:03+00:00,"K230 CPU, KPU, SRAM, memory, audio, UART/I2C/SPI/PWM/GPIO, USB/SD and package variants."
kendryte:k230-canmv,official_software_manual,Kendryte / Canaan,CanMV K230 Tutorial,https://raw.githubusercontent.com/kendryte/k230_docs/main/en/CanMV_K230_Tutorial.md,main,2026-08-23T05:04:03+00:00,Official CanMV K230 workflow and MicroPython API support statement.
kendryte:k510-docs,manufacturer_documentation,Canaan / Kendryte,Kendryte K510 official documentation index,https://github.com/kendryte/k510_docs,dev,2026-08-23T05:04:03+00:00,K510 official CRB hardware guide and SDK application documentation; chip-level fields remain unknown where the public source is board-only.
raspberrypi:rp2354-hardware,manufacturer_datasheet,Raspberry Pi,RP2350 Datasheet used for RP2354 stacked-flash silicon,https://datasheets.raspberrypi.com/rp2350/rp2350-datasheet.pdf,official RP2350 family reference,2026-08-23T05:04:03+00:00,"RP2354A/B core, memory and peripheral resources inherited from the RP2350 family reference."
raspberrypi:rp2354-micropython,official_software_issue,MicroPython,RP2354B stacked-flash support discussion,https://github.com/micropython/micropython/issues/19108,open issue,2026-08-23T05:04:03+00:00,Documents current rp2 UF2 boot compatibility issue for RP2354B stacked flash; support is under review.
