device_id,product_line_id,manufacturer,product_type,architecture_class,family,series,product_line,device_name,generic_device_name,manufacturer_variant_code,processor_cores,max_clock_hz,flash_bytes,ram_bytes,package_types,pin_counts,memory_regions_json,features_json,documents_json,svd_files,lifecycle,source_id,source_url,source_version,observed_at,verification_status
mindmotion::mm32f0010a1n,mindmotion::mm32f0010::mm32f0010::mm32f0010a,MindMotion,general_purpose_mcu,Cortex-M0,MM32F0010,MM32F0010,MM32F0010A,MM32F0010A1N,MM32F0010A1N,1N,"[{""Dclock"": ""48000000"", ""Dcore"": ""Cortex-M0"", ""DcoreVersion"": ""r1p0"", ""Dendian"": ""Little-endian"", ""Dfpu"": ""0"", ""Dmpu"": ""0""}]",48000000,16384,2048,,,"[{""default"": ""1"", ""id"": ""IROM1"", ""size"": ""0x00004000"", ""start"": ""0x08000000"", ""startup"": ""1""}, {""default"": ""1"", ""id"": ""IRAM1"", ""init"": ""0"", ""size"": ""0x00000800"", ""start"": ""0x20000000""}]","[{""count"": ""2"", ""name"": ""Official subfamily description: UART"", ""source_kind"": ""mindmotion_pdsc_description"", ""type"": ""UART""}, {""count"": ""1"", ""name"": ""Official subfamily description: SPI"", ""source_kind"": ""mindmotion_pdsc_description"", ""type"": ""SPI""}, {""count"": ""1"", ""name"": ""Official subfamily description: I2C"", ""source_kind"": ""mindmotion_pdsc_description"", ""type"": ""I2C""}, {""name"": ""Official subfamily description lists ADC; quantity not stated"", ""source_kind"": ""mindmotion_pdsc_description"", ""type"": ""ADC""}]",[],SVD/MM32F0010.svd,unknown,cmsis:MindMotion.MM32F0010_DFP@1.0.6,http://www.mindmotion.com.cn/Download/MDK_KEIL/MindMotion.MM32F0010_DFP.pdsc,1.0.6,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
mindmotion::mm32f0010a1t,mindmotion::mm32f0010::mm32f0010::mm32f0010a,MindMotion,general_purpose_mcu,Cortex-M0,MM32F0010,MM32F0010,MM32F0010A,MM32F0010A1T,MM32F0010A1T,1T,"[{""Dclock"": ""48000000"", ""Dcore"": ""Cortex-M0"", ""DcoreVersion"": ""r1p0"", ""Dendian"": ""Little-endian"", ""Dfpu"": ""0"", ""Dmpu"": ""0""}]",48000000,16384,2048,,,"[{""default"": ""1"", ""id"": ""IROM1"", ""size"": ""0x00004000"", ""start"": ""0x08000000"", ""startup"": ""1""}, {""default"": ""1"", ""id"": ""IRAM1"", ""init"": ""0"", ""size"": ""0x00000800"", ""start"": ""0x20000000""}]","[{""count"": ""2"", ""name"": ""Official subfamily description: UART"", ""source_kind"": ""mindmotion_pdsc_description"", ""type"": ""UART""}, {""count"": ""1"", ""name"": ""Official subfamily description: SPI"", ""source_kind"": ""mindmotion_pdsc_description"", ""type"": ""SPI""}, {""count"": ""1"", ""name"": ""Official subfamily description: I2C"", ""source_kind"": ""mindmotion_pdsc_description"", ""type"": ""I2C""}, {""name"": ""Official subfamily description lists ADC; quantity not stated"", ""source_kind"": ""mindmotion_pdsc_description"", ""type"": ""ADC""}]",[],SVD/MM32F0010.svd,unknown,cmsis:MindMotion.MM32F0010_DFP@1.0.6,http://www.mindmotion.com.cn/Download/MDK_KEIL/MindMotion.MM32F0010_DFP.pdsc,1.0.6,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
mindmotion::mm32f003nw,mindmotion::mm32f003::mm32f003::mm32f003,MindMotion,general_purpose_mcu,Cortex-M0,MM32F003,MM32F003,MM32F003,MM32F003NW,MM32F003NW,NW,"[{""Dclock"": ""48000000"", ""Dcore"": ""Cortex-M0"", ""DcoreVersion"": ""r1p0"", ""Dendian"": ""Little-endian"", ""Dfpu"": ""0"", ""Dmpu"": ""0""}]",48000000,16384,2048,,,"[{""default"": ""1"", ""id"": ""IROM1"", ""size"": ""0x4000"", ""start"": ""0x08000000"", ""startup"": ""1""}, {""default"": ""1"", ""id"": ""IRAM1"", ""init"": ""0"", ""size"": ""0x800"", ""start"": ""0x20000000""}]","[{""count"": ""1"", ""name"": ""Official subfamily description: UART"", ""source_kind"": ""mindmotion_pdsc_description"", ""type"": ""UART""}, {""count"": ""1"", ""name"": ""Official subfamily description: SPI"", ""source_kind"": ""mindmotion_pdsc_description"", ""type"": ""SPI""}, {""count"": ""1"", ""name"": ""Official subfamily description: I2C"", ""source_kind"": ""mindmotion_pdsc_description"", ""type"": ""I2C""}, {""name"": ""Official subfamily description lists ADC; quantity not stated"", ""source_kind"": ""mindmotion_pdsc_description"", ""type"": ""ADC""}]",[],SVD/MM32F003.svd,unknown,cmsis:MindMotion.MM32F003_DFP@1.0.5,http://www.mindmotion.com.cn/Download/MDK_KEIL/MindMotion.MM32F003_DFP.pdsc,1.0.5,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
mindmotion::mm32f003tw,mindmotion::mm32f003::mm32f003::mm32f003,MindMotion,general_purpose_mcu,Cortex-M0,MM32F003,MM32F003,MM32F003,MM32F003TW,MM32F003TW,TW,"[{""Dclock"": ""48000000"", ""Dcore"": ""Cortex-M0"", ""DcoreVersion"": ""r1p0"", ""Dendian"": ""Little-endian"", ""Dfpu"": ""0"", ""Dmpu"": ""0""}]",48000000,16384,2048,,,"[{""default"": ""1"", ""id"": ""IROM1"", ""size"": ""0x00004000"", ""start"": ""0x08000000"", ""startup"": ""1""}, {""default"": ""1"", ""id"": ""IRAM1"", ""init"": ""0"", ""size"": ""0x00000800"", ""start"": ""0x20000000""}]","[{""count"": ""1"", ""name"": ""Official subfamily description: UART"", ""source_kind"": ""mindmotion_pdsc_description"", ""type"": ""UART""}, {""count"": ""1"", ""name"": ""Official subfamily description: SPI"", ""source_kind"": ""mindmotion_pdsc_description"", ""type"": ""SPI""}, {""count"": ""1"", ""name"": ""Official subfamily description: I2C"", ""source_kind"": ""mindmotion_pdsc_description"", ""type"": ""I2C""}, {""name"": ""Official subfamily description lists ADC; quantity not stated"", ""source_kind"": ""mindmotion_pdsc_description"", ""type"": ""ADC""}]",[],SVD/MM32F003.svd,unknown,cmsis:MindMotion.MM32F003_DFP@1.0.5,http://www.mindmotion.com.cn/Download/MDK_KEIL/MindMotion.MM32F003_DFP.pdsc,1.0.5,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
mindmotion::mm32f0131c4n,mindmotion::mm32f0130::mm32f0130::mm32f0131c,MindMotion,general_purpose_mcu,Cortex-M0,MM32F0130,MM32F0130,MM32F0131C,MM32F0131C4N,MM32F0131C4N,4N,"[{""Dclock"": ""72000000"", ""Dcore"": ""Cortex-M0"", ""DcoreVersion"": ""r1p0"", ""Dendian"": ""Little-endian"", ""Dfpu"": ""0"", ""Dmpu"": ""0""}]",72000000,65536,16384,,,"[{""default"": ""1"", ""id"": ""IROM1"", ""size"": ""0x10000"", ""start"": ""0x08000000"", ""startup"": ""1""}, {""default"": ""1"", ""id"": ""IRAM1"", ""init"": ""0"", ""size"": ""0x4000"", ""start"": ""0x20000000""}]","[{""count"": ""2"", ""name"": ""Official subfamily description: UART"", ""source_kind"": ""mindmotion_pdsc_description"", ""type"": ""UART""}, {""count"": ""2"", ""name"": ""Official subfamily description: SPI"", ""source_kind"": ""mindmotion_pdsc_description"", ""type"": ""SPI""}, {""count"": ""1"", ""name"": ""Official subfamily description: I2C"", ""source_kind"": ""mindmotion_pdsc_description"", ""type"": ""I2C""}, {""name"": ""Official subfamily description lists ADC; quantity not stated"", ""source_kind"": ""mindmotion_pdsc_description"", ""type"": ""ADC""}, {""name"": ""Official subfamily description lists COMP; quantity not stated"", ""source_kind"": ""mindmotion_pdsc_description"", ""type"": ""COMP""}, {""count"": ""1"", ""name"": ""Official subfamily description: RTC"", ""source_kind"": ""mindmotion_pdsc_description"", ""type"": ""RTC""}, {""count"": ""1"", ""name"": ""Hardware divider"", ""source_kind"": ""mindmotion_pdsc_description"", ""type"": ""CoreOther""}]",[],SVD/MM32F0130.svd,unknown,cmsis:MindMotion.MM32F0130_DFP@1.0.3,http://www.mindmotion.com.cn/Download/MDK_KEIL/MindMotion.MM32F0130_DFP.pdsc,1.0.3,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
mindmotion::mm32f0131c4p,mindmotion::mm32f0130::mm32f0130::mm32f0131c,MindMotion,general_purpose_mcu,Cortex-M0,MM32F0130,MM32F0130,MM32F0131C,MM32F0131C4P,MM32F0131C4P,4P,"[{""Dclock"": ""72000000"", ""Dcore"": ""Cortex-M0"", ""DcoreVersion"": ""r1p0"", ""Dendian"": ""Little-endian"", ""Dfpu"": ""0"", ""Dmpu"": ""0""}]",72000000,65536,16384,,,"[{""default"": ""1"", ""id"": ""IROM1"", ""size"": ""0x10000"", ""start"": ""0x08000000"", ""startup"": ""1""}, {""default"": ""1"", ""id"": ""IRAM1"", ""init"": ""0"", ""size"": ""0x4000"", ""start"": ""0x20000000""}]","[{""count"": ""2"", ""name"": ""Official subfamily description: UART"", ""source_kind"": ""mindmotion_pdsc_description"", ""type"": ""UART""}, {""count"": ""2"", ""name"": ""Official subfamily description: SPI"", ""source_kind"": ""mindmotion_pdsc_description"", ""type"": ""SPI""}, {""count"": ""1"", ""name"": ""Official subfamily description: I2C"", ""source_kind"": ""mindmotion_pdsc_description"", ""type"": ""I2C""}, {""name"": ""Official subfamily description lists ADC; quantity not stated"", ""source_kind"": ""mindmotion_pdsc_description"", ""type"": ""ADC""}, {""name"": ""Official subfamily description lists COMP; quantity not stated"", ""source_kind"": ""mindmotion_pdsc_description"", ""type"": ""COMP""}, {""count"": ""1"", ""name"": ""Official subfamily description: RTC"", ""source_kind"": ""mindmotion_pdsc_description"", ""type"": ""RTC""}, {""count"": ""1"", ""name"": ""Hardware divider"", ""source_kind"": ""mindmotion_pdsc_description"", ""type"": ""CoreOther""}]",[],SVD/MM32F0130.svd,unknown,cmsis:MindMotion.MM32F0130_DFP@1.0.3,http://www.mindmotion.com.cn/Download/MDK_KEIL/MindMotion.MM32F0130_DFP.pdsc,1.0.3,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
mindmotion::mm32f0131c6p,mindmotion::mm32f0130::mm32f0130::mm32f0131c,MindMotion,general_purpose_mcu,Cortex-M0,MM32F0130,MM32F0130,MM32F0131C,MM32F0131C6P,MM32F0131C6P,6P,"[{""Dclock"": ""72000000"", ""Dcore"": ""Cortex-M0"", ""DcoreVersion"": ""r1p0"", ""Dendian"": ""Little-endian"", ""Dfpu"": ""0"", ""Dmpu"": ""0""}]",72000000,65536,16384,,,"[{""default"": ""1"", ""id"": ""IROM1"", ""size"": ""0x10000"", ""start"": ""0x08000000"", ""startup"": ""1""}, {""default"": ""1"", ""id"": ""IRAM1"", ""init"": ""0"", ""size"": ""0x4000"", ""start"": ""0x20000000""}]","[{""count"": ""2"", ""name"": ""Official subfamily description: UART"", ""source_kind"": ""mindmotion_pdsc_description"", ""type"": ""UART""}, {""count"": ""2"", ""name"": ""Official subfamily description: SPI"", ""source_kind"": ""mindmotion_pdsc_description"", ""type"": ""SPI""}, {""count"": ""1"", ""name"": ""Official subfamily description: I2C"", ""source_kind"": ""mindmotion_pdsc_description"", ""type"": ""I2C""}, {""name"": ""Official subfamily description lists ADC; quantity not stated"", ""source_kind"": ""mindmotion_pdsc_description"", ""type"": ""ADC""}, {""name"": ""Official subfamily description lists COMP; quantity not stated"", ""source_kind"": ""mindmotion_pdsc_description"", ""type"": ""COMP""}, {""count"": ""1"", ""name"": ""Official subfamily description: RTC"", ""source_kind"": ""mindmotion_pdsc_description"", ""type"": ""RTC""}, {""count"": ""1"", ""name"": ""Hardware divider"", ""source_kind"": ""mindmotion_pdsc_description"", ""type"": ""CoreOther""}]",[],SVD/MM32F0130.svd,unknown,cmsis:MindMotion.MM32F0130_DFP@1.0.3,http://www.mindmotion.com.cn/Download/MDK_KEIL/MindMotion.MM32F0130_DFP.pdsc,1.0.3,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
mindmotion::mm32f0131c7p,mindmotion::mm32f0130::mm32f0130::mm32f0131c,MindMotion,general_purpose_mcu,Cortex-M0,MM32F0130,MM32F0130,MM32F0131C,MM32F0131C7P,MM32F0131C7P,7P,"[{""Dclock"": ""72000000"", ""Dcore"": ""Cortex-M0"", ""DcoreVersion"": ""r1p0"", ""Dendian"": ""Little-endian"", ""Dfpu"": ""0"", ""Dmpu"": ""0""}]",72000000,65536,16384,,,"[{""default"": ""1"", ""id"": ""IROM1"", ""size"": ""0x10000"", ""start"": ""0x08000000"", ""startup"": ""1""}, {""default"": ""1"", ""id"": ""IRAM1"", ""init"": ""0"", ""size"": ""0x4000"", ""start"": ""0x20000000""}]","[{""count"": ""2"", ""name"": ""Official subfamily description: UART"", ""source_kind"": ""mindmotion_pdsc_description"", ""type"": ""UART""}, {""count"": ""2"", ""name"": ""Official subfamily description: SPI"", ""source_kind"": ""mindmotion_pdsc_description"", ""type"": ""SPI""}, {""count"": ""1"", ""name"": ""Official subfamily description: I2C"", ""source_kind"": ""mindmotion_pdsc_description"", ""type"": ""I2C""}, {""name"": ""Official subfamily description lists ADC; quantity not stated"", ""source_kind"": ""mindmotion_pdsc_description"", ""type"": ""ADC""}, {""name"": ""Official subfamily description lists COMP; quantity not stated"", ""source_kind"": ""mindmotion_pdsc_description"", ""type"": ""COMP""}, {""count"": ""1"", ""name"": ""Official subfamily description: RTC"", ""source_kind"": ""mindmotion_pdsc_description"", ""type"": ""RTC""}, {""count"": ""1"", ""name"": ""Hardware divider"", ""source_kind"": ""mindmotion_pdsc_description"", ""type"": ""CoreOther""}]",[],SVD/MM32F0130.svd,unknown,cmsis:MindMotion.MM32F0130_DFP@1.0.3,http://www.mindmotion.com.cn/Download/MDK_KEIL/MindMotion.MM32F0130_DFP.pdsc,1.0.3,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
mindmotion::mm32f0132b4n,mindmotion::mm32f0130::mm32f0130::mm32f0132b,MindMotion,general_purpose_mcu,Cortex-M0,MM32F0130,MM32F0130,MM32F0132B,MM32F0132B4N,MM32F0132B4N,4N,"[{""Dclock"": ""72000000"", ""Dcore"": ""Cortex-M0"", ""DcoreVersion"": ""r1p0"", ""Dendian"": ""Little-endian"", ""Dfpu"": ""0"", ""Dmpu"": ""0""}]",72000000,32768,8192,,,"[{""default"": ""1"", ""id"": ""IROM1"", ""size"": ""0x8000"", ""start"": ""0x08000000"", ""startup"": ""1""}, {""default"": ""1"", ""id"": ""IRAM1"", ""init"": ""0"", ""size"": ""0x2000"", ""start"": ""0x20000000""}]","[{""count"": ""2"", ""name"": ""Official subfamily description: UART"", ""source_kind"": ""mindmotion_pdsc_description"", ""type"": ""UART""}, {""count"": ""2"", ""name"": ""Official subfamily description: SPI"", ""source_kind"": ""mindmotion_pdsc_description"", ""type"": ""SPI""}, {""count"": ""1"", ""name"": ""Official subfamily description: I2C"", ""source_kind"": ""mindmotion_pdsc_description"", ""type"": ""I2C""}, {""count"": ""1"", ""name"": ""Official subfamily description: USB"", ""source_kind"": ""mindmotion_pdsc_description"", ""type"": ""USBD""}, {""name"": ""Official subfamily description lists ADC; quantity not stated"", ""source_kind"": ""mindmotion_pdsc_description"", ""type"": ""ADC""}, {""name"": ""Official subfamily description lists COMP; quantity not stated"", ""source_kind"": ""mindmotion_pdsc_description"", ""type"": ""COMP""}, {""count"": ""1"", ""name"": ""Official subfamily description: RTC"", ""source_kind"": ""mindmotion_pdsc_description"", ""type"": ""RTC""}, {""count"": ""1"", ""name"": ""Hardware divider"", ""source_kind"": ""mindmotion_pdsc_description"", ""type"": ""CoreOther""}]",[],SVD/MM32F0130.svd,unknown,cmsis:MindMotion.MM32F0130_DFP@1.0.3,http://www.mindmotion.com.cn/Download/MDK_KEIL/MindMotion.MM32F0130_DFP.pdsc,1.0.3,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
mindmotion::mm32f0132b4p,mindmotion::mm32f0130::mm32f0130::mm32f0132b,MindMotion,general_purpose_mcu,Cortex-M0,MM32F0130,MM32F0130,MM32F0132B,MM32F0132B4P,MM32F0132B4P,4P,"[{""Dclock"": ""72000000"", ""Dcore"": ""Cortex-M0"", ""DcoreVersion"": ""r1p0"", ""Dendian"": ""Little-endian"", ""Dfpu"": ""0"", ""Dmpu"": ""0""}]",72000000,32768,8192,,,"[{""default"": ""1"", ""id"": ""IROM1"", ""size"": ""0x8000"", ""start"": ""0x08000000"", ""startup"": ""1""}, {""default"": ""1"", ""id"": ""IRAM1"", ""init"": ""0"", ""size"": ""0x2000"", ""start"": ""0x20000000""}]","[{""count"": ""2"", ""name"": ""Official subfamily description: UART"", ""source_kind"": ""mindmotion_pdsc_description"", ""type"": ""UART""}, {""count"": ""2"", ""name"": ""Official subfamily description: SPI"", ""source_kind"": ""mindmotion_pdsc_description"", ""type"": ""SPI""}, {""count"": ""1"", ""name"": ""Official subfamily description: I2C"", ""source_kind"": ""mindmotion_pdsc_description"", ""type"": ""I2C""}, {""count"": ""1"", ""name"": ""Official subfamily description: USB"", ""source_kind"": ""mindmotion_pdsc_description"", ""type"": ""USBD""}, {""name"": ""Official subfamily description lists ADC; quantity not stated"", ""source_kind"": ""mindmotion_pdsc_description"", ""type"": ""ADC""}, {""name"": ""Official subfamily description lists COMP; quantity not stated"", ""source_kind"": ""mindmotion_pdsc_description"", ""type"": ""COMP""}, {""count"": ""1"", ""name"": ""Official subfamily description: RTC"", ""source_kind"": ""mindmotion_pdsc_description"", ""type"": ""RTC""}, {""count"": ""1"", ""name"": ""Hardware divider"", ""source_kind"": ""mindmotion_pdsc_description"", ""type"": ""CoreOther""}]",[],SVD/MM32F0130.svd,unknown,cmsis:MindMotion.MM32F0130_DFP@1.0.3,http://www.mindmotion.com.cn/Download/MDK_KEIL/MindMotion.MM32F0130_DFP.pdsc,1.0.3,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
