product_line_id,manufacturer,product_type,architecture_class,family,series,product_line,device_variant_count,source_ids,observed_at,verification_status
mindmotion::mm32f0010::mm32f0010::mm32f0010a,MindMotion,general_purpose_mcu,Cortex-M0,MM32F0010,MM32F0010,MM32F0010A,2,cmsis:MindMotion.MM32F0010_DFP@1.0.6,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
mindmotion::mm32f003::mm32f003::mm32f003,MindMotion,general_purpose_mcu,Cortex-M0,MM32F003,MM32F003,MM32F003,2,cmsis:MindMotion.MM32F003_DFP@1.0.5,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
mindmotion::mm32f0130::mm32f0130::mm32f0131c,MindMotion,general_purpose_mcu,Cortex-M0,MM32F0130,MM32F0130,MM32F0131C,4,cmsis:MindMotion.MM32F0130_DFP@1.0.3,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
mindmotion::mm32f0130::mm32f0130::mm32f0132b,MindMotion,general_purpose_mcu,Cortex-M0,MM32F0130,MM32F0130,MM32F0132B,2,cmsis:MindMotion.MM32F0130_DFP@1.0.3,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
mindmotion::mm32f0130::mm32f0130::mm32f0132c,MindMotion,general_purpose_mcu,Cortex-M0,MM32F0130,MM32F0130,MM32F0132C,4,cmsis:MindMotion.MM32F0130_DFP@1.0.3,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
mindmotion::mm32f0130::mm32f0130::mm32f0133c,MindMotion,general_purpose_mcu,Cortex-M0,MM32F0130,MM32F0130,MM32F0133C,4,cmsis:MindMotion.MM32F0130_DFP@1.0.3,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
mindmotion::mm32f0140::mm32f0140::mm32f0141b,MindMotion,general_purpose_mcu,Cortex-M0,MM32F0140,MM32F0140,MM32F0141B,3,cmsis:MindMotion.MM32F0140_DFP@0.0.6,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
mindmotion::mm32f0140::mm32f0140::mm32f0144c,MindMotion,general_purpose_mcu,Cortex-M0,MM32F0140,MM32F0140,MM32F0144C,3,cmsis:MindMotion.MM32F0140_DFP@0.0.6,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
mindmotion::mm32f0270::mm32f0270::mm32f0271d,MindMotion,general_purpose_mcu,Cortex-M0,MM32F0270,MM32F0270,MM32F0271D,3,cmsis:MindMotion.MM32F0270_DFP@0.1.1,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
mindmotion::mm32f0270::mm32f0270::mm32f0272d,MindMotion,general_purpose_mcu,Cortex-M0,MM32F0270,MM32F0270,MM32F0272D,3,cmsis:MindMotion.MM32F0270_DFP@0.1.1,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
