source_id,source_type,publisher,title,url,version,observed_at,verification_scope
cmsis:MindMotion.MM32F0010_DFP@1.0.6,cmsis_pdsc,MindMotion,MindMotion.MM32F0010_DFP,http://www.mindmotion.com.cn/Download/MDK_KEIL/MindMotion.MM32F0010_DFP.pdsc,1.0.6,2026-08-11T12:17:48+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:MindMotion.MM32F003_DFP@1.0.5,cmsis_pdsc,MindMotion,MindMotion.MM32F003_DFP,http://www.mindmotion.com.cn/Download/MDK_KEIL/MindMotion.MM32F003_DFP.pdsc,1.0.5,2026-08-11T12:17:48+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:MindMotion.MM32F0130_DFP@1.0.3,cmsis_pdsc,MindMotion,MindMotion.MM32F0130_DFP,http://www.mindmotion.com.cn/Download/MDK_KEIL/MindMotion.MM32F0130_DFP.pdsc,1.0.3,2026-08-11T12:17:48+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:MindMotion.MM32F0140_DFP@0.0.6,cmsis_pdsc,MindMotion,MindMotion.MM32F0140_DFP,http://www.mindmotion.com.cn/Download/MDK_KEIL/MindMotion.MM32F0140_DFP.pdsc,0.0.6,2026-08-11T12:17:48+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:MindMotion.MM32F0270_DFP@0.1.1,cmsis_pdsc,MindMotion,MindMotion.MM32F0270_DFP,http://www.mindmotion.com.cn/Download/MDK_KEIL/MindMotion.MM32F0270_DFP.pdsc,0.1.1,2026-08-11T12:17:48+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:MindMotion.MM32F031_DFP@1.4.3,cmsis_pdsc,MindMotion,MindMotion.MM32F031_DFP,http://www.mindmotion.com.cn/Download/MDK_KEIL/MindMotion.MM32F031_DFP.pdsc,1.4.3,2026-08-11T12:17:48+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:MindMotion.MM32F032_DFP@1.0.4,cmsis_pdsc,MindMotion,MindMotion.MM32F032_DFP,http://www.mindmotion.com.cn/Download/MDK_KEIL/MindMotion.MM32F032_DFP.pdsc,1.0.4,2026-08-11T12:17:48+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:MindMotion.MM32F103x8xB_DFP@1.4.8,cmsis_pdsc,MindMotion,MindMotion.MM32F103x8xB_DFP,http://www.mindmotion.com.cn/Download/MDK_KEIL/MindMotion.MM32F103x8xB_DFP.pdsc,1.4.8,2026-08-11T12:17:48+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:MindMotion.MM32F103xCxE_DFP@1.0.6,cmsis_pdsc,MindMotion,MindMotion.MM32F103xCxE_DFP,http://www.mindmotion.com.cn/Download/MDK_KEIL/MindMotion.MM32F103xCxE_DFP.pdsc,1.0.6,2026-08-11T12:17:48+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:MindMotion.MM32F3270_DFP@1.0.5,cmsis_pdsc,MindMotion,MindMotion.MM32F3270_DFP,http://www.mindmotion.com.cn/Download/MDK_KEIL/MindMotion.MM32F3270_DFP.pdsc,1.0.5,2026-08-11T12:17:48+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:MindMotion.MM32L0xx_DFP@1.1.3,cmsis_pdsc,MindMotion,MindMotion.MM32L0xx_DFP,http://www.mindmotion.com.cn/Download/MDK_KEIL/MindMotion.MM32L0xx_DFP.pdsc,1.1.3,2026-08-11T12:17:48+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:MindMotion.MM32L3xx_DFP@1.0.8,cmsis_pdsc,MindMotion,MindMotion.MM32L3xx_DFP,http://www.mindmotion.com.cn/Download/MDK_KEIL/MindMotion.MM32L3xx_DFP.pdsc,1.0.8,2026-08-11T12:17:48+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:MindMotion.MM32P0xx_DFP@1.0.9,cmsis_pdsc,MindMotion,MindMotion.MM32P0xx_DFP,http://www.mindmotion.com.cn/Download/MDK_KEIL/MindMotion.MM32P0xx_DFP.pdsc,1.0.9,2026-08-11T12:17:48+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:MindMotion.MM32SPIN0280_DFP@0.0.1,cmsis_pdsc,MindMotion,MindMotion.MM32SPIN0280_DFP,http://www.mindmotion.com.cn/Download/MDK_KEIL/MindMotion.MM32SPIN0280_DFP.pdsc,0.0.1,2026-08-11T12:17:48+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:MindMotion.MM32SPIN0x_DFP@1.0.8,cmsis_pdsc,MindMotion,MindMotion.MM32SPIN0x_DFP,http://www.mindmotion.com.cn/Download/MDK_KEIL/MindMotion.MM32SPIN0x_DFP.pdsc,1.0.8,2026-08-11T12:17:48+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:MindMotion.MM32SPIN2x_DFP@1.1.6,cmsis_pdsc,MindMotion,MindMotion.MM32SPIN2x_DFP,http://www.mindmotion.com.cn/Download/MDK_KEIL/MindMotion.MM32SPIN2x_DFP.pdsc,1.1.6,2026-08-11T12:17:48+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:MindMotion.MM32W0130_DFP@1.0.1,cmsis_pdsc,MindMotion,MindMotion.MM32W0130_DFP,http://www.mindmotion.com.cn/Download/MDK_KEIL/MindMotion.MM32W0130_DFP.pdsc,1.0.1,2026-08-11T12:17:48+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:MindMotion.MM32W0xxB_DFP@1.0.6,cmsis_pdsc,MindMotion,MindMotion.MM32W0xxB_DFP,http://www.mindmotion.com.cn/Download/MDK_KEIL/MindMotion.MM32W0xxB_DFP.pdsc,1.0.6,2026-08-11T12:17:48+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:MindMotion.MM32W3xxB_DFP@1.0.9,cmsis_pdsc,MindMotion,MindMotion.MM32W3xxB_DFP,http://www.mindmotion.com.cn/Download/MDK_KEIL/MindMotion.MM32W3xxB_DFP.pdsc,1.0.9,2026-08-11T12:17:48+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
