product_line_id,manufacturer,product_type,architecture_class,family,series,product_line,device_variant_count,source_ids,observed_at,verification_status
nuvoton::audio-socs-family::audio-socs-family::i9100-series,Nuvoton,general_purpose_mcu,Cortex-M0,Audio SoCs Family,Audio SoCs Family,I9100 Series,2,cmsis:Nuvoton.AudioSoCs_DFP@1.0.1,2026-08-11T12:15:57+00:00,cmsis_pack_metadata
nuvoton::audio-socs-family::audio-socs-family::i91000-series,Nuvoton,general_purpose_mcu,Cortex-M0,Audio SoCs Family,Audio SoCs Family,I91000 Series,1,cmsis:Nuvoton.AudioSoCs_DFP@1.0.1,2026-08-11T12:15:57+00:00,cmsis_pack_metadata
nuvoton::audio-socs-family::audio-socs-family::i91200-series,Nuvoton,general_purpose_mcu,Cortex-M0,Audio SoCs Family,Audio SoCs Family,I91200 Series,5,cmsis:Nuvoton.AudioSoCs_DFP@1.0.1,2026-08-11T12:15:57+00:00,cmsis_pack_metadata
nuvoton::audio-socs-family::audio-socs-family::i91500-series,Nuvoton,general_purpose_mcu,Cortex-M0,Audio SoCs Family,Audio SoCs Family,I91500 Series,1,cmsis:Nuvoton.AudioSoCs_DFP@1.0.1,2026-08-11T12:15:57+00:00,cmsis_pack_metadata
nuvoton::audio-socs-family::audio-socs-family::i94100-i941a00-series,Nuvoton,general_purpose_mcu,Cortex-M4,Audio SoCs Family,Audio SoCs Family,I94100/I941A00 Series,4,cmsis:Nuvoton.AudioSoCs_DFP@1.0.1,2026-08-11T12:15:57+00:00,cmsis_pack_metadata
nuvoton::audio-socs-family::audio-socs-family::i96100-series,Nuvoton,general_purpose_mcu,Cortex-M0,Audio SoCs Family,Audio SoCs Family,I96100 Series,1,cmsis:Nuvoton.AudioSoCs_DFP@1.0.1,2026-08-11T12:15:57+00:00,cmsis_pack_metadata
nuvoton::npcx-family::npcx-family::npca121-series,Nuvoton,general_purpose_mcu,Cortex-M4,NPCX Family,NPCX Family,NPCA121 Series,2,cmsis:Nuvoton.NuVoice_ISD_DFP@1.0.23,2026-08-11T12:15:57+00:00,cmsis_pack_metadata
nuvoton::nsc-family::nsc-family::nsc-series,Nuvoton,general_purpose_mcu,Cortex-M23,NSC Family,NSC Family,NSC Series,1,cmsis:Nuvoton.NuVoice_ISD_DFP@1.0.23,2026-08-11T12:15:57+00:00,cmsis_pack_metadata
nuvoton::nsc-family::nsc-family::nsc74-series,Nuvoton,general_purpose_mcu,Cortex-M0,NSC Family,NSC Family,NSC74 Series,4,cmsis:Nuvoton.NuVoice_ISD_DFP@1.0.23,2026-08-11T12:15:57+00:00,cmsis_pack_metadata
nuvoton::numicro-m0-family::numicro-m0-family::generic,Nuvoton,general_purpose_mcu,Cortex-M0,NuMicro M0 Family,NuMicro M0 Family,Generic,5,cmsis:Nuvoton.NuMicroM0_DFP@1.0.2;cmsis:Nuvoton.NuMicro_DFP@1.3.26,2026-08-11T12:15:57+00:00,cmsis_pack_metadata
nuvoton::numicro-m0-family::numicro-m0-family::m030g,Nuvoton,general_purpose_mcu,Cortex-M0,NuMicro M0 Family,NuMicro M0 Family,M030G,13,cmsis:Nuvoton.NuMicroM0_DFP@1.0.2;cmsis:Nuvoton.NuMicro_DFP@1.3.26,2026-08-11T12:15:57+00:00,cmsis_pack_metadata
nuvoton::numicro-m0-family::numicro-m0-family::m031,Nuvoton,general_purpose_mcu,Cortex-M0,NuMicro M0 Family,NuMicro M0 Family,M031,45,cmsis:Nuvoton.NuMicroM0_DFP@1.0.2;cmsis:Nuvoton.NuMicro_DFP@1.3.26,2026-08-11T12:15:57+00:00,cmsis_pack_metadata
nuvoton::numicro-m0-family::numicro-m0-family::m051,Nuvoton,general_purpose_mcu,Cortex-M0,NuMicro M0 Family,NuMicro M0 Family,M051,33,cmsis:Nuvoton.NuMicroM0_DFP@1.0.2;cmsis:Nuvoton.NuMicro_DFP@1.3.26,2026-08-11T12:15:57+00:00,cmsis_pack_metadata
nuvoton::numicro-m0-family::numicro-m0-family::m0518,Nuvoton,general_purpose_mcu,Cortex-M0,NuMicro M0 Family,NuMicro M0 Family,M0518,4,cmsis:Nuvoton.NuMicroM0_DFP@1.0.2;cmsis:Nuvoton.NuMicro_DFP@1.3.26,2026-08-11T12:15:57+00:00,cmsis_pack_metadata
nuvoton::numicro-m0-family::numicro-m0-family::m0519,Nuvoton,general_purpose_mcu,Cortex-M0,NuMicro M0 Family,NuMicro M0 Family,M0519,5,cmsis:Nuvoton.NuMicroM0_DFP@1.0.2;cmsis:Nuvoton.NuMicro_DFP@1.3.26,2026-08-11T12:15:57+00:00,cmsis_pack_metadata
nuvoton::numicro-m0-family::numicro-m0-family::m0564,Nuvoton,general_purpose_mcu,Cortex-M0,NuMicro M0 Family,NuMicro M0 Family,M0564,6,cmsis:Nuvoton.NuMicroM0_DFP@1.0.2;cmsis:Nuvoton.NuMicro_DFP@1.3.26,2026-08-11T12:15:57+00:00,cmsis_pack_metadata
nuvoton::numicro-m0-family::numicro-m0-family::m058s,Nuvoton,general_purpose_mcu,Cortex-M0,NuMicro M0 Family,NuMicro M0 Family,M058S,4,cmsis:Nuvoton.NuMicroM0_DFP@1.0.2;cmsis:Nuvoton.NuMicro_DFP@1.3.26,2026-08-11T12:15:57+00:00,cmsis_pack_metadata
nuvoton::numicro-m0-family::numicro-m0-family::m071m,Nuvoton,general_purpose_mcu,Cortex-M0,NuMicro M0 Family,NuMicro M0 Family,M071M,2,cmsis:Nuvoton.NuMicroM0_DFP@1.0.2;cmsis:Nuvoton.NuMicro_DFP@1.3.26,2026-08-11T12:15:57+00:00,cmsis_pack_metadata
nuvoton::numicro-m0-family::numicro-m0-family::m071q-v,Nuvoton,general_purpose_mcu,Cortex-M0,NuMicro M0 Family,NuMicro M0 Family,M071Q_V,1,cmsis:Nuvoton.NuMicroM0_DFP@1.0.2;cmsis:Nuvoton.NuMicro_DFP@1.3.26,2026-08-11T12:15:57+00:00,cmsis_pack_metadata
nuvoton::numicro-m0-family::numicro-m0-family::m071r-s,Nuvoton,general_purpose_mcu,Cortex-M0,NuMicro M0 Family,NuMicro M0 Family,M071R_S,4,cmsis:Nuvoton.NuMicroM0_DFP@1.0.2;cmsis:Nuvoton.NuMicro_DFP@1.3.26,2026-08-11T12:15:57+00:00,cmsis_pack_metadata
nuvoton::numicro-m0-family::numicro-m0-family::m091,Nuvoton,general_purpose_mcu,Cortex-M0,NuMicro M0 Family,NuMicro M0 Family,M091,4,cmsis:Nuvoton.NuMicroM0_DFP@1.0.2;cmsis:Nuvoton.NuMicro_DFP@1.3.26,2026-08-11T12:15:57+00:00,cmsis_pack_metadata
nuvoton::numicro-m0-family::numicro-m0-family::m0a21,Nuvoton,general_purpose_mcu,Cortex-M0,NuMicro M0 Family,NuMicro M0 Family,M0A21,8,cmsis:Nuvoton.NuMicroM0_DFP@1.0.2;cmsis:Nuvoton.NuMicro_DFP@1.3.26,2026-08-11T12:15:57+00:00,cmsis_pack_metadata
nuvoton::numicro-m0-family::numicro-m0-family::m0a86,Nuvoton,general_purpose_mcu,Cortex-M0,NuMicro M0 Family,NuMicro M0 Family,M0A86,1,cmsis:Nuvoton.NuMicroM0_DFP@1.0.2;cmsis:Nuvoton.NuMicro_DFP@1.3.26,2026-08-11T12:15:57+00:00,cmsis_pack_metadata
nuvoton::numicro-m0-family::numicro-m0-family::mini51,Nuvoton,general_purpose_mcu,Cortex-M0,NuMicro M0 Family,NuMicro M0 Family,Mini51,21,cmsis:Nuvoton.NuMicroM0_DFP@1.0.2;cmsis:Nuvoton.NuMicro_DFP@1.3.26,2026-08-11T12:15:57+00:00,cmsis_pack_metadata
nuvoton::numicro-m0-family::numicro-m0-family::mini55,Nuvoton,general_purpose_mcu,Cortex-M0,NuMicro M0 Family,NuMicro M0 Family,Mini55,3,cmsis:Nuvoton.NuMicroM0_DFP@1.0.2;cmsis:Nuvoton.NuMicro_DFP@1.3.26,2026-08-11T12:15:57+00:00,cmsis_pack_metadata
nuvoton::numicro-m0-family::numicro-m0-family::mini57,Nuvoton,general_purpose_mcu,Cortex-M0,NuMicro M0 Family,NuMicro M0 Family,Mini57,4,cmsis:Nuvoton.NuMicroM0_DFP@1.0.2;cmsis:Nuvoton.NuMicro_DFP@1.3.26,2026-08-11T12:15:57+00:00,cmsis_pack_metadata
nuvoton::numicro-m0-family::numicro-m0-family::mini58,Nuvoton,general_purpose_mcu,Cortex-M0,NuMicro M0 Family,NuMicro M0 Family,Mini58,4,cmsis:Nuvoton.NuMicroM0_DFP@1.0.2;cmsis:Nuvoton.NuMicro_DFP@1.3.26,2026-08-11T12:15:57+00:00,cmsis_pack_metadata
nuvoton::numicro-m0-family::numicro-m0-family::n32f030,Nuvoton,general_purpose_mcu,Cortex-M0,NuMicro M0 Family,NuMicro M0 Family,N32F030,3,cmsis:Nuvoton.NuMicroM0_DFP@1.0.2;cmsis:Nuvoton.NuMicro_DFP@1.3.26,2026-08-11T12:15:57+00:00,cmsis_pack_metadata
nuvoton::numicro-m0-family::numicro-m0-family::nda102,Nuvoton,general_purpose_mcu,Cortex-M0,NuMicro M0 Family,NuMicro M0 Family,NDA102,2,cmsis:Nuvoton.NuMicroM0_DFP@1.0.2;cmsis:Nuvoton.NuMicro_DFP@1.3.26,2026-08-11T12:15:57+00:00,cmsis_pack_metadata
nuvoton::numicro-m0-family::numicro-m0-family::nm1120,Nuvoton,general_purpose_mcu,Cortex-M0,NuMicro M0 Family,NuMicro M0 Family,NM1120,4,cmsis:Nuvoton.NuMicroM0_DFP@1.0.2;cmsis:Nuvoton.NuMicro_DFP@1.3.26,2026-08-11T12:15:57+00:00,cmsis_pack_metadata
nuvoton::numicro-m0-family::numicro-m0-family::nm1200,Nuvoton,general_purpose_mcu,Cortex-M0,NuMicro M0 Family,NuMicro M0 Family,NM1200,5,cmsis:Nuvoton.NuMicroM0_DFP@1.0.2;cmsis:Nuvoton.NuMicro_DFP@1.3.26,2026-08-11T12:15:57+00:00,cmsis_pack_metadata
nuvoton::numicro-m0-family::numicro-m0-family::nm1230,Nuvoton,general_purpose_mcu,Cortex-M0,NuMicro M0 Family,NuMicro M0 Family,NM1230,8,cmsis:Nuvoton.NuMicroM0_DFP@1.0.2;cmsis:Nuvoton.NuMicro_DFP@1.3.26,2026-08-11T12:15:57+00:00,cmsis_pack_metadata
nuvoton::numicro-m0-family::numicro-m0-family::nm1240,Nuvoton,general_purpose_mcu,Cortex-M0,NuMicro M0 Family,NuMicro M0 Family,NM1240,10,cmsis:Nuvoton.NuMicroM0_DFP@1.0.2;cmsis:Nuvoton.NuMicro_DFP@1.3.26,2026-08-11T12:15:57+00:00,cmsis_pack_metadata
nuvoton::numicro-m0-family::numicro-m0-family::nm1320,Nuvoton,general_purpose_mcu,Cortex-M0,NuMicro M0 Family,NuMicro M0 Family,NM1320,1,cmsis:Nuvoton.NuMicroM0_DFP@1.0.2;cmsis:Nuvoton.NuMicro_DFP@1.3.26,2026-08-11T12:15:57+00:00,cmsis_pack_metadata
nuvoton::numicro-m0-family::numicro-m0-family::nm1330,Nuvoton,general_purpose_mcu,Cortex-M0,NuMicro M0 Family,NuMicro M0 Family,NM1330,2,cmsis:Nuvoton.NuMicroM0_DFP@1.0.2;cmsis:Nuvoton.NuMicro_DFP@1.3.26,2026-08-11T12:15:57+00:00,cmsis_pack_metadata
nuvoton::numicro-m0-family::numicro-m0-family::nm1500,Nuvoton,general_purpose_mcu,Cortex-M0,NuMicro M0 Family,NuMicro M0 Family,NM1500,8,cmsis:Nuvoton.NuMicroM0_DFP@1.0.2;cmsis:Nuvoton.NuMicro_DFP@1.3.26,2026-08-11T12:15:57+00:00,cmsis_pack_metadata
nuvoton::numicro-m0-family::numicro-m0-family::nm1810,Nuvoton,general_purpose_mcu,Cortex-M0,NuMicro M0 Family,NuMicro M0 Family,NM1810,5,cmsis:Nuvoton.NuMicroM0_DFP@1.0.2;cmsis:Nuvoton.NuMicro_DFP@1.3.26,2026-08-11T12:15:57+00:00,cmsis_pack_metadata
nuvoton::numicro-m0-family::numicro-m0-family::nm1820,Nuvoton,general_purpose_mcu,Cortex-M0,NuMicro M0 Family,NuMicro M0 Family,NM1820,8,cmsis:Nuvoton.NuMicroM0_DFP@1.0.2;cmsis:Nuvoton.NuMicro_DFP@1.3.26,2026-08-11T12:15:57+00:00,cmsis_pack_metadata
nuvoton::numicro-m0-family::numicro-m0-family::nuc029ae,Nuvoton,general_purpose_mcu,Cortex-M0,NuMicro M0 Family,NuMicro M0 Family,NUC029AE,1,cmsis:Nuvoton.NuMicroM0_DFP@1.0.2;cmsis:Nuvoton.NuMicro_DFP@1.3.26,2026-08-11T12:15:57+00:00,cmsis_pack_metadata
nuvoton::numicro-m0-family::numicro-m0-family::nuc029an,Nuvoton,general_purpose_mcu,Cortex-M0,NuMicro M0 Family,NuMicro M0 Family,NUC029AN,5,cmsis:Nuvoton.NuMicroM0_DFP@1.0.2;cmsis:Nuvoton.NuMicro_DFP@1.3.26,2026-08-11T12:15:57+00:00,cmsis_pack_metadata
nuvoton::numicro-m0-family::numicro-m0-family::nuc029de,Nuvoton,general_purpose_mcu,Cortex-M0,NuMicro M0 Family,NuMicro M0 Family,NUC029DE,2,cmsis:Nuvoton.NuMicroM0_DFP@1.0.2;cmsis:Nuvoton.NuMicro_DFP@1.3.26,2026-08-11T12:15:57+00:00,cmsis_pack_metadata
nuvoton::numicro-m0-family::numicro-m0-family::nuc029ee,Nuvoton,general_purpose_mcu,Cortex-M0,NuMicro M0 Family,NuMicro M0 Family,NUC029EE,2,cmsis:Nuvoton.NuMicroM0_DFP@1.0.2;cmsis:Nuvoton.NuMicro_DFP@1.3.26,2026-08-11T12:15:57+00:00,cmsis_pack_metadata
