product_line_id,manufacturer,product_type,architecture_class,family,series,product_line,device_variant_count,source_ids,observed_at,verification_status
puya::py32e4::py32e4::py32e407,Puya,general_purpose_mcu,Cortex-M4,PY32E4,PY32E4,PY32E407,3,cmsis:Puya.PY32E4xx_DFP@1.0.0,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
puya::py32f0::py32f0::py32f001c,Puya,general_purpose_mcu,Cortex-M0+,PY32F0,PY32F0,PY32F001C,1,cmsis:Puya.PY32F0xx_DFP@1.2.8,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
puya::py32f0::py32f0::py32f002a,Puya,general_purpose_mcu,Cortex-M0+,PY32F0,PY32F0,PY32F002A,1,cmsis:Puya.PY32F0xx_DFP@1.2.8,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
puya::py32f0::py32f0::py32f002b,Puya,general_purpose_mcu,Cortex-M0+,PY32F0,PY32F0,PY32F002B,1,cmsis:Puya.PY32F0xx_DFP@1.2.8,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
puya::py32f0::py32f0::py32f002c,Puya,general_purpose_mcu,Cortex-M0+,PY32F0,PY32F0,PY32F002C,1,cmsis:Puya.PY32F0xx_DFP@1.2.8,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
puya::py32f0::py32f0::py32f002x,Puya,general_purpose_mcu,Cortex-M0+,PY32F0,PY32F0,PY32F002X,3,cmsis:Puya.PY32F0xx_DFP@1.2.8,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
puya::py32f0::py32f0::py32f002z,Puya,general_purpose_mcu,Cortex-M0+,PY32F0,PY32F0,PY32F002Z,1,cmsis:Puya.PY32F0xx_DFP@1.2.8,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
puya::py32f0::py32f0::py32f003,Puya,general_purpose_mcu,Cortex-M0+,PY32F0,PY32F0,PY32F003,4,cmsis:Puya.PY32F0xx_DFP@1.2.8,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
puya::py32f0::py32f0::py32f021,Puya,general_purpose_mcu,Cortex-M0+,PY32F0,PY32F0,PY32F021,1,cmsis:Puya.PY32F0xx_DFP@1.2.8,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
puya::py32f0::py32f0::py32f030,Puya,general_purpose_mcu,Cortex-M0+,PY32F0,PY32F0,PY32F030,4,cmsis:Puya.PY32F0xx_DFP@1.2.8,2026-08-11T12:17:48+00:00,cmsis_pack_metadata
