source_id,source_type,publisher,title,url,version,observed_at,verification_scope
cmsis:Puya.PY32E4xx_DFP@1.0.0,cmsis_pdsc,Puya,Puya.PY32E4xx_DFP,https://www.puyasemi.com/uploadfiles/Puya.PY32E4xx_DFP.pdsc,1.0.0,2026-08-11T12:17:48+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:Puya.PY32F0xx_DFP@1.2.8,cmsis_pdsc,Puya,Puya.PY32F0xx_DFP,https://www.puyasemi.com/uploadfiles/Puya.PY32F0xx_DFP.pdsc,1.2.8,2026-08-11T12:17:48+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:Puya.PY32F4xx_DFP@1.0.3,cmsis_pdsc,Puya,Puya.PY32F4xx_DFP,https://www.puyasemi.com/uploadfiles/Puya.PY32F4xx_DFP.pdsc,1.0.3,2026-08-11T12:17:48+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:Puya.PY32L0xx_DFP@1.0.3,cmsis_pdsc,Puya,Puya.PY32L0xx_DFP,https://www.puyasemi.com/uploadfiles/Puya.PY32L0xx_DFP.pdsc,1.0.3,2026-08-11T12:17:48+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:Puya.PY32Mxxx_DFP@1.0.6,cmsis_pdsc,Puya,Puya.PY32Mxxx_DFP,https://www.puyasemi.com/uploadfiles/Puya.PY32Mxxx_DFP.pdsc,1.0.6,2026-08-11T12:17:48+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
cmsis:Puya.PY32T0xx_DFP@1.0.7,cmsis_pdsc,Puya,Puya.PY32T0xx_DFP,https://www.puyasemi.com/uploadfiles/Puya.PY32T0xx_DFP.pdsc,1.0.7,2026-08-11T12:17:48+00:00,device names and metadata present in the PDSC; not purchasing-code completeness
puya-device-header:PY32E4xx_DFP@1.0.0,manufacturer_device_header,Puya,Puya.PY32E4xx_DFP exact-device CMSIS headers,https://www.puyasemi.com/uploadfiles/Puya.PY32E4xx_DFP.1.0.0.pack,1.0.0,2026-08-12T09:02:57+00:00,Peripheral instances explicitly defined by the official header whose filename exactly matches the PDSC device name. Package pin counts and ADC external pins are not inferred.
puya-device-header:PY32F0xx_DFP@1.2.8,manufacturer_device_header,Puya,Puya.PY32F0xx_DFP exact-device CMSIS headers,https://www.puyasemi.com/uploadfiles/Puya.PY32F0xx_DFP.1.2.8.pack,1.2.8,2026-08-12T09:02:57+00:00,Peripheral instances explicitly defined by the official header whose filename exactly matches the PDSC device name. Package pin counts and ADC external pins are not inferred.
puya-device-header:PY32F4xx_DFP@1.0.3,manufacturer_device_header,Puya,Puya.PY32F4xx_DFP exact-device CMSIS headers,https://www.puyasemi.com/uploadfiles/Puya.PY32F4xx_DFP.1.0.3.pack,1.0.3,2026-08-12T09:02:57+00:00,Peripheral instances explicitly defined by the official header whose filename exactly matches the PDSC device name. Package pin counts and ADC external pins are not inferred.
puya-device-header:PY32L0xx_DFP@1.0.3,manufacturer_device_header,Puya,Puya.PY32L0xx_DFP exact-device CMSIS headers,https://www.puyasemi.com/uploadfiles/Puya.PY32L0xx_DFP.1.0.3.pack,1.0.3,2026-08-12T09:02:57+00:00,Peripheral instances explicitly defined by the official header whose filename exactly matches the PDSC device name. Package pin counts and ADC external pins are not inferred.
puya-device-header:PY32Mxxx_DFP@1.0.6,manufacturer_device_header,Puya,Puya.PY32Mxxx_DFP exact-device CMSIS headers,https://www.puyasemi.com/uploadfiles/Puya.PY32Mxxx_DFP.1.0.6.pack,1.0.6,2026-08-12T09:02:57+00:00,Peripheral instances explicitly defined by the official header whose filename exactly matches the PDSC device name. Package pin counts and ADC external pins are not inferred.
puya-device-header:PY32T0xx_DFP@1.0.7,manufacturer_device_header,Puya,Puya.PY32T0xx_DFP exact-device CMSIS headers,https://www.puyasemi.com/uploadfiles/Puya.PY32T0xx_DFP.1.0.7.pack,1.0.7,2026-08-12T09:02:57+00:00,Peripheral instances explicitly defined by the official header whose filename exactly matches the PDSC device name. Package pin counts and ADC external pins are not inferred.
