orderable_part_id,device_id,manufacturer,family,series,product_line,device_name,part_number,manufacturer_suffix,package_code,temperature_grade_code,packing_code,package_name,temperature_range,packing_form,lifecycle,source_id,source_url,observed_at,verification_status,decode_status
qinheng::ch32f103c6t6,qinheng::ch32f103c6,Qinheng,CH32,CH32F103,CH32F103,CH32F103C6,CH32F103C6T6,T6,LQFP48,,,LQFP48,,,unknown,qinheng:ch32-data-yaml:CH32F103C6T6.yaml,https://www.wch.cn/products/CH32F103.html,2026-08-13T09:43:23+00:00,manufacturer_device_database,structured_official_snapshot
qinheng::ch32f103c8t6,qinheng::ch32f103c8,Qinheng,CH32,CH32F103,CH32F103,CH32F103C8,CH32F103C8T6,T6,LQFP48,,,LQFP48,,,unknown,qinheng:ch32-data-yaml:CH32F103C8T6.yaml,https://www.wch.cn/products/CH32F103.html,2026-08-13T09:43:23+00:00,manufacturer_device_database,structured_official_snapshot
qinheng::ch32f103r8t6,qinheng::ch32f103r8,Qinheng,CH32,CH32F103,CH32F103,CH32F103R8,CH32F103R8T6,T6,LQFP64M,,,LQFP64M,,,unknown,qinheng:ch32-data-yaml:CH32F103R8T6.yaml,https://www.wch.cn/products/CH32F103.html,2026-08-13T09:43:23+00:00,manufacturer_device_database,structured_official_snapshot
qinheng::ch32f205rbt6,qinheng::ch32f205rb,Qinheng,CH32,CH32F205,CH32F205,CH32F205RB,CH32F205RBT6,T6,LQFP64M,,,LQFP64M,,,unknown,qinheng:special-table,https://www.wch.cn/products/CH32F207.html,2026-08-13T09:43:23+00:00,manufacturer_product_page,structured_official_snapshot
qinheng::ch32f207vct6,qinheng::ch32f207vc,Qinheng,CH32,CH32F207,CH32F207,CH32F207VC,CH32F207VCT6,T6,LQFP100,,,LQFP100,,,unknown,qinheng:special-table,https://www.wch.cn/products/CH32F207.html,2026-08-13T09:43:23+00:00,manufacturer_product_page,structured_official_snapshot
qinheng::ch32h415reu6,qinheng::ch32h415re,Qinheng,CH32,CH32H415,CH32H415,CH32H415RE,CH32H415REU6,U6,QFN60,,,QFN60,,,unknown,qinheng:ch32-data-yaml:CH32H415REU6.yaml,https://www.wch.cn/products/CH32H415.html,2026-08-13T09:43:23+00:00,manufacturer_device_database,structured_official_snapshot
qinheng::ch32h416rdu6,qinheng::ch32h416rd,Qinheng,CH32,CH32H416,CH32H416,CH32H416RD,CH32H416RDU6,U6,QFN60,,,QFN60,,,unknown,qinheng:ch32-data-yaml:CH32H416RDU6.yaml,https://www.wch.cn/products/CH32H416.html,2026-08-13T09:43:23+00:00,manufacturer_device_database,structured_official_snapshot
qinheng::ch32h417meu6,qinheng::ch32h417me,Qinheng,CH32,CH32H417,CH32H417,CH32H417ME,CH32H417MEU6,U6,QFN88,,,QFN88,,,unknown,qinheng:ch32-data-yaml:CH32H417MEU6.yaml,https://www.wch.cn/products/CH32H417.html,2026-08-13T09:43:23+00:00,manufacturer_device_database,structured_official_snapshot
qinheng::ch32h417qeu6,qinheng::ch32h417qe,Qinheng,CH32,CH32H417,CH32H417,CH32H417QE,CH32H417QEU6,U6,QFN128,,,QFN128,,,unknown,qinheng:ch32-data-yaml:CH32H417QEU6.yaml,https://www.wch.cn/products/CH32H417.html,2026-08-13T09:43:23+00:00,manufacturer_device_database,structured_official_snapshot
qinheng::ch32h417weu6,qinheng::ch32h417we,Qinheng,CH32,CH32H417,CH32H417,CH32H417WE,CH32H417WEU6,U6,QFN68,,,QFN68,,,unknown,qinheng:ch32-data-yaml:CH32H417WEU6.yaml,https://www.wch.cn/products/CH32H417.html,2026-08-13T09:43:23+00:00,manufacturer_device_database,structured_official_snapshot
qinheng::ch32l103c8t6,qinheng::ch32l103c8,Qinheng,CH32,CH32L103,CH32L103,CH32L103C8,CH32L103C8T6,T6,LQFP48,,,LQFP48,,,unknown,qinheng:ch32-table,https://www.wch.cn/products/CH32L103.html,2026-08-13T09:43:23+00:00,manufacturer_product_page,structured_official_snapshot
qinheng::ch32l103f7p6,qinheng::ch32l103f7,Qinheng,CH32,CH32L103,CH32L103,CH32L103F7,CH32L103F7P6,P6,TSSOP20,,,TSSOP20,,,unknown,qinheng:ch32-table,https://www.wch.cn/products/CH32L103.html,2026-08-13T09:43:23+00:00,manufacturer_product_page,structured_official_snapshot
qinheng::ch32l103f8p6,qinheng::ch32l103f8,Qinheng,CH32,CH32L103,CH32L103,CH32L103F8,CH32L103F8P6,P6,TSSOP20,,,TSSOP20,,,unknown,qinheng:ch32-table,https://www.wch.cn/products/CH32L103.html,2026-08-13T09:43:23+00:00,manufacturer_product_page,structured_official_snapshot
qinheng::ch32l103f8u6,qinheng::ch32l103f8,Qinheng,CH32,CH32L103,CH32L103,CH32L103F8,CH32L103F8U6,U6,QFN20,,,QFN20,,,unknown,qinheng:ch32-table,https://www.wch.cn/products/CH32L103.html,2026-08-13T09:43:23+00:00,manufacturer_product_page,structured_official_snapshot
qinheng::ch32l103g8r6,qinheng::ch32l103g8,Qinheng,CH32,CH32L103,CH32L103,CH32L103G8,CH32L103G8R6,R6,QSOP28,,,QSOP28,,,unknown,qinheng:ch32-table,https://www.wch.cn/products/CH32L103.html,2026-08-13T09:43:23+00:00,manufacturer_product_page,structured_official_snapshot
qinheng::ch32l103k8u6,qinheng::ch32l103k8,Qinheng,CH32,CH32L103,CH32L103,CH32L103K8,CH32L103K8U6,U6,QFN32,,,QFN32,,,unknown,qinheng:ch32-table,https://www.wch.cn/products/CH32L103.html,2026-08-13T09:43:23+00:00,manufacturer_product_page,structured_official_snapshot
qinheng::ch32m007e8r6,qinheng::ch32m007e8,Qinheng,CH32,CH32M007,CH32M007,CH32M007E8,CH32M007E8R6,R6,QSOP24,,,QSOP24,,,unknown,qinheng:ch32-data-yaml:CH32M007x8x6.yaml,https://www.wch-ic.com/products/CH32M007.html,2026-08-13T09:43:23+00:00,manufacturer_device_database,structured_official_snapshot
qinheng::ch32m007e8u6,qinheng::ch32m007e8,Qinheng,CH32,CH32M007,CH32M007,CH32M007E8,CH32M007E8U6,U6,QFN26C3,,,QFN26C3,,,unknown,qinheng:ch32-data-yaml:CH32M007x8x6.yaml,https://www.wch-ic.com/products/CH32M007.html,2026-08-13T09:43:23+00:00,manufacturer_device_database,structured_official_snapshot
qinheng::ch32m007g8r6,qinheng::ch32m007g8,Qinheng,CH32,CH32M007,CH32M007,CH32M007G8,CH32M007G8R6,R6,QSOP28,,,QSOP28,,,unknown,qinheng:ch32-data-yaml:CH32M007x8x6.yaml,https://www.wch-ic.com/products/CH32M007.html,2026-08-13T09:43:23+00:00,manufacturer_device_database,structured_official_snapshot
qinheng::ch32m007k8u7,qinheng::ch32m007k8,Qinheng,CH32,CH32M007,CH32M007,CH32M007K8,CH32M007K8U7,U7,QFN32,,,QFN32,,,unknown,qinheng:ch32-data-yaml:CH32M007x8x6.yaml,https://www.wch-ic.com/products/CH32M007.html,2026-08-13T09:43:23+00:00,manufacturer_device_database,structured_official_snapshot
qinheng::ch32v003a4m6,qinheng::ch32v003a4,Qinheng,CH32,CH32V003,CH32V003,CH32V003A4,CH32V003A4M6,M6,SOP16,,,SOP16,,,unknown,qinheng:ch32-table,https://www.wch.cn/products/CH32V003.html,2026-08-13T09:43:23+00:00,manufacturer_product_page,structured_official_snapshot
qinheng::ch32v003f4p6,qinheng::ch32v003f4,Qinheng,CH32,CH32V003,CH32V003,CH32V003F4,CH32V003F4P6,P6,TSSOP20,,,TSSOP20,,,unknown,qinheng:ch32-table,https://www.wch.cn/products/CH32V003.html,2026-08-13T09:43:23+00:00,manufacturer_product_page,structured_official_snapshot
qinheng::ch32v003f4u6,qinheng::ch32v003f4,Qinheng,CH32,CH32V003,CH32V003,CH32V003F4,CH32V003F4U6,U6,QFN20,,,QFN20,,,unknown,qinheng:ch32-table,https://www.wch.cn/products/CH32V003.html,2026-08-13T09:43:23+00:00,manufacturer_product_page,structured_official_snapshot
qinheng::ch32v003j4m6,qinheng::ch32v003j4,Qinheng,CH32,CH32V003,CH32V003,CH32V003J4,CH32V003J4M6,M6,SOP8,,,SOP8,,,unknown,qinheng:ch32-table,https://www.wch.cn/products/CH32V003.html,2026-08-13T09:43:23+00:00,manufacturer_product_page,structured_official_snapshot
qinheng::ch32v103c6t6,qinheng::ch32v103c6,Qinheng,CH32,CH32V103,CH32V103,CH32V103C6,CH32V103C6T6,T6,LQFP48,,,LQFP48,,,unknown,qinheng:ch32-table,https://www.wch.cn/products/CH32V103.html,2026-08-13T09:43:23+00:00,manufacturer_product_page,structured_official_snapshot
qinheng::ch32v103c8t6,qinheng::ch32v103c8,Qinheng,CH32,CH32V103,CH32V103,CH32V103C8,CH32V103C8T6,T6,LQFP48,,,LQFP48,,,unknown,qinheng:ch32-table,https://www.wch.cn/products/CH32V103.html,2026-08-13T09:43:23+00:00,manufacturer_product_page,structured_official_snapshot
qinheng::ch32v103c8u6,qinheng::ch32v103c8,Qinheng,CH32,CH32V103,CH32V103,CH32V103C8,CH32V103C8U6,U6,QFN48X7,,,QFN48X7,,,unknown,qinheng:ch32-table,https://www.wch.cn/products/CH32V103.html,2026-08-13T09:43:23+00:00,manufacturer_product_page,structured_official_snapshot
qinheng::ch32v103r8t6,qinheng::ch32v103r8,Qinheng,CH32,CH32V103,CH32V103,CH32V103R8,CH32V103R8T6,T6,LQFP64M,,,LQFP64M,,,unknown,qinheng:ch32-table,https://www.wch.cn/products/CH32V103.html,2026-08-13T09:43:23+00:00,manufacturer_product_page,structured_official_snapshot
qinheng::ch32v203c6t6,qinheng::ch32v203c6,Qinheng,CH32,CH32V203,CH32V203,CH32V203C6,CH32V203C6T6,T6,LQFP48,,,LQFP48,,,unknown,qinheng:ch32-table,https://www.wch.cn/products/CH32V203.html,2026-08-13T09:43:23+00:00,manufacturer_product_page,structured_official_snapshot
qinheng::ch32v203c8t6,qinheng::ch32v203c8,Qinheng,CH32,CH32V203,CH32V203,CH32V203C8,CH32V203C8T6,T6,LQFP48,,,LQFP48,,,unknown,qinheng:ch32-table,https://www.wch.cn/products/CH32V203.html,2026-08-13T09:43:23+00:00,manufacturer_product_page,structured_official_snapshot
qinheng::ch32v203c8u6,qinheng::ch32v203c8,Qinheng,CH32,CH32V203,CH32V203,CH32V203C8,CH32V203C8U6,U6,QFN48X7,,,QFN48X7,,,unknown,qinheng:ch32-table,https://www.wch.cn/products/CH32V203.html,2026-08-13T09:43:23+00:00,manufacturer_product_page,structured_official_snapshot
qinheng::ch32v203f6p6,qinheng::ch32v203f6,Qinheng,CH32,CH32V203,CH32V203,CH32V203F6,CH32V203F6P6,P6,TSSOP20,,,TSSOP20,,,unknown,qinheng:ch32-table,https://www.wch.cn/products/CH32V203.html,2026-08-13T09:43:23+00:00,manufacturer_product_page,structured_official_snapshot
qinheng::ch32v203f8p6,qinheng::ch32v203f8,Qinheng,CH32,CH32V203,CH32V203,CH32V203F8,CH32V203F8P6,P6,TSSOP20,,,TSSOP20,,,unknown,qinheng:ch32-table,https://www.wch.cn/products/CH32V203.html,2026-08-13T09:43:23+00:00,manufacturer_product_page,structured_official_snapshot
qinheng::ch32v203f8u6,qinheng::ch32v203f8,Qinheng,CH32,CH32V203,CH32V203,CH32V203F8,CH32V203F8U6,U6,QFN20,,,QFN20,,,unknown,qinheng:ch32-table,https://www.wch.cn/products/CH32V203.html,2026-08-13T09:43:23+00:00,manufacturer_product_page,structured_official_snapshot
qinheng::ch32v203g6u6,qinheng::ch32v203g6,Qinheng,CH32,CH32V203,CH32V203,CH32V203G6,CH32V203G6U6,U6,QFN28,,,QFN28,,,unknown,qinheng:ch32-table,https://www.wch.cn/products/CH32V203.html,2026-08-13T09:43:23+00:00,manufacturer_product_page,structured_official_snapshot
qinheng::ch32v203g8r6,qinheng::ch32v203g8,Qinheng,CH32,CH32V203,CH32V203,CH32V203G8,CH32V203G8R6,R6,QSOP28,,,QSOP28,,,unknown,qinheng:ch32-table,https://www.wch.cn/products/CH32V203.html,2026-08-13T09:43:23+00:00,manufacturer_product_page,structured_official_snapshot
qinheng::ch32v203k6t6,qinheng::ch32v203k6,Qinheng,CH32,CH32V203,CH32V203,CH32V203K6,CH32V203K6T6,T6,LQFP32,,,LQFP32,,,unknown,qinheng:ch32-table,https://www.wch.cn/products/CH32V203.html,2026-08-13T09:43:23+00:00,manufacturer_product_page,structured_official_snapshot
qinheng::ch32v203k8t6,qinheng::ch32v203k8,Qinheng,CH32,CH32V203,CH32V203,CH32V203K8,CH32V203K8T6,T6,LQFP32,,,LQFP32,,,unknown,qinheng:ch32-table,https://www.wch.cn/products/CH32V203.html,2026-08-13T09:43:23+00:00,manufacturer_product_page,structured_official_snapshot
qinheng::ch32v203rbt6,qinheng::ch32v203rb,Qinheng,CH32,CH32V203,CH32V203,CH32V203RB,CH32V203RBT6,T6,LQFP64M,,,LQFP64M,,,unknown,qinheng:ch32-table,https://www.wch.cn/products/CH32V203.html,2026-08-13T09:43:23+00:00,manufacturer_product_page,structured_official_snapshot
qinheng::ch32v208cbu6,qinheng::ch32v208cb,Qinheng,CH32,CH32V208,CH32V208,CH32V208CB,CH32V208CBU6,U6,QFN48,,,QFN48,,,unknown,qinheng:ch32-table,https://www.wch.cn/products/CH32V208.html,2026-08-13T09:43:23+00:00,manufacturer_product_page,structured_official_snapshot
qinheng::ch32v208gbu6,qinheng::ch32v208gb,Qinheng,CH32,CH32V208,CH32V208,CH32V208GB,CH32V208GBU6,U6,QFN28,,,QFN28,,,unknown,qinheng:ch32-table,https://www.wch.cn/products/CH32V208.html,2026-08-13T09:43:23+00:00,manufacturer_product_page,structured_official_snapshot
qinheng::ch32v208rbt6,qinheng::ch32v208rb,Qinheng,CH32,CH32V208,CH32V208,CH32V208RB,CH32V208RBT6,T6,LQFP64M,,,LQFP64M,,,unknown,qinheng:ch32-table,https://www.wch.cn/products/CH32V208.html,2026-08-13T09:43:23+00:00,manufacturer_product_page,structured_official_snapshot
qinheng::ch32v208wbu6,qinheng::ch32v208wb,Qinheng,CH32,CH32V208,CH32V208,CH32V208WB,CH32V208WBU6,U6,QFN68,,,QFN68,,,unknown,qinheng:ch32-table,https://www.wch.cn/products/CH32V208.html,2026-08-13T09:43:23+00:00,manufacturer_product_page,structured_official_snapshot
qinheng::ch32v303cbt6,qinheng::ch32v303cb,Qinheng,CH32,CH32V303,CH32V303,CH32V303CB,CH32V303CBT6,T6,LQFP48,,,LQFP48,,,unknown,qinheng:ch32-table,https://www.wch.cn/products/CH32V303.html,2026-08-13T09:43:23+00:00,manufacturer_product_page,structured_official_snapshot
qinheng::ch32v303rbt6,qinheng::ch32v303rb,Qinheng,CH32,CH32V303,CH32V303,CH32V303RB,CH32V303RBT6,T6,LQFP64M,,,LQFP64M,,,unknown,qinheng:ch32-table,https://www.wch.cn/products/CH32V303.html,2026-08-13T09:43:23+00:00,manufacturer_product_page,structured_official_snapshot
qinheng::ch32v303rct6,qinheng::ch32v303rc,Qinheng,CH32,CH32V303,CH32V303,CH32V303RC,CH32V303RCT6,T6,LQFP64M,,,LQFP64M,,,unknown,qinheng:ch32-table,https://www.wch.cn/products/CH32V303.html,2026-08-13T09:43:23+00:00,manufacturer_product_page,structured_official_snapshot
qinheng::ch32v303vct6,qinheng::ch32v303vc,Qinheng,CH32,CH32V303,CH32V303,CH32V303VC,CH32V303VCT6,T6,LQFP100,,,LQFP100,,,unknown,qinheng:ch32-table,https://www.wch.cn/products/CH32V303.html,2026-08-13T09:43:23+00:00,manufacturer_product_page,structured_official_snapshot
qinheng::ch32v305fbp6,qinheng::ch32v305fb,Qinheng,CH32,CH32V305,CH32V305,CH32V305FB,CH32V305FBP6,P6,TSSOP20,,,TSSOP20,,,unknown,qinheng:ch32-table,https://www.wch.cn/products/CH32V307.html,2026-08-13T09:43:23+00:00,manufacturer_product_page,structured_official_snapshot
qinheng::ch32v305gbu6,qinheng::ch32v305gb,Qinheng,CH32,CH32V305,CH32V305,CH32V305GB,CH32V305GBU6,U6,QFN28,,,QFN28,,,unknown,qinheng:ch32-table,https://www.wch.cn/products/CH32V307.html,2026-08-13T09:43:23+00:00,manufacturer_product_page,structured_official_snapshot
qinheng::ch32v305rbt6,qinheng::ch32v305rb,Qinheng,CH32,CH32V305,CH32V305,CH32V305RB,CH32V305RBT6,T6,LQFP64M,,,LQFP64M,,,unknown,qinheng:ch32-table,https://www.wch.cn/products/CH32V307.html,2026-08-13T09:43:23+00:00,manufacturer_product_page,structured_official_snapshot
qinheng::ch32v307rct6,qinheng::ch32v307rc,Qinheng,CH32,CH32V307,CH32V307,CH32V307RC,CH32V307RCT6,T6,LQFP64M,,,LQFP64M,,,unknown,qinheng:ch32-table,https://www.wch.cn/products/CH32V307.html,2026-08-13T09:43:23+00:00,manufacturer_product_page,structured_official_snapshot
qinheng::ch32v307vct6,qinheng::ch32v307vc,Qinheng,CH32,CH32V307,CH32V307,CH32V307VC,CH32V307VCT6,T6,LQFP100,,,LQFP100,,,unknown,qinheng:ch32-table,https://www.wch.cn/products/CH32V307.html,2026-08-13T09:43:23+00:00,manufacturer_product_page,structured_official_snapshot
qinheng::ch32v307wcu6,qinheng::ch32v307wc,Qinheng,CH32,CH32V307,CH32V307,CH32V307WC,CH32V307WCU6,U6,QFN68,,,QFN68,,,unknown,qinheng:ch32-table,https://www.wch.cn/products/CH32V307.html,2026-08-13T09:43:23+00:00,manufacturer_product_page,structured_official_snapshot
qinheng::ch32v317vct6,qinheng::ch32v317vc,Qinheng,CH32,CH32V317,CH32V317,CH32V317VC,CH32V317VCT6,T6,LQFP100,,,LQFP100,,,unknown,qinheng:ch32-data-yaml:CH32V317VCT6.yaml,https://www.wch.cn/products/CH32V317.html,2026-08-13T09:43:23+00:00,manufacturer_device_database,structured_official_snapshot
qinheng::ch32v317wcu6,qinheng::ch32v317wc,Qinheng,CH32,CH32V317,CH32V317,CH32V317WC,CH32V317WCU6,U6,QFN68,,,QFN68,,,unknown,qinheng:ch32-data-yaml:CH32V317WCU6.yaml,https://www.wch.cn/products/CH32V317.html,2026-08-13T09:43:23+00:00,manufacturer_device_database,structured_official_snapshot
qinheng::ch32x033f8p6,qinheng::ch32x033f8,Qinheng,CH32,CH32X033,CH32X033,CH32X033F8,CH32X033F8P6,P6,TSSOP20,,,TSSOP20,,,unknown,qinheng:ch32-table,https://www.wch.cn/products/CH32X035.html,2026-08-13T09:43:23+00:00,manufacturer_product_page,structured_official_snapshot
qinheng::ch32x034f8p6,qinheng::ch32x034f8,Qinheng,CH32,CH32X034,CH32X034,CH32X034F8,CH32X034F8P6,P6,TSSOP20,,,TSSOP20,,,unknown,qinheng:ch32-table,https://www.wch.cn/products/CH32X035.html,2026-08-13T09:43:23+00:00,manufacturer_product_page,structured_official_snapshot
qinheng::ch32x034f8u6,qinheng::ch32x034f8,Qinheng,CH32,CH32X034,CH32X034,CH32X034F8,CH32X034F8U6,U6,QFN20,,,QFN20,,,unknown,qinheng:ch32-table,https://www.wch.cn/products/CH32X035.html,2026-08-13T09:43:23+00:00,manufacturer_product_page,structured_official_snapshot
qinheng::ch32x035c8t6,qinheng::ch32x035c8,Qinheng,CH32,CH32X035,CH32X035,CH32X035C8,CH32X035C8T6,T6,LQFP48,,,LQFP48,,,unknown,qinheng:ch32-table,https://www.wch.cn/products/CH32X035.html,2026-08-13T09:43:23+00:00,manufacturer_product_page,structured_official_snapshot
qinheng::ch32x035f7p6,qinheng::ch32x035f7,Qinheng,CH32,CH32X035,CH32X035,CH32X035F7,CH32X035F7P6,P6,TSSOP20,,,TSSOP20,,,unknown,qinheng:ch32-table,https://www.wch.cn/products/CH32X035.html,2026-08-13T09:43:23+00:00,manufacturer_product_page,structured_official_snapshot
qinheng::ch32x035f8u6,qinheng::ch32x035f8,Qinheng,CH32,CH32X035,CH32X035,CH32X035F8,CH32X035F8U6,U6,QFN20,,,QFN20,,,unknown,qinheng:ch32-table,https://www.wch.cn/products/CH32X035.html,2026-08-13T09:43:23+00:00,manufacturer_product_page,structured_official_snapshot
qinheng::ch32x035g8r6,qinheng::ch32x035g8,Qinheng,CH32,CH32X035,CH32X035,CH32X035G8,CH32X035G8R6,R6,QSOP28,,,QSOP28,,,unknown,qinheng:ch32-table,https://www.wch.cn/products/CH32X035.html,2026-08-13T09:43:23+00:00,manufacturer_product_page,structured_official_snapshot
qinheng::ch32x035g8u6,qinheng::ch32x035g8,Qinheng,CH32,CH32X035,CH32X035,CH32X035G8,CH32X035G8U6,U6,QFN28,,,QFN28,,,unknown,qinheng:ch32-table,https://www.wch.cn/products/CH32X035.html,2026-08-13T09:43:23+00:00,manufacturer_product_page,structured_official_snapshot
qinheng::ch32x035r8t6,qinheng::ch32x035r8,Qinheng,CH32,CH32X035,CH32X035,CH32X035R8,CH32X035R8T6,T6,LQFP64M,,,LQFP64M,,,unknown,qinheng:ch32-table,https://www.wch.cn/products/CH32X035.html,2026-08-13T09:43:23+00:00,manufacturer_product_page,structured_official_snapshot
qinheng::ch561,qinheng::ch561,Qinheng,CH,CH561,CH561,CH561,CH561,,LQFP64M,,,LQFP64M,,,unknown,qinheng:special-table,https://www.wch.cn/products/CH561.html,2026-08-13T09:43:23+00:00,manufacturer_product_page,structured_official_snapshot
qinheng::ch563,qinheng::ch563,Qinheng,CH,CH563,CH563,CH563,CH563,,LQFP128/LQFP64M,,,LQFP128/LQFP64M,,,unknown,qinheng:special-table,https://www.wch.cn/products/CH563.html,2026-08-13T09:43:23+00:00,manufacturer_product_page,structured_official_snapshot
qinheng::ch564d,qinheng::ch564d,Qinheng,CH,CH564,CH564,CH564D,CH564D,,QFN26C3,,,QFN26C3,,,unknown,qinheng:ch32-data-yaml:CH564.yaml,https://www.wch.cn/products/CH564.html,2026-08-13T09:43:23+00:00,manufacturer_device_database,structured_official_snapshot
qinheng::ch564l,qinheng::ch564l,Qinheng,CH,CH564,CH564,CH564L,CH564L,,LQFP128,,,LQFP128,,,unknown,qinheng:ch32-data-yaml:CH564.yaml,https://www.wch.cn/products/CH564.html,2026-08-13T09:43:23+00:00,manufacturer_device_database,structured_official_snapshot
qinheng::ch564q,qinheng::ch564q,Qinheng,CH,CH564,CH564,CH564Q,CH564Q,,LQFP64M,,,LQFP64M,,,unknown,qinheng:ch32-data-yaml:CH564.yaml,https://www.wch.cn/products/CH564.html,2026-08-13T09:43:23+00:00,manufacturer_device_database,structured_official_snapshot
qinheng::ch567,qinheng::ch567,Qinheng,CH,CH567,CH567,CH567,CH567,,LQFP48,,,LQFP48,,,unknown,qinheng:special-table,https://www.wch.cn/products/CH567.html,2026-08-13T09:43:23+00:00,manufacturer_product_page,structured_official_snapshot
qinheng::ch568,qinheng::ch568,Qinheng,CH,CH568,CH568,CH568,CH568,,LQFP48,,,LQFP48,,,unknown,qinheng:special-table,https://www.wch.cn/products/CH568.html,2026-08-13T09:43:23+00:00,manufacturer_product_page,structured_official_snapshot
qinheng::ch569,qinheng::ch569,Qinheng,CH,CH569,CH569,CH569,CH569,,QFN68/QFN40,,,QFN68/QFN40,,,unknown,qinheng:special-table,https://www.wch.cn/products/CH569.html,2026-08-13T09:43:23+00:00,manufacturer_product_page,structured_official_snapshot
qinheng::ch571d,qinheng::ch571d,Qinheng,CH,CH571,CH571,CH571D,CH571D,,QFN20,,,QFN20,,,unknown,qinheng:ch32-data-yaml:CH571.yaml,https://www.wch.cn/products/CH573.html,2026-08-13T09:43:23+00:00,manufacturer_device_database,structured_official_snapshot
qinheng::ch571f,qinheng::ch571f,Qinheng,CH,CH571,CH571,CH571F,CH571F,,QFN28,,,QFN28,,,unknown,qinheng:ch32-data-yaml:CH571.yaml,https://www.wch.cn/products/CH573.html,2026-08-13T09:43:23+00:00,manufacturer_device_database,structured_official_snapshot
qinheng::ch571k,qinheng::ch571k,Qinheng,CH,CH571,CH571,CH571K,CH571K,,ESSOP10,,,ESSOP10,,,unknown,qinheng:ch32-data-yaml:CH571.yaml,https://www.wch.cn/products/CH573.html,2026-08-13T09:43:23+00:00,manufacturer_device_database,structured_official_snapshot
qinheng::ch573f,qinheng::ch573f,Qinheng,CH,CH573,CH573,CH573F,CH573F,,QFN28,,,QFN28,,,unknown,qinheng:ch32-data-yaml:CH573.yaml,https://www.wch.cn/products/CH573.html,2026-08-13T09:43:23+00:00,manufacturer_device_database,structured_official_snapshot
qinheng::ch573q,qinheng::ch573q,Qinheng,CH,CH573,CH573,CH573Q,CH573Q,,LQFP32,,,LQFP32,,,unknown,qinheng:ch32-data-yaml:CH573.yaml,https://www.wch.cn/products/CH573.html,2026-08-13T09:43:23+00:00,manufacturer_device_database,structured_official_snapshot
qinheng::ch581f,qinheng::ch581f,Qinheng,CH,CH581,CH581,CH581F,CH581F,,QFN28,,,QFN28,,,unknown,qinheng:ch32-data-yaml:CH581.yaml,https://www.wch.cn/products/CH583.html,2026-08-13T09:43:23+00:00,manufacturer_device_database,structured_official_snapshot
qinheng::ch582f,qinheng::ch582f,Qinheng,CH,CH582,CH582,CH582F,CH582F,,QFN28,,,QFN28,,,unknown,qinheng:ch32-data-yaml:CH582.yaml,https://www.wch.cn/products/CH583.html,2026-08-13T09:43:23+00:00,manufacturer_device_database,structured_official_snapshot
qinheng::ch582m,qinheng::ch582m,Qinheng,CH,CH582,CH582,CH582M,CH582M,,QFN48,,,QFN48,,,unknown,qinheng:ch32-data-yaml:CH582.yaml,https://www.wch.cn/products/CH583.html,2026-08-13T09:43:23+00:00,manufacturer_device_database,structured_official_snapshot
