product_line_id,manufacturer,product_type,architecture_class,family,series,product_line,device_variant_count,source_ids,observed_at,verification_status
qinheng::ch32::ch32v003,Qinheng,general_purpose_mcu,RISC-V,CH32,CH32V003,CH32V003,3,qinheng:ch32-table,2026-08-13T09:43:23+00:00,manufacturer_product_page
qinheng::ch32::ch32x035,Qinheng,general_purpose_mcu,RISC-V,CH32,CH32X035,CH32X035,5,qinheng:ch32-table,2026-08-13T09:43:23+00:00,manufacturer_product_page
qinheng::ch32::ch32x034,Qinheng,general_purpose_mcu,RISC-V,CH32,CH32X034,CH32X034,1,qinheng:ch32-table,2026-08-13T09:43:23+00:00,manufacturer_product_page
qinheng::ch32::ch32x033,Qinheng,general_purpose_mcu,RISC-V,CH32,CH32X033,CH32X033,1,qinheng:ch32-table,2026-08-13T09:43:23+00:00,manufacturer_product_page
qinheng::ch32::ch32v103,Qinheng,general_purpose_mcu,RISC-V,CH32,CH32V103,CH32V103,3,qinheng:ch32-table,2026-08-13T09:43:23+00:00,manufacturer_product_page
qinheng::ch32::ch32l103,Qinheng,general_purpose_mcu,RISC-V,CH32,CH32L103,CH32L103,5,qinheng:ch32-table,2026-08-13T09:43:23+00:00,manufacturer_product_page
qinheng::ch32::ch32v203,Qinheng,general_purpose_mcu,RISC-V,CH32,CH32V203,CH32V203,9,qinheng:ch32-table,2026-08-13T09:43:23+00:00,manufacturer_product_page
qinheng::ch32::ch32v303,Qinheng,general_purpose_mcu,RISC-V,CH32,CH32V303,CH32V303,4,qinheng:ch32-table,2026-08-13T09:43:23+00:00,manufacturer_product_page
qinheng::ch32::ch32v305,Qinheng,general_purpose_mcu,RISC-V,CH32,CH32V305,CH32V305,3,qinheng:ch32-table,2026-08-13T09:43:23+00:00,manufacturer_product_page
qinheng::ch32::ch32v307,Qinheng,general_purpose_mcu,RISC-V,CH32,CH32V307,CH32V307,3,qinheng:ch32-table,2026-08-13T09:43:23+00:00,manufacturer_product_page
qinheng::ch32::ch32v208,Qinheng,general_purpose_mcu,RISC-V,CH32,CH32V208,CH32V208,4,qinheng:ch32-table,2026-08-13T09:43:23+00:00,manufacturer_product_page
qinheng::ch32::ch32f205,Qinheng,general_purpose_mcu,Cortex-M3,CH32,CH32F205,CH32F205,1,qinheng:special-table,2026-08-13T09:43:23+00:00,manufacturer_product_page
qinheng::ch32::ch32f207,Qinheng,general_purpose_mcu,Cortex-M3,CH32,CH32F207,CH32F207,1,qinheng:special-table,2026-08-13T09:43:23+00:00,manufacturer_product_page
qinheng::ch::ch561,Qinheng,general_purpose_mcu,RISC-V,CH,CH561,CH561,1,qinheng:special-table,2026-08-13T09:43:23+00:00,manufacturer_product_page
qinheng::ch::ch563,Qinheng,general_purpose_mcu,RISC-V,CH,CH563,CH563,1,qinheng:special-table,2026-08-13T09:43:23+00:00,manufacturer_product_page
qinheng::ch::ch567,Qinheng,general_purpose_mcu,RISC-V,CH,CH567,CH567,1,qinheng:special-table,2026-08-13T09:43:23+00:00,manufacturer_product_page
qinheng::ch::ch568,Qinheng,general_purpose_mcu,RISC-V,CH,CH568,CH568,1,qinheng:special-table,2026-08-13T09:43:23+00:00,manufacturer_product_page
qinheng::ch::ch569,Qinheng,general_purpose_mcu,RISC-V,CH,CH569,CH569,1,qinheng:special-table,2026-08-13T09:43:23+00:00,manufacturer_product_page
