source_id,source_type,publisher,title,url,version,observed_at,verification_scope
qinheng:ch32-table,manufacturer_structured_snapshot,Nanjing Qinheng Microelectronics / openwch,WCH CH32 official structured device table,https://raw.githubusercontent.com/ch32-rs/ch32-data/main/data/CH32V_CH32X_CH32L.csv,main;sha256:e8c154732b68bc776ced5fb14693b4623706c189fa46c03ddd147897e1f82059,2026-08-13T10:42:24+00:00,Exact part records and raw peripheral fields published from WCH/openwch documentation; no wildcard expansion.
qinheng:special-table,manufacturer_structured_snapshot,Nanjing Qinheng Microelectronics / openwch,WCH CH32 official structured device table,https://raw.githubusercontent.com/ch32-rs/ch32-data/main/data/Special.csv,main;sha256:714a5af6e9c1cfd298e74171a1fd02da33707f84e15542660e6f7e2c1405cff1,2026-08-13T10:42:24+00:00,Exact part records and raw peripheral fields published from WCH/openwch documentation; no wildcard expansion.
qinheng:ch32-data-yaml:CH32F103C6T6.yaml,manufacturer_device_database,Nanjing Qinheng Microelectronics / openwch,WCH CH32 exact chip definition CH32F103C6T6.yaml,https://raw.githubusercontent.com/ch32-rs/ch32-data/main/data/chips/CH32F103C6T6.yaml,main;sha256:e0ab9ea4d3cd3dbba5798764e84e6f1a795339505ba7dfdf205d5d10b1569c55,2026-08-13T10:42:24+00:00,Exact package names and source-backed metadata present in the chip definition; wildcard names excluded.
qinheng:ch32-data-yaml:CH32F103C8T6.yaml,manufacturer_device_database,Nanjing Qinheng Microelectronics / openwch,WCH CH32 exact chip definition CH32F103C8T6.yaml,https://raw.githubusercontent.com/ch32-rs/ch32-data/main/data/chips/CH32F103C8T6.yaml,main;sha256:053f93d8454c8bcf407832e738d8fdea9c33baf934cf6c1f96b28fc3db182df1,2026-08-13T10:42:24+00:00,Exact package names and source-backed metadata present in the chip definition; wildcard names excluded.
qinheng:ch32-data-yaml:CH32F103R8T6.yaml,manufacturer_device_database,Nanjing Qinheng Microelectronics / openwch,WCH CH32 exact chip definition CH32F103R8T6.yaml,https://raw.githubusercontent.com/ch32-rs/ch32-data/main/data/chips/CH32F103R8T6.yaml,main;sha256:c86e16ae12cab7f3c8d03ad212dc90361e4992ec6a64b0a347267f26cd1171d8,2026-08-13T10:42:24+00:00,Exact package names and source-backed metadata present in the chip definition; wildcard names excluded.
qinheng:ch32-data-yaml:CH32H415REU6.yaml,manufacturer_device_database,Nanjing Qinheng Microelectronics / openwch,WCH CH32 exact chip definition CH32H415REU6.yaml,https://raw.githubusercontent.com/ch32-rs/ch32-data/main/data/chips/CH32H415REU6.yaml,main;sha256:ca2f11f67a3cfb993f98c470b38d04f9395b7028cc20690ee52330f13636155b,2026-08-13T10:42:24+00:00,Exact package names and source-backed metadata present in the chip definition; wildcard names excluded.
qinheng:ch32-data-yaml:CH32H416RDU6.yaml,manufacturer_device_database,Nanjing Qinheng Microelectronics / openwch,WCH CH32 exact chip definition CH32H416RDU6.yaml,https://raw.githubusercontent.com/ch32-rs/ch32-data/main/data/chips/CH32H416RDU6.yaml,main;sha256:11f0aabcbae2a3909695a01dfa78b589d8d14a3f65378dc21234d1766d457baa,2026-08-13T10:42:24+00:00,Exact package names and source-backed metadata present in the chip definition; wildcard names excluded.
qinheng:ch32-data-yaml:CH32H417MEU6.yaml,manufacturer_device_database,Nanjing Qinheng Microelectronics / openwch,WCH CH32 exact chip definition CH32H417MEU6.yaml,https://raw.githubusercontent.com/ch32-rs/ch32-data/main/data/chips/CH32H417MEU6.yaml,main;sha256:8504a4d9d84843f6004ae807d729128cf353b368090f748017b143d153441078,2026-08-13T10:42:24+00:00,Exact package names and source-backed metadata present in the chip definition; wildcard names excluded.
qinheng:ch32-data-yaml:CH32H417QEU6.yaml,manufacturer_device_database,Nanjing Qinheng Microelectronics / openwch,WCH CH32 exact chip definition CH32H417QEU6.yaml,https://raw.githubusercontent.com/ch32-rs/ch32-data/main/data/chips/CH32H417QEU6.yaml,main;sha256:71be5f11dfc25b32011e6c04811c8121df8c43f30939f91e704a72bbf407b443,2026-08-13T10:42:24+00:00,Exact package names and source-backed metadata present in the chip definition; wildcard names excluded.
qinheng:ch32-data-yaml:CH32H417WEU6.yaml,manufacturer_device_database,Nanjing Qinheng Microelectronics / openwch,WCH CH32 exact chip definition CH32H417WEU6.yaml,https://raw.githubusercontent.com/ch32-rs/ch32-data/main/data/chips/CH32H417WEU6.yaml,main;sha256:dcb95ad13c4fd57233ed2e59b9e7f7558fb6e998070fbe8022968247b5451cce,2026-08-13T10:42:24+00:00,Exact package names and source-backed metadata present in the chip definition; wildcard names excluded.
qinheng:ch32-data-yaml:CH32L103C8T6.yaml,manufacturer_device_database,Nanjing Qinheng Microelectronics / openwch,WCH CH32 exact chip definition CH32L103C8T6.yaml,https://raw.githubusercontent.com/ch32-rs/ch32-data/main/data/chips/CH32L103C8T6.yaml,main;sha256:75d55bd0dc37e27e3ca82d2d8d459dc5a3e335cfa556ede441bbc0fe48eff8fe,2026-08-13T10:42:24+00:00,Exact package names and source-backed metadata present in the chip definition; wildcard names excluded.
qinheng:ch32-data-yaml:CH32L103F7P6.yaml,manufacturer_device_database,Nanjing Qinheng Microelectronics / openwch,WCH CH32 exact chip definition CH32L103F7P6.yaml,https://raw.githubusercontent.com/ch32-rs/ch32-data/main/data/chips/CH32L103F7P6.yaml,main;sha256:6e15210ccfecee56f2dc9f5d439864e935268be3fb620ab90e9a4fad3060838b,2026-08-13T10:42:24+00:00,Exact package names and source-backed metadata present in the chip definition; wildcard names excluded.
qinheng:ch32-data-yaml:CH32L103F8P6.yaml,manufacturer_device_database,Nanjing Qinheng Microelectronics / openwch,WCH CH32 exact chip definition CH32L103F8P6.yaml,https://raw.githubusercontent.com/ch32-rs/ch32-data/main/data/chips/CH32L103F8P6.yaml,main;sha256:a4d225bf9a92df38a01ab723084c7eecdc8e84cc2bb1f6378f616035f9be1259,2026-08-13T10:42:24+00:00,Exact package names and source-backed metadata present in the chip definition; wildcard names excluded.
qinheng:ch32-data-yaml:CH32L103F8U6.yaml,manufacturer_device_database,Nanjing Qinheng Microelectronics / openwch,WCH CH32 exact chip definition CH32L103F8U6.yaml,https://raw.githubusercontent.com/ch32-rs/ch32-data/main/data/chips/CH32L103F8U6.yaml,main;sha256:f3bdf276cd3e3612417a20b11e1092d49c63df05f9adb68c32e2bee59898c30e,2026-08-13T10:42:24+00:00,Exact package names and source-backed metadata present in the chip definition; wildcard names excluded.
qinheng:ch32-data-yaml:CH32L103G8R6.yaml,manufacturer_device_database,Nanjing Qinheng Microelectronics / openwch,WCH CH32 exact chip definition CH32L103G8R6.yaml,https://raw.githubusercontent.com/ch32-rs/ch32-data/main/data/chips/CH32L103G8R6.yaml,main;sha256:aa82dc94d3c75d00647e9e1250e08d5fa74e7718ba7fcb2a0f9658d9afea15dc,2026-08-13T10:42:24+00:00,Exact package names and source-backed metadata present in the chip definition; wildcard names excluded.
qinheng:ch32-data-yaml:CH32L103K8U6.yaml,manufacturer_device_database,Nanjing Qinheng Microelectronics / openwch,WCH CH32 exact chip definition CH32L103K8U6.yaml,https://raw.githubusercontent.com/ch32-rs/ch32-data/main/data/chips/CH32L103K8U6.yaml,main;sha256:b0004c62dc706e32f36b1d4d82edbfda9167ac048dbbd46dc545862e8e6ff717,2026-08-13T10:42:24+00:00,Exact package names and source-backed metadata present in the chip definition; wildcard names excluded.
qinheng:ch32-data-yaml:CH32V003A4M6.yaml,manufacturer_device_database,Nanjing Qinheng Microelectronics / openwch,WCH CH32 exact chip definition CH32V003A4M6.yaml,https://raw.githubusercontent.com/ch32-rs/ch32-data/main/data/chips/CH32V003A4M6.yaml,main;sha256:9d4898fc6d8484ce6392e43a4dc704c6f2c3dc39877f2893250d12648078b330,2026-08-13T10:42:24+00:00,Exact package names and source-backed metadata present in the chip definition; wildcard names excluded.
qinheng:ch32-data-yaml:CH32V003F4P6.yaml,manufacturer_device_database,Nanjing Qinheng Microelectronics / openwch,WCH CH32 exact chip definition CH32V003F4P6.yaml,https://raw.githubusercontent.com/ch32-rs/ch32-data/main/data/chips/CH32V003F4P6.yaml,main;sha256:8b22bac0280e16ca465f5f35b4a8e7725c95052a5a2d7d72528185dbbe2f350d,2026-08-13T10:42:24+00:00,Exact package names and source-backed metadata present in the chip definition; wildcard names excluded.
qinheng:ch32-data-yaml:CH32V003F4U6.yaml,manufacturer_device_database,Nanjing Qinheng Microelectronics / openwch,WCH CH32 exact chip definition CH32V003F4U6.yaml,https://raw.githubusercontent.com/ch32-rs/ch32-data/main/data/chips/CH32V003F4U6.yaml,main;sha256:d7d8744e0699c291ae8109167f6a9ac2f55c1d7c0cb4531528d7b949b46756d9,2026-08-13T10:42:24+00:00,Exact package names and source-backed metadata present in the chip definition; wildcard names excluded.
qinheng:ch32-data-yaml:CH32V003J4M6.yaml,manufacturer_device_database,Nanjing Qinheng Microelectronics / openwch,WCH CH32 exact chip definition CH32V003J4M6.yaml,https://raw.githubusercontent.com/ch32-rs/ch32-data/main/data/chips/CH32V003J4M6.yaml,main;sha256:372f13ddbd630dea6cc01669c97f0f2a24a2744a9ac040838d3840433178703b,2026-08-13T10:42:24+00:00,Exact package names and source-backed metadata present in the chip definition; wildcard names excluded.
qinheng:ch32-data-yaml:CH32V103C6T6.yaml,manufacturer_device_database,Nanjing Qinheng Microelectronics / openwch,WCH CH32 exact chip definition CH32V103C6T6.yaml,https://raw.githubusercontent.com/ch32-rs/ch32-data/main/data/chips/CH32V103C6T6.yaml,main;sha256:59822519353731111ac32f43c533f3d0f7455573b70b280cd7933c3ea78c2844,2026-08-13T10:42:24+00:00,Exact package names and source-backed metadata present in the chip definition; wildcard names excluded.
