pack_vendor,pack_name,pack_version,pdsc_url,deprecated,replacement,index_timestamp,selected_for_import,fetch_status,device_count,error
SiliconLabs,BGM21_DFP,5.8.10,https://www.silabs.com/documents/public/cmsis-packs/SiliconLabs.BGM21_DFP.pdsc,2019-11-12,SiliconLabs.GeckoPlatform_BGM21_DFP,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
SiliconLabs,EFM32G_DFP,5.8.10,https://www.silabs.com/documents/public/cmsis-packs/SiliconLabs.EFM32G_DFP.pdsc,2019-11-12,SiliconLabs.GeckoPlatform_EFM32G_DFP,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
SiliconLabs,EFM32GG_DFP,5.8.10,https://www.silabs.com/documents/public/cmsis-packs/SiliconLabs.EFM32GG_DFP.pdsc,2019-11-12,SiliconLabs.GeckoPlatform_EFM32GG_DFP,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
SiliconLabs,EFM32GG11B_DFP,5.8.10,https://www.silabs.com/documents/public/cmsis-packs/SiliconLabs.EFM32GG11B_DFP.pdsc,2019-11-12,SiliconLabs.GeckoPlatform_EFM32GG11B_DFP,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
SiliconLabs,EFM32GG12B_DFP,5.8.10,https://www.silabs.com/documents/public/cmsis-packs/SiliconLabs.EFM32GG12B_DFP.pdsc,2019-11-12,SiliconLabs.GeckoPlatform_EFM32GG12B_DFP,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
SiliconLabs,EFM32HG_DFP,5.8.10,https://www.silabs.com/documents/public/cmsis-packs/SiliconLabs.EFM32HG_DFP.pdsc,2019-11-12,SiliconLabs.GeckoPlatform_EFM32HG_DFP,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
SiliconLabs,EFM32JG12B_DFP,5.8.10,https://www.silabs.com/documents/public/cmsis-packs/SiliconLabs.EFM32JG12B_DFP.pdsc,2019-11-12,SiliconLabs.GeckoPlatform_EFM32JG12B_DFP,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
SiliconLabs,EFM32JG1B_DFP,5.8.10,https://www.silabs.com/documents/public/cmsis-packs/SiliconLabs.EFM32JG1B_DFP.pdsc,2019-11-12,SiliconLabs.GeckoPlatform_EFM32JG1B_DFP,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
SiliconLabs,EFM32LG_DFP,5.8.10,https://www.silabs.com/documents/public/cmsis-packs/SiliconLabs.EFM32LG_DFP.pdsc,2019-11-12,SiliconLabs.GeckoPlatform_EFM32LG_DFP,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
SiliconLabs,EFM32PG12B_DFP,5.8.10,https://www.silabs.com/documents/public/cmsis-packs/SiliconLabs.EFM32PG12B_DFP.pdsc,2019-11-12,SiliconLabs.GeckoPlatform_EFM32PG12B_DFP,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
SiliconLabs,EFM32PG1B_DFP,5.8.10,https://www.silabs.com/documents/public/cmsis-packs/SiliconLabs.EFM32PG1B_DFP.pdsc,2019-11-12,SiliconLabs.GeckoPlatform_EFM32PG1B_DFP,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
SiliconLabs,EFM32TG_DFP,5.8.10,https://www.silabs.com/documents/public/cmsis-packs/SiliconLabs.EFM32TG_DFP.pdsc,2019-11-12,SiliconLabs.GeckoPlatform_EFM32TG_DFP,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
SiliconLabs,EFM32TG11B_DFP,5.8.10,https://www.silabs.com/documents/public/cmsis-packs/SiliconLabs.EFM32TG11B_DFP.pdsc,2019-11-12,SiliconLabs.GeckoPlatform_EFM32TG11B_DFP,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
SiliconLabs,EFM32WG_DFP,5.8.10,https://www.silabs.com/documents/public/cmsis-packs/SiliconLabs.EFM32WG_DFP.pdsc,2019-11-12,SiliconLabs.GeckoPlatform_EFM32WG_DFP,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
SiliconLabs,EFM32ZG_DFP,5.8.10,https://www.silabs.com/documents/public/cmsis-packs/SiliconLabs.EFM32ZG_DFP.pdsc,2019-11-12,SiliconLabs.GeckoPlatform_EFM32ZG_DFP,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
SiliconLabs,EFR32BG12P_DFP,5.8.10,https://www.silabs.com/documents/public/cmsis-packs/SiliconLabs.EFR32BG12P_DFP.pdsc,2019-11-12,SiliconLabs.GeckoPlatform_EFR32BG12P_DFP,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
SiliconLabs,EFR32BG13P_DFP,5.8.10,https://www.silabs.com/documents/public/cmsis-packs/SiliconLabs.EFR32BG13P_DFP.pdsc,2019-11-12,SiliconLabs.GeckoPlatform_EFR32BG13P_DFP,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
SiliconLabs,EFR32BG14P_DFP,5.8.10,https://www.silabs.com/documents/public/cmsis-packs/SiliconLabs.EFR32BG14P_DFP.pdsc,2019-11-12,SiliconLabs.GeckoPlatform_EFR32BG14P_DFP,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
SiliconLabs,EFR32BG1B_DFP,5.8.10,https://www.silabs.com/documents/public/cmsis-packs/SiliconLabs.EFR32BG1B_DFP.pdsc,2019-11-12,SiliconLabs.GeckoPlatform_EFR32BG1B_DFP,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
SiliconLabs,EFR32BG1P_DFP,5.8.10,https://www.silabs.com/documents/public/cmsis-packs/SiliconLabs.EFR32BG1P_DFP.pdsc,2019-11-12,SiliconLabs.GeckoPlatform_EFR32BG1P_DFP,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
SiliconLabs,EFR32BG1V_DFP,5.8.10,https://www.silabs.com/documents/public/cmsis-packs/SiliconLabs.EFR32BG1V_DFP.pdsc,2019-11-12,SiliconLabs.GeckoPlatform_EFR32BG1V_DFP,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
SiliconLabs,EFR32BG21_DFP,5.8.10,https://www.silabs.com/documents/public/cmsis-packs/SiliconLabs.EFR32BG21_DFP.pdsc,2019-11-12,SiliconLabs.GeckoPlatform_EFR32BG21_DFP,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
SiliconLabs,EFR32FG12P_DFP,5.8.10,https://www.silabs.com/documents/public/cmsis-packs/SiliconLabs.EFR32FG12P_DFP.pdsc,2019-11-12,SiliconLabs.GeckoPlatform_EFR32FG12P_DFP,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
SiliconLabs,EFR32FG13P_DFP,5.8.10,https://www.silabs.com/documents/public/cmsis-packs/SiliconLabs.EFR32FG13P_DFP.pdsc,2019-11-12,SiliconLabs.GeckoPlatform_EFR32FG13P_DFP,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
SiliconLabs,EFR32FG14P_DFP,5.8.10,https://www.silabs.com/documents/public/cmsis-packs/SiliconLabs.EFR32FG14P_DFP.pdsc,2019-11-12,SiliconLabs.GeckoPlatform_EFR32FG14P_DFP,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
SiliconLabs,EFR32FG14V_DFP,5.8.10,https://www.silabs.com/documents/public/cmsis-packs/SiliconLabs.EFR32FG14V_DFP.pdsc,2019-11-12,SiliconLabs.GeckoPlatform_EFR32FG14V_DFP,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
SiliconLabs,EFR32FG1P_DFP,5.8.10,https://www.silabs.com/documents/public/cmsis-packs/SiliconLabs.EFR32FG1P_DFP.pdsc,2019-11-12,SiliconLabs.GeckoPlatform_EFR32FG1P_DFP,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
SiliconLabs,EFR32FG1V_DFP,5.8.10,https://www.silabs.com/documents/public/cmsis-packs/SiliconLabs.EFR32FG1V_DFP.pdsc,2019-11-12,SiliconLabs.GeckoPlatform_EFR32FG1V_DFP,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
SiliconLabs,EFR32MG12P_DFP,5.8.10,https://www.silabs.com/documents/public/cmsis-packs/SiliconLabs.EFR32MG12P_DFP.pdsc,2019-11-12,SiliconLabs.GeckoPlatform_EFR32MG12P_DFP,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
SiliconLabs,EFR32MG13P_DFP,5.8.10,https://www.silabs.com/documents/public/cmsis-packs/SiliconLabs.EFR32MG13P_DFP.pdsc,2019-11-12,SiliconLabs.GeckoPlatform_EFR32MG13P_DFP,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
SiliconLabs,EFR32MG14P_DFP,5.8.10,https://www.silabs.com/documents/public/cmsis-packs/SiliconLabs.EFR32MG14P_DFP.pdsc,2019-11-12,SiliconLabs.GeckoPlatform_EFR32MG14P_DFP,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
SiliconLabs,EFR32MG1B_DFP,5.8.10,https://www.silabs.com/documents/public/cmsis-packs/SiliconLabs.EFR32MG1B_DFP.pdsc,2019-11-12,SiliconLabs.GeckoPlatform_EFR32MG1B_DFP,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
SiliconLabs,EFR32MG1P_DFP,5.8.10,https://www.silabs.com/documents/public/cmsis-packs/SiliconLabs.EFR32MG1P_DFP.pdsc,2019-11-12,SiliconLabs.GeckoPlatform_EFR32MG1P_DFP,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
SiliconLabs,EFR32MG1V_DFP,5.8.10,https://www.silabs.com/documents/public/cmsis-packs/SiliconLabs.EFR32MG1V_DFP.pdsc,2019-11-12,SiliconLabs.GeckoPlatform_EFR32MG1V_DFP,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
SiliconLabs,EFR32MG21_DFP,5.8.10,https://www.silabs.com/documents/public/cmsis-packs/SiliconLabs.EFR32MG21_DFP.pdsc,2019-11-12,SiliconLabs.GeckoPlatform_EFR32MG21_DFP,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
SiliconLabs,EFR32ZG13P_DFP,5.8.10,https://www.silabs.com/documents/public/cmsis-packs/SiliconLabs.EFR32ZG13P_DFP.pdsc,2019-11-12,SiliconLabs.GeckoPlatform_EFR32ZG13P_DFP,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
SiliconLabs,EFR32ZG14P_DFP,5.8.10,https://www.silabs.com/documents/public/cmsis-packs/SiliconLabs.EFR32ZG14P_DFP.pdsc,2019-11-12,SiliconLabs.GeckoPlatform_EFR32ZG14P_DFP,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
SiliconLabs,EZR32HG_DFP,5.8.10,https://www.silabs.com/documents/public/cmsis-packs/SiliconLabs.EZR32HG_DFP.pdsc,2019-11-12,SiliconLabs.GeckoPlatform_EZR32HG_DFP,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
SiliconLabs,EZR32LG_DFP,5.8.10,https://www.silabs.com/documents/public/cmsis-packs/SiliconLabs.EZR32LG_DFP.pdsc,2019-11-12,SiliconLabs.GeckoPlatform_EZR32LG_DFP,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
SiliconLabs,EZR32WG_DFP,5.8.10,https://www.silabs.com/documents/public/cmsis-packs/SiliconLabs.EZR32WG_DFP.pdsc,2019-11-12,SiliconLabs.GeckoPlatform_EZR32WG_DFP,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
SiliconLabs,MGM1_DFP,5.8.10,https://www.silabs.com/documents/public/cmsis-packs/SiliconLabs.MGM1_DFP.pdsc,2019-11-12,SiliconLabs.GeckoPlatform_MGM1_DFP,2026-08-12T04:05:17.3114066+00:00,,not_selected,,
