device_id,device_name,field_name,previous_value,cubemx_value,resolution,source_path
stmicroelectronics::stm32c011d6yxtr,STM32C011D6YxTR,package_types,CSP,WLCSP12,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\families.xml
stmicroelectronics::stm32c011d6yxtr,STM32C011D6YxTR,pin_counts,12,22,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\STM32C011D6Yx.xml
stmicroelectronics::stm32c011f4px,STM32C011F4Px,package_types,SOP,TSSOP20,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\families.xml
stmicroelectronics::stm32c011f4px,STM32C011F4Px,pin_counts,20,22,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\STM32C011F(4-6)Px.xml
stmicroelectronics::stm32c011f4ux,STM32C011F4Ux,package_types,QFP,UFQFPN20,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\families.xml
stmicroelectronics::stm32c011f4ux,STM32C011F4Ux,pin_counts,20,22,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\STM32C011F(4-6)Ux.xml
stmicroelectronics::stm32c011f4uxtr,STM32C011F4UxTR,package_types,QFP,UFQFPN20,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\families.xml
stmicroelectronics::stm32c011f4uxtr,STM32C011F4UxTR,pin_counts,20,22,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\STM32C011F(4-6)Ux.xml
stmicroelectronics::stm32c011f6px,STM32C011F6Px,package_types,SOP,TSSOP20,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\families.xml
stmicroelectronics::stm32c011f6px,STM32C011F6Px,pin_counts,20,22,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\STM32C011F(4-6)Px.xml
stmicroelectronics::stm32c011f6ux,STM32C011F6Ux,package_types,QFP,UFQFPN20,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\families.xml
stmicroelectronics::stm32c011f6ux,STM32C011F6Ux,pin_counts,20,22,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\STM32C011F(4-6)Ux.xml
stmicroelectronics::stm32c011f6uxtr,STM32C011F6UxTR,package_types,QFP,UFQFPN20,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\families.xml
stmicroelectronics::stm32c011f6uxtr,STM32C011F6UxTR,pin_counts,20,22,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\STM32C011F(4-6)Ux.xml
stmicroelectronics::stm32c031c4tx,STM32C031C4Tx,package_types,QFP,LQFP48,cubemx_official_device_db_preferred,C:\Users\confl\AppData\Local\Programs\STM32CubeMX\db\mcu\families.xml
