product_line_id,manufacturer,product_type,architecture_class,family,series,product_line,device_variant_count,source_ids,observed_at,verification_status
stmicroelectronics::stm32::stm32c0::stm32c011,STMicroelectronics,general_purpose_mcu,Cortex-M0+,STM32,STM32C0,STM32C011,9,cmsis:Keil.STM32C0xx_DFP@2.4.0,2026-08-12T08:02:16+00:00,cmsis_pack_metadata
stmicroelectronics::stm32::stm32c0::stm32c031,STMicroelectronics,general_purpose_mcu,Cortex-M0+,STM32,STM32C0,STM32C031,12,cmsis:Keil.STM32C0xx_DFP@2.4.0,2026-08-12T08:02:16+00:00,cmsis_pack_metadata
stmicroelectronics::stm32::stm32c0::stm32c051,STMicroelectronics,general_purpose_mcu,Cortex-M0+,STM32,STM32C0,STM32C051,12,cmsis:Keil.STM32C0xx_DFP@2.4.0,2026-08-12T08:02:16+00:00,cmsis_pack_metadata
stmicroelectronics::stm32::stm32c0::stm32c071,STMicroelectronics,general_purpose_mcu,Cortex-M0+,STM32,STM32C0,STM32C071,30,cmsis:Keil.STM32C0xx_DFP@2.4.0,2026-08-12T08:02:16+00:00,cmsis_pack_metadata
stmicroelectronics::stm32::stm32c0::stm32c091,STMicroelectronics,general_purpose_mcu,Cortex-M0+,STM32,STM32C0,STM32C091,16,cmsis:Keil.STM32C0xx_DFP@2.4.0,2026-08-12T08:02:16+00:00,cmsis_pack_metadata
stmicroelectronics::stm32::stm32c0::stm32c092,STMicroelectronics,general_purpose_mcu,Cortex-M0+,STM32,STM32C0,STM32C092,16,cmsis:Keil.STM32C0xx_DFP@2.4.0,2026-08-12T08:02:16+00:00,cmsis_pack_metadata
stmicroelectronics::stm32::stm32c5::stm32c53x-542,STMicroelectronics,general_purpose_mcu,Cortex-M33,STM32,STM32C5,STM32C53x/542,58,cmsis:STMicroelectronics.stm32c5xx_dfp@2.1.0,2026-08-12T08:02:16+00:00,cmsis_pack_metadata
stmicroelectronics::stm32::stm32c5::stm32c55x-562,STMicroelectronics,general_purpose_mcu,Cortex-M33,STM32,STM32C5,STM32C55x/562,51,cmsis:STMicroelectronics.stm32c5xx_dfp@2.1.0,2026-08-12T08:02:16+00:00,cmsis_pack_metadata
stmicroelectronics::stm32::stm32c5::stm32c59x-5a3,STMicroelectronics,general_purpose_mcu,Cortex-M33,STM32,STM32C5,STM32C59x/5A3,48,cmsis:STMicroelectronics.stm32c5xx_dfp@2.1.0,2026-08-12T08:02:16+00:00,cmsis_pack_metadata
stmicroelectronics::stm32::stm32f0::stm32f030,STMicroelectronics,general_purpose_mcu,Cortex-M0,STM32,STM32F0,STM32F030,7,cmsis:Keil.STM32F0xx_DFP@3.1.1,2026-08-12T08:02:16+00:00,cmsis_pack_metadata
