product_line_id,manufacturer,product_type,architecture_class,family,series,product_line,device_variant_count,source_ids,observed_at,verification_status
texas-instruments::am13e230x::am13e230x::am13e230x,Texas Instruments,general_purpose_mcu,Cortex-M33,AM13E230X,AM13E230X,AM13E230X,3,cmsis:TexasInstruments.AM13E230X_DFP@1.0.0,2026-08-12T07:01:18+00:00,manufacturer_datasheet
texas-instruments::msp432e4::msp432e4::msp432e4,Texas Instruments,general_purpose_mcu,Cortex-M4,MSP432E4,MSP432E4,MSP432E4,2,cmsis:TexasInstruments.MSP432E4_DFP@3.2.6,2026-08-12T07:01:18+00:00,manufacturer_datasheet
texas-instruments::msp432p4xx::msp432p4xx::msp432p4xx,Texas Instruments,general_purpose_mcu,Cortex-M4,MSP432P4xx,MSP432P4xx,MSP432P4xx,8,cmsis:TexasInstruments.MSP432P4xx_DFP@3.2.6,2026-08-12T07:01:18+00:00,manufacturer_datasheet
texas-instruments::mspm0::mspm0c1105-6::mspm0c1105-c1106,Texas Instruments,general_purpose_mcu,Cortex-M0+,MSPM0,MSPM0C1105/6,MSPM0C1105_C1106,2,cmsis:TexasInstruments.MSPM0C110X_DFP@1.2.0,2026-08-12T07:01:18+00:00,manufacturer_datasheet
texas-instruments::mspm0::mspm0c1103-4::mspm0c110x,Texas Instruments,general_purpose_mcu,Cortex-M0+,MSPM0,MSPM0C1103/4,MSPM0C110X,2,cmsis:TexasInstruments.MSPM0C110X_DFP@1.2.0,2026-08-12T07:01:18+00:00,manufacturer_datasheet
texas-instruments::mspm0::mspm0g1x0x-g3x0x::mspm0g110x,Texas Instruments,general_purpose_mcu,Cortex-M0+,MSPM0,MSPM0G1X0X_G3X0X,MSPM0G110X,3,cmsis:TexasInstruments.MSPM0G1X0X_G3X0X_DFP@1.3.1,2026-08-12T07:01:18+00:00,manufacturer_datasheet
texas-instruments::mspm0::mspm0gx218-gx207::mspm0g120x,Texas Instruments,general_purpose_mcu,Cortex-M0+,MSPM0,MSPM0GX218_GX207,MSPM0G120X,1,cmsis:TexasInstruments.MSPM0GX218_GX207_DFP@1.0.0,2026-08-12T07:01:18+00:00,manufacturer_datasheet
texas-instruments::mspm0::mspm0gx218-gx207::mspm0g121x,Texas Instruments,general_purpose_mcu,Cortex-M0+,MSPM0,MSPM0GX218_GX207,MSPM0G121X,1,cmsis:TexasInstruments.MSPM0GX218_GX207_DFP@1.0.0,2026-08-12T07:01:18+00:00,manufacturer_datasheet
texas-instruments::mspm0::mspm0g1x0x-g3x0x::mspm0g150x,Texas Instruments,general_purpose_mcu,Cortex-M0+,MSPM0,MSPM0G1X0X_G3X0X,MSPM0G150X,3,cmsis:TexasInstruments.MSPM0G1X0X_G3X0X_DFP@1.3.1,2026-08-12T07:01:18+00:00,manufacturer_datasheet
texas-instruments::mspm0::mspm0gx51x::mspm0g151x,Texas Instruments,general_purpose_mcu,Cortex-M0+,MSPM0,MSPM0GX51X,MSPM0G151X,2,cmsis:TexasInstruments.MSPM0GX51X_DFP@1.0.0,2026-08-12T07:01:18+00:00,manufacturer_datasheet
texas-instruments::mspm0::mspm0g1x0x-g3x0x::mspm0g310x,Texas Instruments,general_purpose_mcu,Cortex-M0+,MSPM0,MSPM0G1X0X_G3X0X,MSPM0G310X,3,cmsis:TexasInstruments.MSPM0G1X0X_G3X0X_DFP@1.3.1,2026-08-12T07:01:18+00:00,manufacturer_datasheet
texas-instruments::mspm0::mspm0gx218-gx207::mspm0g320x,Texas Instruments,general_purpose_mcu,Cortex-M0+,MSPM0,MSPM0GX218_GX207,MSPM0G320X,1,cmsis:TexasInstruments.MSPM0GX218_GX207_DFP@1.0.0,2026-08-12T07:01:18+00:00,manufacturer_datasheet
texas-instruments::mspm0::mspm0gx218-gx207::mspm0g321x,Texas Instruments,general_purpose_mcu,Cortex-M0+,MSPM0,MSPM0GX218_GX207,MSPM0G321X,1,cmsis:TexasInstruments.MSPM0GX218_GX207_DFP@1.0.0,2026-08-12T07:01:18+00:00,manufacturer_datasheet
texas-instruments::mspm0::mspm0g1x0x-g3x0x::mspm0g350x,Texas Instruments,general_purpose_mcu,Cortex-M0+,MSPM0,MSPM0G1X0X_G3X0X,MSPM0G350X,3,cmsis:TexasInstruments.MSPM0G1X0X_G3X0X_DFP@1.3.1,2026-08-12T07:01:18+00:00,manufacturer_datasheet
texas-instruments::mspm0::mspm0gx51x::mspm0g351x,Texas Instruments,general_purpose_mcu,Cortex-M0+,MSPM0,MSPM0GX51X,MSPM0G351X,2,cmsis:TexasInstruments.MSPM0GX51X_DFP@1.0.0,2026-08-12T07:01:18+00:00,manufacturer_datasheet
